perturbation_id,description,must_fail,must_stay_clean,scope
P01,two scenarios use the same schedule file,G8.8,G8.10,local mutation contract only
P02,schedule changes without clearing cache,G8.9,G8.8,local mutation contract only
P03,request obsolete Gas:Facility meter,G8.10|G8.11,,local mutation contract only
P04,zero one end-use meter,G8.10,G8.11,local mutation contract only
P05,People object points at another schedule,G8.12.assignment,G8.12.value,local mutation contract only
P06,Schedule:File interpolation enabled,G8.13,G8.12,local mutation contract only
P07,copy another cell manifest wholesale,G8.14,G8.12,local mutation contract only
P08,country uses a fold that held it in,G8.16,G8.12|G8.14,local mutation contract only
P09,shift modelled profile two hours,G8.6,G8.5,local mutation contract only
P10,scale annual energy by 1.2,G8.1|G8.3,G8.6,local mutation contract only
P11,use a different geometry floor area,G8.7,G8.1,local mutation contract only
P12,null perturbation,,all observed checkpoints,local mutation contract only
