code,name,quartiere,zona,area_km2,n_sez,edifici_totali,edifici_utilizzati,edifici_residenziali,res_per_km2,res_share_of_all_buildings,edifici_non_residenziali_utilizzati,res_muratura_portante,res_calcestruzzo_armato,res_altro_materiale,res_ante1919,res_1919_1945,res_1946_1960,res_1961_1970,res_1971_1980,res_1981_1990,res_1991_2000,res_2001_2005,res_post2005,res_1piano,res_2piani,res_3piani,res_4piu_piani,res_1interno,res_2interni,res_3_4interni,res_5_8interni,res_9_15interni,res_16piu_interni,interni_totali,res_stato_ottimo,res_stato_buono,res_stato_mediocre,res_stato_pessimo
54,GALVANI-2,Santo Stefano,Galvani,0.9005696090809006,66,1166,1154,1010,1121.5124181580827,0.8662092624356775,144,903,93,14,741,107,89,51,6,2,13,0,1,16,99,286,609,86,56,145,319,267,137,8963,301,650,57,2
77,MALPIGHI-2,Porto - Saragozza,Malpighi,0.7721726889798276,49,961,957,852,1103.380127475938,0.886576482830385,105,730,72,50,589,78,104,38,16,10,13,2,2,13,114,193,532,95,44,121,283,210,99,7283,212,525,112,3
60,IRNERIO-1,Santo Stefano,Irnerio,0.3083435720266036,42,375,375,322,1044.2896470441683,0.8586666666666667,53,303,14,5,237,32,37,8,3,1,4,0,0,1,13,88,220,12,14,37,97,106,56,3248,175,137,9,1
72,XXI APRILE,Porto - Saragozza,Costa Saragozza,0.8263997583503011,62,958,955,828,1001.9364014008104,0.8643006263048016,127,603,167,58,146,243,265,81,51,19,18,3,2,9,158,266,395,130,86,140,201,132,139,7644,497,255,75,1
82,PONTEVECCHIO,Savena,Mazzini,0.4043680746171572,25,468,467,359,887.8050037453866,0.7670940170940171,108,255,31,73,7,96,175,52,13,3,5,8,0,6,57,102,194,55,43,66,80,67,48,2905,106,217,28,8
73,SAN GIUSEPPE,Porto - Saragozza,Costa Saragozza,0.7287293708266094,32,667,664,620,850.7959536428785,0.9295352323838081,44,453,157,10,148,245,98,82,32,5,8,2,0,4,146,156,314,133,85,137,158,72,35,3473,535,77,8,0
30,MARCONI-1,Porto - Saragozza,Marconi,0.17664058448053263,24,187,184,146,826.5371201604606,0.7807486631016043,38,122,24,0,116,4,17,6,1,0,1,0,1,0,9,29,108,4,12,18,34,42,36,2027,61,64,19,2
67,MENGOLI,San Donato - San Vitale,S. Vitale,0.7946594728641925,55,742,737,638,802.8596169632956,0.8598382749326146,99,432,26,180,46,195,213,134,27,7,8,6,2,8,63,170,397,86,71,92,148,121,120,6007,256,329,48,5
56,MEZZOFANTI,Santo Stefano,Murri,0.7101464404408934,35,666,662,568,799.8350307119164,0.8528528528528528,94,466,87,15,43,312,139,51,14,5,2,1,1,7,43,148,370,86,71,113,146,90,62,4146,322,231,15,0
57,SIEPELUNGA,Santo Stefano,Murri,0.45980549515568436,27,428,426,363,789.4642491758233,0.8481308411214953,63,209,142,12,18,126,131,62,15,1,4,2,4,1,28,81,253,34,39,91,97,76,26,2507,227,132,4,0
78,MALPIGHI-1,Porto - Saragozza,Malpighi,0.18738749957520698,23,171,166,147,784.4706841877803,0.8596491228070176,19,142,5,0,133,4,9,0,0,0,1,0,0,1,11,38,97,11,6,9,42,47,32,1633,99,40,8,0
83,BITONE,Savena,Mazzini,0.6059440319167901,51,620,609,470,775.6491940571528,0.7580645161290323,139,204,70,196,3,45,287,112,7,4,8,2,2,1,38,93,338,46,45,54,106,90,129,5738,289,164,17,0
53,GALVANI-1,Santo Stefano,Galvani,0.21617738435820816,24,222,220,166,767.8879106286913,0.7477477477477478,54,162,3,1,158,2,3,2,0,0,1,0,0,2,11,40,113,9,11,17,40,47,42,1928,74,90,2,0
61,IRNERIO-2,Santo Stefano,Irnerio,1.0671979998310597,64,908,906,750,702.7749303491264,0.8259911894273128,156,639,93,18,518,71,74,33,36,11,6,0,1,12,93,194,451,75,45,101,203,202,124,7608,246,449,55,0
40,EMILIA PONENTE,Borgo Panigale - Reno,S. Viola,0.8554648950838785,27,725,703,584,682.6697429153288,0.8055172413793104,119,366,177,41,45,215,181,68,4,4,40,18,9,9,163,192,220,136,88,111,110,68,71,4701,292,221,67,4
88,VIA TOSCANA,Savena,S. Ruffillo,0.9555440461185349,83,771,765,645,675.0081303107067,0.8365758754863813,120,247,394,4,4,50,297,187,76,15,9,4,3,9,79,162,395,76,73,122,186,103,85,5035,159,450,35,1
14,ARCOVEGGIO,Navile,Bolognina,0.9572896452624304,41,769,764,577,602.7433837350469,0.7503250975292588,187,430,143,4,20,236,208,67,27,8,8,3,0,6,84,161,326,66,68,94,120,115,114,5573,229,246,89,13
58,DAGNINI,Santo Stefano,Murri,0.6230244071285779,42,440,437,359,576.2214062440586,0.8159090909090909,78,200,76,83,3,95,182,55,7,6,7,2,2,2,38,36,283,42,21,33,60,72,131,5191,208,138,13,0
29,MARCONI-2,Porto - Saragozza,Marconi,0.8815839968509707,70,622,617,506,573.9668617028423,0.8135048231511254,111,308,187,11,233,48,118,87,11,0,7,1,1,2,33,74,397,21,20,37,117,137,174,8748,235,231,39,1
35,VIA VITTORIO VENETO,Porto - Saragozza,Saffi,0.45389972572910153,23,319,319,255,561.798092277743,0.799373040752351,64,184,13,58,5,113,84,40,10,0,0,1,2,8,11,35,201,8,26,27,54,71,69,3216,57,168,28,2
59,CHIESANUOVA,Santo Stefano,Murri,0.7658865335173162,38,491,489,423,552.301132724429,0.8615071283095723,66,256,159,8,27,118,183,56,16,4,14,5,0,4,72,79,268,68,38,57,83,91,86,4080,66,335,21,1
49,VIA MONDO,San Donato - San Vitale,San Donato,0.5770723159982435,38,397,388,314,544.1259115971104,0.7909319899244333,74,260,28,26,8,49,164,66,9,1,8,5,4,2,49,47,216,35,36,35,46,54,108,4564,244,63,7,0
50,OSSERVANZA,Santo Stefano,Colli,1.1213510932445114,20,694,670,581,518.1249686206107,0.8371757925072046,89,411,54,116,105,178,108,69,31,47,29,10,4,6,115,160,300,144,90,166,114,57,10,2469,158,336,83,4
15,VIA FERRARESE,Navile,Bolognina,0.9892105677267818,40,671,664,508,513.540813830356,0.7570789865871833,156,104,389,15,9,99,285,66,19,7,6,3,14,9,66,88,345,59,39,52,115,118,125,5733,303,174,30,1
68,GUELFA,San Donato - San Vitale,S. Vitale,0.7134370462541667,28,462,452,361,506.0011978567641,0.7813852813852814,91,241,55,65,33,55,145,76,33,7,3,3,6,9,93,91,168,46,36,48,92,62,77,3743,217,132,12,0
48,MICHELINO,San Donato - San Vitale,San Donato,0.4908563270978461,23,325,314,243,495.05320922869754,0.7476923076923077,71,117,126,0,5,24,123,79,4,0,3,5,0,6,52,42,143,46,20,38,43,38,58,2563,78,155,10,0
62,CIRENAICA,San Donato - San Vitale,S. Vitale,0.9194300080229272,48,596,586,448,487.25840585010417,0.7516778523489933,138,303,88,57,119,110,107,36,34,10,11,9,12,4,66,97,281,51,29,69,110,91,98,5623,80,287,81,0
17,PIAZZA DELL'UNITA',Navile,Bolognina,0.7756130681748534,53,546,527,376,484.77780407283564,0.6886446886446886,151,208,143,25,3,177,141,40,7,3,2,1,2,5,20,36,315,19,11,23,92,113,118,5566,127,193,55,1
