city,unit_id,unit_name,area_km2,total_buildings,residential,unknown,nonres,res_share,unknown_share,res_per_km2,levels_cov,osm_date_cov
London-DR10,E05013664,Kentish Town South,0.8201,2046,1521,321,204,0.7434,0.1569,1854.7,0.319,0.001
London-DR10,E05013663,Kentish Town North,0.5605,1256,1014,195,47,0.8073,0.1553,1808.9,0.816,0.0
London-DR10,E05009401,Queen's Gate,0.5743,1037,840,164,33,0.81,0.1581,1462.5,0.983,0.0
London-DR10,E05009405,Stanley,0.7259,1368,1021,226,121,0.7463,0.1652,1406.5,0.99,0.006
London-DR10,E05013660,Haverstock,0.7304,1445,961,445,39,0.6651,0.308,1315.6,0.062,0.015
London-DR10,E05009400,Pembridge,0.3861,644,475,112,57,0.7376,0.1739,1230.3,0.922,0.0
London-DR10,E05009392,Colville,0.4919,987,572,345,70,0.5795,0.3495,1162.8,0.944,0.0
London-DR10,E05013658,Gospel Oak,0.7906,1205,880,284,41,0.7303,0.2357,1113.1,0.755,0.0
London-DR10,E05013654,Camden Square,0.4639,855,510,314,31,0.5965,0.3673,1099.4,0.037,0.0
London-DR10,E05009398,Norland,0.5084,671,535,89,47,0.7973,0.1326,1052.2,0.959,0.0
London-DR10,E05009393,Courtfield,0.6191,881,632,202,47,0.7174,0.2293,1020.9,0.984,0.014
London-DR10,E05009389,Brompton & Hans Town,1.0704,1572,1091,358,123,0.694,0.2277,1019.2,0.988,0.011
London-DR10,E05009391,Chelsea Riverside,0.5371,749,536,155,58,0.7156,0.2069,998.0,0.976,0.0
London-DR10,E05009402,Redcliffe,0.7241,904,708,148,48,0.7832,0.1637,977.7,0.973,0.008
London-DR10,E05009388,Abingdon,0.6036,790,578,157,55,0.7316,0.1987,957.6,0.984,0.01
London-DR10,E05009404,St. Helen's,0.4836,580,461,64,55,0.7948,0.1103,953.3,0.963,0.002
London-DR10,E05009390,Campden,1.0186,1287,963,240,84,0.7483,0.1865,945.4,0.987,0.001
London-DR10,E05013670,South Hampstead,0.8056,1368,747,557,64,0.5461,0.4072,927.2,0.636,0.003
London-DR10,E05013655,Camden Town,0.6111,1098,564,392,142,0.5137,0.357,922.9,0.23,0.0
London-DR10,E05009395,Earl's Court,0.4776,630,404,193,33,0.6413,0.3063,846.0,0.988,0.017
London-DR10,E05013665,Kilburn,0.6576,1100,500,579,21,0.4545,0.5264,760.4,0.176,0.012
London-DR10,E05009403,Royal Hospital,0.9141,1030,663,271,96,0.6437,0.2631,725.3,0.994,0.003
London-DR10,E05013671,West Hampstead,0.8043,1054,573,446,35,0.5436,0.4231,712.5,0.658,0.01
London-DR10,E05009397,Holland,1.0007,765,625,81,59,0.817,0.1059,624.5,0.894,0.0
London-DR10,E05009396,Golborne,0.5595,549,305,204,40,0.5556,0.3716,545.1,0.905,0.0
London-DR10,E05013657,Frognal,1.1503,1180,604,534,42,0.5119,0.4525,525.1,0.407,0.003
London-DR10,E05009399,Notting Dale,0.5598,431,285,87,59,0.6613,0.2019,509.1,0.961,0.0
London-DR10,E05013656,Fortune Green,1.0262,1284,521,740,23,0.4058,0.5763,507.7,0.255,0.012
London-DR10,E05013653,Bloomsbury,1.2408,1813,524,843,446,0.289,0.465,422.3,0.752,0.002
London-DR10,E05013667,Primrose Hill,1.3408,1822,563,1188,71,0.309,0.652,419.9,0.318,0.002
London-DR10,E05013669,St Pancras & Somers Town,0.8187,684,312,314,58,0.4561,0.4591,381.1,0.554,0.006
London-DR10,E05013666,King's Cross,1.0836,913,367,469,77,0.402,0.5137,338.7,0.45,0.0
London-DR10,E05013662,Holborn & Covent Garden,1.1101,1752,338,1102,312,0.1929,0.629,304.5,0.16,0.0
London-DR10,E05013668,Regent's Park,1.3506,1026,395,497,134,0.385,0.4844,292.5,0.489,0.0
London-DR10,E05013652,Belsize,1.0063,1486,292,1133,61,0.1965,0.7624,290.2,0.182,0.031
London-DR10,E05013659,Hampstead Town,2.2165,1578,617,931,30,0.391,0.59,278.4,0.092,0.002
London-DR10,E05009394,Dalgarno,0.8893,314,215,67,32,0.6847,0.2134,241.8,0.912,0.005
London-DR10,E05013661,Highgate,3.2222,1758,576,1140,42,0.3276,0.6485,178.8,0.071,0.003
