cell_id,archetype_id,survey_fold,sensitivity_f,mode,replicate,idf_sha256,heating_kwh,completed,completion_status,return_code,severe_count,fatal_count,runtime_s,marker_psy,marker_inside_hb,marker_calchb,error
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.0,serial,1,d1fc645eea4e004a3f080cbd881653a3fee612b3e023c4e04afd448a1db4eec6,429401.8978237175,True,COMPLETED,0,0,0,1.583,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.0,serial,2,bb5a44be82de0e1286aa669cf8c2016c802007f213cdbd26b5b640174f22a37e,429401.8978237175,True,COMPLETED,0,0,0,1.551,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.0,serial,3,7103a632ff5cc5a83b1a6eec1fc2f18f53e4b3cfb89b2df4ebe2b00815166b9c,111864.12061177054,True,COMPLETED,0,14,0,1.842,False,True,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f015,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.15,serial,1,853373ca0440cb5ffe4f8404c70161ce167f58aebc0c4eff8c7fc7aaf815b6ea,429321.8745368888,True,COMPLETED,0,0,0,1.544,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f015,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.15,serial,2,5cb1816da49a3ff8297e3c1cbbd83bf364a86ac1c1f8261f3f5a4e6ad00f40e1,429321.8745368888,True,COMPLETED,0,0,0,1.55,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f015,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.15,serial,3,9378eaad4dea20d5667dbd376d26024e1a5f4f30fe0eaac63df668cefcc72110,429321.8745368888,True,COMPLETED,0,0,0,1.549,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f030,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.3,serial,1,bad1a8caf7a89e92665b62e1f6f635d33f9e9fe80508c474e06382c6386a056e,429248.3754781889,True,COMPLETED,0,0,0,1.526,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f030,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.3,serial,2,2815a758c51768b1c89ebbfd52acc759a4aa7900cf610a17d0280fcde6c960d5,None,False,ENGINE_FAILED,1,1,1,0.368,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f030,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.3,serial,3,a70a381fd16973040c1f1663e82a32994fec860f2fa2ba52c98c4b2f81dfe41f,429248.3754781889,True,COMPLETED,0,0,0,1.547,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.5,serial,1,c08f0e91900e38bc9613160bb0f698d01fa713420b3857b26af612c3278c47ab,429161.0117617531,True,COMPLETED,0,0,0,1.604,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.5,serial,2,9204b73cbc8b5ac0e598c65ceab21a584cbc37804dfdc2713f0bba53e91f6b21,None,False,ENGINE_FAILED,1,1,1,0.374,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.5,serial,3,2b3f7a3fea51ded1049035f150234f3c77fb5c03db03bb1a027b23c086681988,429161.0117617531,True,COMPLETED,0,0,0,1.538,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.0,serial,1,85b27c2103323793a43aab1a13ba768267779fc06baaa2a6cea9a7f5d908521a,93250.02037697194,True,COMPLETED,0,0,0,1.516,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.0,serial,2,f5aa04ffd001b638d2d1db6ebca2b943fcae521bbfd4f9bc8e2fc0fa68550067,93250.02037697194,True,COMPLETED,0,0,0,1.525,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.0,serial,3,6c9af30c881b4caf51ec49b84df9db439d8c34e303a5f27a848d41dbfdcc031a,93250.02037697194,True,COMPLETED,0,0,0,1.525,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f015,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.15,serial,1,d1d7187c072200a58c21bcad84db8a6dde4278394ade6c19f30eaf2cb6170478,93225.62768088045,True,COMPLETED,0,0,0,1.561,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f015,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.15,serial,2,824efd4135de52f404819773e89663b66e2e8423b95a746d5660705d70ac884e,93225.62768088045,True,COMPLETED,0,0,0,1.558,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f015,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.15,serial,3,c5ea802e822d5d7100dd104d915a50c3003a2ec4e10248bb3d367dd13179f14a,93225.62768088045,True,COMPLETED,0,0,0,1.548,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f030,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.3,serial,1,fa6eb93cdf5663bcab01d90f58d6692d8e7665466576a610504caa29826aea98,93202.1854932216,True,COMPLETED,0,0,0,1.521,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f030,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.3,serial,2,9cf36f0ebb437137683bceedd0a9a1f8b26f8c31f5787c747a59f44513857d52,93202.1854932216,True,COMPLETED,0,0,0,1.599,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f030,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.3,serial,3,40fd4266e10dbf5b037cd5fe53ad75d95bb010729b5cb424bbdababff89381bb,93202.1854932216,True,COMPLETED,0,0,0,1.539,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.5,serial,1,133ac471e1be8ef2389df2efd1c8f56078727d7e8ceaeab9ba6c04cff4863f0b,93172.14725318627,True,COMPLETED,0,0,0,1.547,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.5,serial,2,9d718312e13bcde8dddbd970445cb4fcd7ff4dde3ad48212eec462052be70f7a,93071.20038935631,True,COMPLETED,0,0,0,1.529,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f050,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.5,serial,3,ed871fa3b2fea8af8d1f0e6a87678f3d4a308e6e7bf5cb55d04e30255ed5e1ea,93172.14725318627,True,COMPLETED,0,0,0,1.645,False,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,ES.ME.AB.01.Gen.ReEx.001.001,es,0.0,serial,1,33e56b4eb40d2f9bbf885801c9ca9ef0ae2c123db481f5e848c920b3b7d2a901,177928.78032852308,True,COMPLETED,0,0,0,1.617,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,ES.ME.AB.01.Gen.ReEx.001.001,es,0.0,serial,2,93980f4a4cfd6e5a590310e18c6f12b4a80905cae2d5db95c7c993baa03f7785,177928.78032852308,True,COMPLETED,0,0,0,1.63,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f000,ES.ME.AB.01.Gen.ReEx.001.001,es,0.0,serial,3,17535acda76a4b2e2a70a0ea9645f2dcaa0a7d179ba35764664ac4a5fc306756,52702.00394983997,True,COMPLETED,0,0,0,2.002,True,True,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f015,ES.ME.AB.01.Gen.ReEx.001.001,es,0.15,serial,1,4c94c69d77f65f21671a114c288e32630614e3f3323b2a1b55cd5c7b87462764,177889.98714490884,True,COMPLETED,0,0,0,1.596,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f015,ES.ME.AB.01.Gen.ReEx.001.001,es,0.15,serial,2,b4cb1e5e6a3ad64fbf46b3210b3b636cf17d91b17a264b5e848a2a74956f0136,177889.98714490884,True,COMPLETED,0,0,0,1.674,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f015,ES.ME.AB.01.Gen.ReEx.001.001,es,0.15,serial,3,d8ac3364eb9da10a726cb16721fa5c7249095b28af22019fb4c0ca9c6298d897,177889.98714490884,True,COMPLETED,0,0,0,1.608,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,ES.ME.AB.01.Gen.ReEx.001.001,es,0.3,serial,1,334ba9b71e7f0993c7dad909a967db5724c7cb384526726af35835663e25e6f0,177853.4447974208,True,COMPLETED,0,0,0,1.624,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,ES.ME.AB.01.Gen.ReEx.001.001,es,0.3,serial,2,d43c160a74e0d635b99c6112b9abc5d5aaf3f449f68cf4072a188ec99fb09d4e,177853.4447974208,True,COMPLETED,0,0,0,1.613,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f030,ES.ME.AB.01.Gen.ReEx.001.001,es,0.3,serial,3,1e240f8bd68e1c01b4bbda6e5f122f291a33f02f94f6f373e244b2e288723050,177853.4447974208,True,COMPLETED,0,0,0,1.625,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f050,ES.ME.AB.01.Gen.ReEx.001.001,es,0.5,serial,1,a2833ef35ce6370e52f5d24da5f13311c5d68c2bef0abbee9a81348256ea3f9b,177808.44960956744,True,COMPLETED,0,0,0,1.627,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f050,ES.ME.AB.01.Gen.ReEx.001.001,es,0.5,serial,2,598596d8ad3a4c21602b617e04a8c76408f9193821df4e27a6a0131a1355175d,177808.44960956744,True,COMPLETED,0,0,0,1.748,True,False,False,
es__ES.ME.AB.01.Gen.ReEx.001.001__f050,ES.ME.AB.01.Gen.ReEx.001.001,es,0.5,serial,3,f026a0e45dfef98df2f2bff4725c927832400c667b95971951cf22bb3129da79,177808.44960956744,True,COMPLETED,0,0,0,1.617,True,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.0,thread,1,c59a5b0c13bd5c3936025b1eb5cda3defaeb0ac363f05cf8477bdf11b1f91e2f,429401.8978237175,True,COMPLETED,0,0,0,1.94,False,False,False,
