building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,layout_state,storey_count,dwelling_count,gross_area_m2,conditioned_area_m2,circulation_pct
way/100704656,residential,apartments,313.3,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,1252.2,1252.2,0.0
way/100704671,residential,residential,2166.2,6.0,18.0,storeys x 3.0 m,,massing_box,6,0,12997.4,12997.4,0.0
way/100704677,residential,apartments,221.6,7.0,21.0,storeys x 3.0 m,,massing_box,7,0,1550.8,1550.8,0.0
way/100704682,residential,apartments,687.8,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,2063.4,2063.4,0.0
way/100704705,residential,apartments,1449.5,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,5799.1,5799.1,0.0
way/100704712,residential,apartments,80.6,4.0,12.0,storeys x 3.0 m,,ruled,3,3,241.7,241.7,0.0
way/100704723,residential,apartments,306.9,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,1228.3,1228.3,0.0
way/100704738,residential,apartments,170.8,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,683.1,683.1,0.0
way/100704741,residential,apartments,362.9,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,1088.7,1088.7,0.0
way/133979799,residential,apartments,306.4,6.0,18.0,storeys x 3.0 m,,massing_box,6,0,1837.6,1837.6,0.0
way/195286070,residential,apartments,2102.8,,9.0,assumed 9.0 m,,massing_box,9,0,18923.7,18923.7,0.0
way/195286075,residential,apartments,75.7,3.0,9.0,storeys x 3.0 m,,ruled,2,2,151.4,151.4,0.0
way/198082036,residential,apartments,205.7,5.0,15.0,storeys x 3.0 m,,massing_box,5,0,1029.3,1029.3,0.0
way/198082054,residential,apartments,483.8,7.0,21.0,storeys x 3.0 m,,ruled,7,32,3023.8,3023.8,0.0
way/198082056,residential,apartments,283.5,2.0,6.0,storeys x 3.0 m,,massing_box,2,0,567.0,567.0,0.0
way/224012143,residential,house,244.2,5.0,15.0,storeys x 3.0 m,,ruled,5,14,1099.1,1099.1,0.0
way/232618736,residential,apartments,331.3,7.0,21.0,storeys x 3.0 m,,massing_box,7,0,2318.9,2318.9,0.0
way/277649994,residential,apartments,189.3,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,757.3,757.3,0.0
way/277649996,residential,apartments,185.8,4.0,12.0,storeys x 3.0 m,,ruled,4,16,743.3,743.3,0.0
