Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,5.067069E-01,1.481681E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,8.448791E-01,8.303913E+03,1.886152E+04,2.056260E+00,2.722028E+04,2.026827E+00,0.000000E+00,0.000000E+00,2.026827E+00,6.113192E+02,2.307167E+00,2.758083E+04,4.416767E+04,6.649909E-01,1.944525E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,5.624380E-01,5.527934E+03,1.255616E+04
00:20:00,5.067069E-01,1.481681E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,8.506197E-01,8.280842E+03,1.890787E+04,2.093889E+00,2.705071E+04,2.026827E+00,0.000000E+00,0.000000E+00,2.026827E+00,7.161686E+02,2.331373E+00,2.781407E+04,4.441162E+04,6.769675E-01,1.979547E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,5.675585E-01,5.525222E+03,1.261589E+04
00:30:00,5.067069E-01,1.481681E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,8.557314E-01,8.250635E+03,1.893919E+04,2.134398E+00,2.687067E+04,2.026827E+00,0.000000E+00,0.000000E+00,2.026827E+00,8.210181E+02,2.353214E+00,2.801428E+04,4.460458E+04,6.876014E-01,2.010642E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,5.721170E-01,5.516134E+03,1.266219E+04
00:40:00,5.067069E-01,1.481681E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,8.603357E-01,8.214629E+03,1.895836E+04,2.170402E+00,2.671273E+04,2.026827E+00,0.000000E+00,0.000000E+00,2.026827E+00,9.258675E+02,2.372939E+00,2.818494E+04,4.476054E+04,6.972607E-01,2.038887E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,5.761648E-01,5.501317E+03,1.269637E+04
00:50:00,5.067069E-01,1.481681E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,8.645096E-01,8.173691E+03,1.896720E+04,2.202826E+00,2.657210E+04,2.026827E+00,0.000000E+00,0.000000E+00,2.026827E+00,1.030717E+03,2.390834E+00,2.833005E+04,4.488915E+04,7.062362E-01,2.065132E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,5.797634E-01,5.481498E+03,1.271992E+04
01:00:00,5.067069E-01,1.481681E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,8.683163E-01,8.128537E+03,1.896721E+04,2.232218E+00,2.644586E+04,2.026827E+00,0.000000E+00,0.000000E+00,2.026827E+00,1.135566E+03,2.407171E+00,2.845339E+04,4.499620E+04,7.147991E-01,2.090172E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,5.829725E-01,5.457358E+03,1.273426E+04
01:10:00,5.067069E-01,1.481681E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,8.727618E-01,8.115778E+03,1.900835E+04,2.259105E+00,2.633139E+04,2.026827E+00,0.000000E+00,0.000000E+00,2.026827E+00,1.205466E+03,2.425817E+00,2.864394E+04,4.517710E+04,7.232838E-01,2.114982E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,5.867363E-01,5.456038E+03,1.277885E+04
01:20:00,5.067069E-01,1.481681E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,8.769854E-01,8.100416E+03,1.904411E+04,2.283811E+00,2.622701E+04,2.026827E+00,0.000000E+00,0.000000E+00,2.026827E+00,1.275366E+03,2.443480E+00,2.882076E+04,4.534492E+04,7.314706E-01,2.138921E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,5.902456E-01,5.451898E+03,1.281744E+04
01:30:00,5.074361E-01,1.483814E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,8.810204E-01,8.082798E+03,1.907525E+04,2.306657E+00,2.613115E+04,2.026827E+00,0.000000E+00,0.000000E+00,2.026827E+00,1.345265E+03,2.460287E+00,2.898562E+04,4.550138E+04,7.393650E-01,2.162006E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,5.935312E-01,5.445268E+03,1.285073E+04
01:40:00,5.083863E-01,1.486592E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,8.849160E-01,8.063406E+03,1.910287E+04,2.327899E+00,2.604259E+04,2.026827E+00,0.000000E+00,0.000000E+00,2.026827E+00,1.415165E+03,2.476481E+00,2.914193E+04,4.565018E+04,7.469552E-01,2.184200E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,5.966483E-01,5.436694E+03,1.287997E+04
01:50:00,5.099330E-01,1.491115E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,8.886950E-01,8.042473E+03,1.912747E+04,2.347731E+00,2.596038E+04,2.026827E+00,0.000000E+00,0.000000E+00,2.026827E+00,1.485065E+03,2.492139E+00,2.929074E+04,4.579255E+04,7.542572E-01,2.205553E+04,5.067069E-01,0.000000E+00,0.000000E+00,5.067069E-01,0.000000E+00,5.996182E-01,5.426398E+03,1.290564E+04
