Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,1.029995E+00,1.012333E+04,2.299415E+04,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.679138E-01,8.530310E+03,1.937576E+04,8.895950E-01,2.601299E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.709361E-01,8.560015E+03,1.944323E+04
00:20:00,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,1.040677E+00,1.013107E+04,2.313254E+04,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.680603E-01,8.450628E+03,1.929555E+04,9.019828E-01,2.637523E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.710102E-01,8.479345E+03,1.936112E+04
00:30:00,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,1.050734E+00,1.013078E+04,2.325504E+04,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.680762E-01,8.369659E+03,1.921241E+04,9.134213E-01,2.670971E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.709505E-01,8.397372E+03,1.927603E+04
00:40:00,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,1.060210E+00,1.012306E+04,2.336278E+04,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.679849E-01,8.287665E+03,1.912691E+04,9.241938E-01,2.702471E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.707811E-01,8.314363E+03,1.918853E+04
00:50:00,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,1.069243E+00,1.010939E+04,2.345903E+04,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.678181E-01,8.204973E+03,1.903979E+04,9.342941E-01,2.732005E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.705346E-01,8.230656E+03,1.909939E+04
01:00:00,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,1.077869E+00,1.009022E+04,2.354462E+04,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.675889E-01,8.121728E+03,1.895132E+04,9.437388E-01,2.759623E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.702246E-01,8.146401E+03,1.900890E+04
01:10:00,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,1.087365E+00,1.011137E+04,2.368232E+04,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.674220E-01,8.066123E+03,1.889205E+04,9.522614E-01,2.784544E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.700416E-01,8.090483E+03,1.894911E+04
01:20:00,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,1.096558E+00,1.012853E+04,2.381222E+04,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.672338E-01,8.010343E+03,1.883235E+04,9.601132E-01,2.807504E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.698382E-01,8.034400E+03,1.888891E+04
01:30:00,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,1.105461E+00,1.014190E+04,2.393469E+04,8.600686E-01,2.514960E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.670303E-01,7.954447E+03,1.877235E+04,9.673418E-01,2.828641E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.696207E-01,7.978213E+03,1.882844E+04
01:40:00,8.599340E-01,2.514566E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,1.114082E+00,1.015158E+04,2.404992E+04,8.615147E-01,2.519188E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.668146E-01,7.898464E+03,1.871211E+04,9.741136E-01,2.848443E+04,8.599340E-01,0.000000E+00,0.000000E+00,8.599340E-01,0.000000E+00,8.693921E-01,7.921951E+03,1.876775E+04
