osm_id,archetype_id,after_B08b,before_B08b,delta_eui,delta_pct
way/1014146287,MidriseApartment,1297.749454561129,1297.749453429569,1.1315598840155872e-06,8.719401738334068e-08
way/1108091110,MidriseApartment,834.6633092131124,834.6633083771899,8.359224921150599e-07,1.0015086127846188e-07
way/1108091236,MidriseApartment,813.3843648408484,813.3843653848777,-5.440292625280563e-07,-6.688464712136828e-08
way/1108091399,MidriseApartment,756.6025890480925,756.6025870640851,1.9840073264276725e-06,2.6222581846123465e-07
way/1108091546,SmallOffice,153.6579047355677,153.65790473604662,-4.789058039023075e-10,-3.116701381064459e-10
way/1108091564,MidriseApartment,715.46488030296,715.4648816535636,-1.3506036111721187e-06,-1.887728728278933e-07
way/1108092665,MidriseApartment,773.1417514042524,773.1417516462144,-2.4196197045966983e-07,-3.129593893286342e-08
way/1108092667,MidriseApartment,791.7022769238682,791.7022757706345,1.1532337111930246e-06,1.4566507467349128e-07
way/815835740,SmallOffice,100.88850929141371,100.88850929026717,1.1465459692772129e-09,1.1364485186102571e-09
way/845749027,MidriseApartment,681.6843082183633,681.684306661674,1.5566893125651404e-06,2.2835927090481477e-07
