Time,BACK_SPACE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BACK_SPACE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BACK_SPACE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BACK_SPACE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BACK_SPACE::Des Latent Heat Load [W],BACK_SPACE::Des Latent Cool Load [W],BACK_SPACE::Des Latent Heat Mass Flow [kg/s],BACK_SPACE::Des Latent Cool Mass Flow [kg/s],BACK_SPACE::Des Heat Load No DOAS [W],BACK_SPACE::Des Sens Cool Load No DOAS [W],BACK_SPACE::Des Latent Heat Load No DOAS [W],BACK_SPACE::Des Latent Cool Load No DOAS [W],BACK_SPACE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],BACK_SPACE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],BACK_SPACE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],BACK_SPACE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],CORE_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_RETAIL::Des Latent Heat Load [W],CORE_RETAIL::Des Latent Cool Load [W],CORE_RETAIL::Des Latent Heat Mass Flow [kg/s],CORE_RETAIL::Des Latent Cool Mass Flow [kg/s],CORE_RETAIL::Des Heat Load No DOAS [W],CORE_RETAIL::Des Sens Cool Load No DOAS [W],CORE_RETAIL::Des Latent Heat Load No DOAS [W],CORE_RETAIL::Des Latent Cool Load No DOAS [W],CORE_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],CORE_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],CORE_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],CORE_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],POINT_OF_SALE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],POINT_OF_SALE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],POINT_OF_SALE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],POINT_OF_SALE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],POINT_OF_SALE::Des Latent Heat Load [W],POINT_OF_SALE::Des Latent Cool Load [W],POINT_OF_SALE::Des Latent Heat Mass Flow [kg/s],POINT_OF_SALE::Des Latent Cool Mass Flow [kg/s],POINT_OF_SALE::Des Heat Load No DOAS [W],POINT_OF_SALE::Des Sens Cool Load No DOAS [W],POINT_OF_SALE::Des Latent Heat Load No DOAS [W],POINT_OF_SALE::Des Latent Cool Load No DOAS [W],POINT_OF_SALE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],POINT_OF_SALE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],POINT_OF_SALE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],POINT_OF_SALE:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],FRONT_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FRONT_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FRONT_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FRONT_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],FRONT_RETAIL::Des Latent Heat Load [W],FRONT_RETAIL::Des Latent Cool Load [W],FRONT_RETAIL::Des Latent Heat Mass Flow [kg/s],FRONT_RETAIL::Des Latent Cool Mass Flow [kg/s],FRONT_RETAIL::Des Heat Load No DOAS [W],FRONT_RETAIL::Des Sens Cool Load No DOAS [W],FRONT_RETAIL::Des Latent Heat Load No DOAS [W],FRONT_RETAIL::Des Latent Cool Load No DOAS [W],FRONT_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],FRONT_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],FRONT_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],FRONT_RETAIL:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],FRONT_ENTRY:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FRONT_ENTRY:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FRONT_ENTRY:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FRONT_ENTRY:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],FRONT_ENTRY::Des Latent Heat Load [W],FRONT_ENTRY::Des Latent Cool Load [W],FRONT_ENTRY::Des Latent Heat Mass Flow [kg/s],FRONT_ENTRY::Des Latent Cool Mass Flow [kg/s],FRONT_ENTRY::Des Heat Load No DOAS [W],FRONT_ENTRY::Des Sens Cool Load No DOAS [W],FRONT_ENTRY::Des Latent Heat Load No DOAS [W],FRONT_ENTRY::Des Latent Cool Load No DOAS [W],FRONT_ENTRY:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],FRONT_ENTRY:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],FRONT_ENTRY:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],FRONT_ENTRY:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,8.256860E+03,0.000000E+00,3.313025E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555922E+01,5.707525E+01,2.775571E+01,4.220466E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.749700E+01,5.798901E+01,2.807622E+01,4.666853E+01,7.263906E+03,3.869909E+03,2.914533E-01,2.278818E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555860E+01,5.931898E+01,2.943847E+01,4.208288E+01,7.254843E+03,0.000000E+00,2.910897E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555860E+01,5.931247E+01,2.757204E+01,5.044912E+01,1.870273E+03,0.000000E+00,7.503742E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555734E+01,6.247601E+01,2.951799E+01,7.678042E+01
00:20:00,8.594625E+03,0.000000E+00,3.448544E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555917E+01,5.675789E+01,2.777779E+01,4.241391E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.745401E+01,5.800016E+01,2.811297E+01,4.714534E+01,7.401650E+03,3.910742E+03,2.969795E-01,2.302873E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555855E+01,5.914830E+01,2.943841E+01,4.234985E+01,7.392479E+03,0.000000E+00,2.966115E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555855E+01,5.914146E+01,2.758119E+01,5.106106E+01,1.872012E+03,0.000000E+00,7.510728E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555736E+01,6.253212E+01,2.949113E+01,7.787823E+01
00:30:00,8.910067E+03,0.000000E+00,3.575106E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555912E+01,5.646551E+01,2.779767E+01,4.262451E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.741414E+01,5.799996E+01,2.814673E+01,4.762815E+01,7.534011E+03,3.946726E+03,3.022896E-01,2.324072E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555851E+01,5.900048E+01,2.943834E+01,4.259699E+01,7.524750E+03,0.000000E+00,3.019180E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555851E+01,5.899333E+01,2.758837E+01,5.166828E+01,1.873829E+03,0.000000E+00,7.518029E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555738E+01,6.257960E+01,2.946476E+01,7.894695E+01
00:40:00,9.205807E+03,0.000000E+00,3.693762E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555907E+01,5.619689E+01,2.781573E+01,4.283560E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.737675E+01,5.799083E+01,2.817813E+01,4.811528E+01,7.661234E+03,3.978526E+03,3.073936E-01,2.342807E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555847E+01,5.887378E+01,2.943829E+01,4.282572E+01,7.651892E+03,0.000000E+00,3.070188E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555847E+01,5.886632E+01,2.759391E+01,5.227000E+01,1.875729E+03,0.000000E+00,7.525657E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555739E+01,6.262005E+01,2.943881E+01,7.998761E+01
00:50:00,9.485206E+03,0.000000E+00,3.805862E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555903E+01,5.595085E+01,2.783225E+01,4.304663E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.734131E+01,5.797466E+01,2.820764E+01,4.860548E+01,7.784144E+03,4.006913E+03,3.123246E-01,2.359532E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555843E+01,5.876655E+01,2.943823E+01,4.303739E+01,7.774728E+03,0.000000E+00,3.119468E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555843E+01,5.875881E+01,2.759806E+01,5.286575E+01,1.877715E+03,0.000000E+00,7.533629E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555740E+01,6.265480E+01,2.941316E+01,8.100136E+01
01:00:00,9.750351E+03,0.000000E+00,3.912241E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555899E+01,5.572629E+01,2.784745E+01,4.325712E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.730740E+01,5.795297E+01,2.823564E+01,4.909778E+01,7.903209E+03,4.032419E+03,3.171013E-01,2.374560E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555839E+01,5.867727E+01,2.943818E+01,4.323325E+01,7.893727E+03,0.000000E+00,3.167209E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555839E+01,5.866926E+01,2.760100E+01,5.345519E+01,1.879785E+03,0.000000E+00,7.541941E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555741E+01,6.268493E+01,2.938776E+01,8.198907E+01
01:10:00,1.000900E+04,0.000000E+00,4.016012E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555894E+01,5.552215E+01,2.786153E+01,4.346666E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.727471E+01,5.792692E+01,2.826241E+01,4.959139E+01,8.020946E+03,4.058627E+03,3.218248E-01,2.390001E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555836E+01,5.860452E+01,2.943813E+01,4.341446E+01,8.011408E+03,0.000000E+00,3.214421E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555836E+01,5.859626E+01,2.760290E+01,5.403801E+01,1.882216E+03,0.000000E+00,7.551695E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555741E+01,6.271133E+01,2.936268E+01,8.295109E+01
01:20:00,1.025536E+04,0.000000E+00,4.114857E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555890E+01,5.533738E+01,2.787489E+01,4.367431E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.724300E+01,5.789739E+01,2.828824E+01,5.008555E+01,8.135159E+03,4.082813E+03,3.264069E-01,2.404251E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555833E+01,5.854697E+01,2.943809E+01,4.358179E+01,8.125573E+03,0.000000E+00,3.260223E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555833E+01,5.853847E+01,2.760433E+01,5.461263E+01,1.884723E+03,0.000000E+00,7.561760E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555742E+01,6.273472E+01,2.933869E+01,8.388427E+01
01:30:00,1.049061E+04,0.000000E+00,4.209241E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555886E+01,5.517088E+01,2.788771E+01,4.387967E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.721214E+01,5.786489E+01,2.831330E+01,5.057978E+01,8.246179E+03,4.105342E+03,3.308609E-01,2.417525E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555830E+01,5.850327E+01,2.943804E+01,4.373609E+01,8.236552E+03,0.000000E+00,3.304746E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555830E+01,5.849455E+01,2.760550E+01,5.517850E+01,1.887304E+03,0.000000E+00,7.572116E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555742E+01,6.275567E+01,2.931571E+01,8.478954E+01
01:40:00,1.071542E+04,0.000000E+00,4.299437E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555882E+01,5.502156E+01,2.790004E+01,4.408272E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.718200E+01,5.782982E+01,2.833772E+01,5.107376E+01,8.354170E+03,4.126615E+03,3.351933E-01,2.430060E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555827E+01,5.847215E+01,2.943800E+01,4.387829E+01,8.344509E+03,0.000000E+00,3.348057E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555827E+01,5.846323E+01,2.760640E+01,5.573584E+01,1.889951E+03,0.000000E+00,7.582739E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.555743E+01,6.277467E+01,2.929333E+01,8.566957E+01
