run_tag,u_roof_w_m2k,r_val,thickness_m,sim_status,elapsed_s,has_ctf_fatal,end_text,err_path,end_path
coarse_00_u0.05,0.05,20.0,2.4,exit_1,0.26893190015107393,True,EnergyPlus Terminated--Fatal Error Detected. 5 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.09sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_00_u0.05\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_00_u0.05\eplusout.end
coarse_01_u0.08,0.08,12.5,1.5,exit_1,0.2674225000664592,True,EnergyPlus Terminated--Fatal Error Detected. 5 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.08sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_01_u0.08\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_01_u0.08\eplusout.end
coarse_02_u0.1,0.1,10.0,1.2,exit_1,0.2705679005011916,True,EnergyPlus Terminated--Fatal Error Detected. 5 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.08sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_02_u0.1\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_02_u0.1\eplusout.end
coarse_03_u0.113,0.113,8.849557522123893,1.0619469026548671,exit_1,0.26694370061159134,True,EnergyPlus Terminated--Fatal Error Detected. 5 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.08sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_03_u0.113\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_03_u0.113\eplusout.end
coarse_04_u0.116,0.116,8.620689655172413,1.0344827586206895,exit_1,0.26654629968106747,True,EnergyPlus Terminated--Fatal Error Detected. 5 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.08sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_04_u0.116\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_04_u0.116\eplusout.end
coarse_05_u0.119,0.119,8.403361344537815,1.0084033613445378,exit_1,0.2668838994577527,True,EnergyPlus Terminated--Fatal Error Detected. 5 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.09sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_05_u0.119\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_05_u0.119\eplusout.end
coarse_06_u0.122,0.122,8.19672131147541,0.983606557377049,exit_1,0.26193519961088896,True,EnergyPlus Terminated--Fatal Error Detected. 5 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.08sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_06_u0.122\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_06_u0.122\eplusout.end
coarse_07_u0.125,0.125,8.0,0.96,exit_1,0.2712457999587059,True,EnergyPlus Terminated--Fatal Error Detected. 5 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.08sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_07_u0.125\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_07_u0.125\eplusout.end
coarse_08_u0.13,0.13,7.692307692307692,0.9230769230769229,exit_1,0.26276860013604164,True,EnergyPlus Terminated--Fatal Error Detected. 5 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.08sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_08_u0.13\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_08_u0.13\eplusout.end
coarse_09_u0.14,0.14,7.142857142857142,0.8571428571428571,exit_0,5.9974566996097565,False,EnergyPlus Completed Successfully-- 173113 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  5.81sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_09_u0.14\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_09_u0.14\eplusout.end
coarse_10_u0.15,0.15,6.666666666666667,0.8,exit_0,5.94390709977597,False,EnergyPlus Completed Successfully-- 173156 Warning; 2 Severe Errors; Elapsed Time=00hr 00min  5.75sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_10_u0.15\eplusout.err,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-investigation\i03\part4_bisection\runs\coarse_10_u0.15\eplusout.end
