Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,220514911.61229736,220514911.61229733 
 01/01  02:00:00,198014278.80082992,198014278.80082992 
 01/01  03:00:00,227730429.3963579,227730429.3963579 
 01/01  04:00:00,202260720.4095064,202260720.4095064 
 01/01  05:00:00,228072917.8413227,228072917.8413227 
 01/01  06:00:00,207159069.47851345,207159069.47851342 
 01/01  07:00:00,245465217.7006814,245465217.7006814 
 01/01  08:00:00,218881560.357616,218881560.357616 
 01/01  09:00:00,227243816.6220528,226574675.600853 
 01/01  10:00:00,188680748.29604948,182267977.65584242 
 01/01  11:00:00,192809283.73407853,180341528.69029683 
 01/01  12:00:00,149141449.48295057,128884634.31337632 
 01/01  13:00:00,160788064.37940377,135102517.11060336 
 01/01  14:00:00,149371109.2041337,126541133.74514797 
 01/01  15:00:00,153600392.79105633,136069790.82480526 
 01/01  16:00:00,147981970.44660345,137468190.28730017 
 01/01  17:00:00,197181733.68609884,194379674.6042546 
 01/01  18:00:00,205727102.61197734,205727102.6119774 
 01/01  19:00:00,225874669.1123831,225874669.11238307 
 01/01  20:00:00,200693206.68206325,200693206.68206325 
 01/01  21:00:00,225742259.02980256,225742259.02980253 
 01/01  22:00:00,205873288.26657858,205873288.26657856 
 01/01  23:00:00,254038430.47621304,254038430.47621304 
 01/01  24:00:00,226666492.85415423,226666492.85415426 
 01/02  01:00:00,276281660.07169825,276281660.0716982 
 01/02  02:00:00,243727423.8940919,243727423.8940919 
 01/02  03:00:00,280316060.64446855,280316060.64446855 
 01/02  04:00:00,246578763.38465226,246578763.38465226 
 01/02  05:00:00,274917288.475896,274917288.47589594 
 01/02  06:00:00,522433553.59602565,522433553.5960256 
 01/02  07:00:00,1122625044.5294478,1122625044.5294478 
 01/02  08:00:00,1205000751.3742406,1205000751.3742406 
 01/02  09:00:00,1163007627.1837687,1162382179.5233092 
 01/02  10:00:00,982868900.7164631,976637720.3854451 
 01/02  11:00:00,860065595.898386,848111216.1107132 
 01/02  12:00:00,793972817.3393492,779639999.7661933 
 01/02  13:00:00,761860413.1992284,746840568.9392656 
 01/02  14:00:00,683161242.634138,667931048.8415967 
 01/02  15:00:00,636735561.1644276,625333115.192319 
 01/02  16:00:00,623878133.0646967,617070696.0678142 
 01/02  17:00:00,618899500.6946886,616588492.1181746 
 01/02  18:00:00,642459391.5087664,642459391.5087663 
 01/02  19:00:00,635405596.8778474,635405596.8778474 
 01/02  20:00:00,609112185.0675656,609112185.0675657 
 01/02  21:00:00,589130616.0632833,589130616.0632833 
 01/02  22:00:00,579812658.7014067,579812658.7014067 
 01/02  23:00:00,133291636.18313839,133291636.18313839 
 01/02  24:00:00,129029172.75466412,129029172.75466412 
 01/03  01:00:00,104518602.63261475,104518602.63261475 
 01/03  02:00:00,104518602.63261475,104518602.63261475 
 01/03  03:00:00,104518602.63261475,104518602.63261475 
 01/03  04:00:00,104518602.63261475,104518602.63261475 
 01/03  05:00:00,104518602.63261475,104518602.63261475 
 01/03  06:00:00,276551253.7480871,276551253.7480871 
 01/03  07:00:00,612187673.7934403,612187673.7934402 
 01/03  08:00:00,793657467.4636425,793657467.4636424 
 01/03  09:00:00,680944291.4313754,680123390.1719191 
 01/03  10:00:00,568753299.1173431,561446240.803006 
 01/03  11:00:00,500407814.1758505,486659740.28127444 
 01/03  12:00:00,461437760.05490005,440807324.52046144 
 01/03  13:00:00,465411412.3848951,439207826.98439723 
 01/03  14:00:00,416391627.3912675,387371226.8407218 
