Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,158608866.73546082,158608866.73546082 
 01/01  02:00:00,133012463.32357424,133012463.32357422 
 01/01  03:00:00,145977017.39916986,145977017.39916986 
 01/01  04:00:00,133449862.19522884,133449862.19522884 
 01/01  05:00:00,144295391.82753292,144295391.82753292 
 01/01  06:00:00,134919589.38593352,134919589.38593352 
 01/01  07:00:00,162588787.8428317,162588787.84283173 
 01/01  08:00:00,140508658.61311114,140508658.61311114 
 01/01  09:00:00,141868032.10757825,141198891.0863785 
 01/01  10:00:00,125616505.28017077,119203734.63996369 
 01/01  11:00:00,133011142.48131299,120543387.43753129 
 01/01  12:00:00,107764178.43423495,87507363.2646607 
 01/01  13:00:00,114102428.69824387,88416881.4294435 
 01/01  14:00:00,106933144.33744475,84103168.87845899 
 01/01  15:00:00,114492114.83802277,96961512.8717717 
 01/01  16:00:00,106248286.76813813,95734506.60883483 
 01/01  17:00:00,135261750.2640434,132459691.18219915 
 01/01  18:00:00,137347855.72299406,137347855.72299406 
 01/01  19:00:00,147839724.0827672,147839724.0827672 
 01/01  20:00:00,133880295.57222943,133880295.57222942 
 01/01  21:00:00,154815935.61429256,154815935.61429256 
 01/01  22:00:00,147454496.23337933,147454496.2333793 
 01/01  23:00:00,176127350.02100343,176127350.02100343 
 01/01  24:00:00,156404146.4162107,156404146.41621074 
 01/02  01:00:00,185578280.78707317,185578280.78707314 
 01/02  02:00:00,162381442.3703771,162381442.37037712 
 01/02  03:00:00,188093715.3023743,188093715.30237427 
 01/02  04:00:00,163969356.49390557,163969356.49390557 
 01/02  05:00:00,184227127.89788464,184227127.89788464 
 01/02  06:00:00,400009472.0770531,400009472.0770531 
 01/02  07:00:00,755852625.2683388,755852625.2683388 
 01/02  08:00:00,791525004.5597384,791525004.5597384 
 01/02  09:00:00,807359487.5613971,806734039.9009377 
 01/02  10:00:00,710590226.2602416,704359045.9292237 
 01/02  11:00:00,644295155.6825975,632340775.8949246 
 01/02  12:00:00,599392087.0554392,585059269.4822836 
 01/02  13:00:00,588739655.957015,573719811.6970525 
 01/02  14:00:00,531260955.6506671,516030761.8581257 
 01/02  15:00:00,496774288.5650288,485371842.5929201 
 01/02  16:00:00,477806108.03474003,470998671.03785765 
 01/02  17:00:00,467265527.67900807,464954519.10249424 
 01/02  18:00:00,495998763.5798863,495998763.5798863 
 01/02  19:00:00,492264427.1106626,492264427.1106627 
 01/02  20:00:00,471744183.1850507,471744183.1850506 
 01/02  21:00:00,455226793.6813978,455226793.6813978 
 01/02  22:00:00,447280708.37640095,447280708.3764009 
 01/02  23:00:00,76638389.2223021,76638389.2223021 
 01/02  24:00:00,72378950.7428459,72378950.7428459 
 01/03  01:00:00,59101491.97393255,59101491.97393255 
 01/03  02:00:00,59101491.97393255,59101491.97393255 
 01/03  03:00:00,59101491.97393255,59101491.97393255 
 01/03  04:00:00,62275845.49818452,62275845.49818452 
 01/03  05:00:00,65588491.63155258,65588491.63155256 
 01/03  06:00:00,197109889.34560943,197109889.3456094 
 01/03  07:00:00,499363376.6452488,499363376.6452489 
 01/03  08:00:00,591176057.1386179,591176057.1386179 
 01/03  09:00:00,494878952.1895348,494058050.9300785 
 01/03  10:00:00,424740070.4008738,417433012.0865369 
 01/03  11:00:00,383654652.36914086,369906578.4745649 
 01/03  12:00:00,348302832.63254994,327672397.09811133 
 01/03  13:00:00,369682483.69548017,343478898.29498243 
 01/03  14:00:00,297435310.0706724,268414909.52012676 
 01/03  15:00:00,264990406.93188417,240734594.5310691 
 01/03  16:00:00,264337998.5757571,251761264.85395837 
 01/03  17:00:00,288174252.29797274,285551222.9375371 
 01/03  18:00:00,327074662.7346995,327074662.7346994 
 01/03  19:00:00,330222968.9205386,330222968.92053854 
 01/03  20:00:00,315506276.49704486,315506276.49704486 
 01/03  21:00:00,317140273.880145,317140273.880145 
 01/03  22:00:00,325368101.95482725,325368101.9548272 
 01/03  23:00:00,76638389.2223021,76638389.2223021 
 01/03  24:00:00,72378950.7428459,72378950.7428459 
 01/04  01:00:00,59101491.97393255,59101491.97393255 
 01/04  02:00:00,59101491.97393255,59101491.97393255 
 01/04  03:00:00,61937732.499877244,61937732.499877244 
 01/04  04:00:00,66799727.23153878,66799727.23153876 
 01/04  05:00:00,70259075.66945274,70259075.66945273 
 01/04  06:00:00,188908646.52047896,188908646.52047893 
 01/04  07:00:00,462622715.19206,462622715.19206005 
 01/04  08:00:00,560576042.7044615,560576042.7044613 
 01/04  09:00:00,493963017.29785264,493007680.17681694 
 01/04  10:00:00,437909742.64337176,429862445.3212445 
 01/04  11:00:00,405110384.33580846,390285231.2123193 
 01/04  12:00:00,385667222.2911291,365266334.12310785 
 01/04  13:00:00,393330472.8942794,368548453.7649924 
 01/04  14:00:00,360532589.3727499,337650849.0354906 
 01/04  15:00:00,346009039.6217567,328954710.7261861 
 01/04  16:00:00,344673900.99437064,333771984.13093257 
 01/04  17:00:00,353873999.333721,350296735.14699847 
 01/04  18:00:00,374792706.13188857,374792706.13188857 
 01/04  19:00:00,374476618.9489661,374476618.948966 
 01/04  20:00:00,357107803.2575473,357107803.2575473 
 01/04  21:00:00,352616725.9491484,352616725.9491483 
 01/04  22:00:00,353741127.30040854,353741127.30040854 
 01/04  23:00:00,76638389.2223021,76638389.2223021 
 01/04  24:00:00,72378950.7428459,72378950.7428459 
 01/05  01:00:00,59101491.97393255,59101491.97393255 
 01/05  02:00:00,59101491.97393255,59101491.97393255 
 01/05  03:00:00,59101491.97393255,59101491.97393255 
 01/05  04:00:00,59101491.97393255,59101491.97393255 
 01/05  05:00:00,59101491.97393255,59101491.97393255 
 01/05  06:00:00,169891958.54662243,169891958.5466224 
 01/05  07:00:00,450789928.8398687,450789928.83986866 
 01/05  08:00:00,555709163.8026102,555709163.8026102 
 01/05  09:00:00,497963879.1324804,496449827.91999424 
 01/05  10:00:00,397776274.87312806,381594523.42541194 
 01/05  11:00:00,341562570.17487806,311178508.5529115 
 01/05  12:00:00,312440025.8127152,273899135.062369 
 01/05  13:00:00,333137298.0108738,293595224.55903316 
 01/05  14:00:00,283891574.89973134,248876796.3559053 
 01/05  15:00:00,261406435.701391,234924060.6558052 
 01/05  16:00:00,258423105.9594539,244304883.1674688 
 01/05  17:00:00,278968915.64097524,276053965.0440095 
 01/05  18:00:00,290420217.0230237,290420217.0230236 
 01/05  19:00:00,286020136.4942964,286020136.4942963 
 01/05  20:00:00,280246730.77338594,280246730.7733859 
 01/05  21:00:00,284249545.58044165,284249545.58044165 
 01/05  22:00:00,292966221.02818006,292966221.0281801 
 01/05  23:00:00,76638389.2223021,76638389.2223021 
 01/05  24:00:00,72378950.7428459,72378950.7428459 
 01/06  01:00:00,59101491.97393255,59101491.97393255 
 01/06  02:00:00,59101491.97393255,59101491.97393255 
 01/06  03:00:00,59101491.97393255,59101491.97393255 
 01/06  04:00:00,59101491.97393255,59101491.97393255 
 01/06  05:00:00,64405580.02718355,64405580.02718353 
 01/06  06:00:00,155849846.89855942,155849846.89855942 
 01/06  07:00:00,391889531.16561544,391889531.1656154 
 01/06  08:00:00,494255212.133155,494255212.1331549 
 01/06  09:00:00,426010662.54597455,424577084.34473544 
 01/06  10:00:00,333994604.6796005,318490969.91306067 
 01/06  11:00:00,289725048.59205735,259555075.83642864 
 01/06  12:00:00,268527571.2543371,229058700.29953194 
 01/06  13:00:00,298618924.8851512,256490101.9188874 
 01/06  14:00:00,246811497.8500286,209101191.95869774 
 01/06  15:00:00,232539666.72804478,204747846.0651583 
 01/06  16:00:00,231376448.467301,216405543.40679422 
 01/06  17:00:00,244463164.85887194,241207139.78065234 
 01/06  18:00:00,246545873.1584545,246545873.15845442 
 01/06  19:00:00,217099043.9339897,217099043.9339897 
 01/06  20:00:00,214973385.5430522,214973385.5430522 
 01/06  21:00:00,222171312.61569762,222171312.61569762 
 01/06  22:00:00,232599801.15616402,232599801.15616396 
 01/06  23:00:00,76638389.2223021,76638389.2223021 
 01/06  24:00:00,72378950.7428459,72378950.7428459 
 01/07  01:00:00,47850830.928650014,47850830.928650014 
 01/07  02:00:00,47850830.928650014,47850830.928650014 
 01/07  03:00:00,47850830.928650014,47850830.928650014 
 01/07  04:00:00,47850830.928650014,47850830.928650014 
 01/07  05:00:00,47850830.928650014,47850830.928650014 
 01/07  06:00:00,80381528.40087745,80381528.40087745 
 01/07  07:00:00,305523789.5788656,305523789.5788655 
 01/07  08:00:00,372861414.6836632,372861414.68366313 
 01/07  09:00:00,318571576.61506885,317099633.50539577 
 01/07  10:00:00,257494675.71271113,241732761.74321938 
 01/07  11:00:00,220756962.56969953,190944828.9101967 
 01/07  12:00:00,202971299.89743537,164776837.79480895 
 01/07  13:00:00,167047840.23056108,127329557.86522429 
 01/07  14:00:00,147341531.56176922,111781358.39683953 
 01/07  15:00:00,131975286.14684394,105352161.40477736 
 01/07  16:00:00,129965448.3925792,115497840.54658952 
 01/07  17:00:00,138303418.08204105,135026220.7962981 
 01/07  18:00:00,72195126.95582283,72195126.95582283 
 01/07  19:00:00,63802435.73714973,63802435.73714973 
 01/07  20:00:00,50308118.928650014,50308118.928650014 
 01/07  21:00:00,50308118.928650014,50308118.928650014 
 01/07  22:00:00,50308118.928650014,50308118.928650014 
 01/07  23:00:00,50308118.928650014,50308118.928650014 
 01/07  24:00:00,50308118.928650014,50308118.928650014 
 01/08  01:00:00,47850830.928650014,47850830.928650014 
 01/08  02:00:00,47850830.928650014,47850830.928650014 
 01/08  03:00:00,47850830.928650014,47850830.928650014 
 01/08  04:00:00,47850830.928650014,47850830.928650014 
 01/08  05:00:00,47850830.928650014,47850830.928650014 
 01/08  06:00:00,47850830.928650014,47850830.928650014 
 01/08  07:00:00,63802435.73714973,63802435.73714973 
 01/08  08:00:00,61507591.73714973,61507591.73714972 
 01/08  09:00:00,55595588.17726873,54206764.0493823 
 01/08  10:00:00,53779450.183025755,42768746.35385804 
 01/08  11:00:00,49422119.0889579,28959662.02928895 
 01/08  12:00:00,49402348.787339516,23827420.628998592 
 01/08  13:00:00,49404307.35491784,23031190.749557167 
 01/08  14:00:00,49415130.15223351,25611109.003559873 
 01/08  15:00:00,49440346.114642665,31014824.45916175 
 01/08  16:00:00,49489605.520958826,38765627.4713436 
 01/08  17:00:00,51975621.21602841,48356514.76417874 
 01/08  18:00:00,63802435.73714973,63802435.73714973 
 01/08  19:00:00,55711844.92865002,55711844.92865002 
 01/08  20:00:00,50308118.928650014,50308118.928650014 
 01/08  21:00:00,50308118.928650014,50308118.928650014 
 01/08  22:00:00,50308118.928650014,50308118.928650014 
 01/08  23:00:00,50308118.928650014,50308118.928650014 
 01/08  24:00:00,50308118.928650014,50308118.928650014 
 01/09  01:00:00,59101491.97393255,59101491.97393255 
 01/09  02:00:00,59101491.97393255,59101491.97393255 
 01/09  03:00:00,59101491.97393255,59101491.97393255 
 01/09  04:00:00,63785503.42688309,63785503.42688309 
 01/09  05:00:00,63934098.10578677,63934098.105786756 
 01/09  06:00:00,64942514.99904518,64942514.99904518 
 01/09  07:00:00,372127554.77580035,372127554.77580035 
 01/09  08:00:00,509932384.8234428,509932384.8234428 
 01/09  09:00:00,416093193.12218285,415699959.0140718 
 01/09  10:00:00,366668224.2683909,362817844.6436916 
 01/09  11:00:00,344128324.28438395,338855622.9699718 
 01/09  12:00:00,329990829.4038286,323703061.7128473 
 01/09  13:00:00,359397527.09996367,352611040.1184665 
 01/09  14:00:00,296392314.4091655,287870257.7961644 
 01/09  15:00:00,277651065.46939117,269483053.8633145 
 01/09  16:00:00,274624215.22403014,269372837.63807034 
 01/09  17:00:00,282820690.09653205,280854158.5422092 
 01/09  18:00:00,307001265.65724313,307001265.657243 
 01/09  19:00:00,266939610.0492438,266939610.0492437 
 01/09  20:00:00,253443190.06595153,253443190.0659515 
 01/09  21:00:00,238401876.70121354,238401876.70121354 
 01/09  22:00:00,236848618.06897044,236848618.06897038 
 01/09  23:00:00,76638389.2223021,76638389.2223021 
 01/09  24:00:00,72378950.7428459,72378950.7428459 
 01/10  01:00:00,59101491.97393255,59101491.97393255 
 01/10  02:00:00,59101491.97393255,59101491.97393255 
 01/10  03:00:00,59101491.97393255,59101491.97393255 
 01/10  04:00:00,59101491.97393255,59101491.97393255 
 01/10  05:00:00,59101491.97393255,59101491.97393255 
 01/10  06:00:00,60139775.3689941,60139775.3689941 
 01/10  07:00:00,219855349.9940235,219855349.99402347 
 01/10  08:00:00,353571404.7566767,353571404.7566767 
 01/10  09:00:00,323162316.5639957,323100610.38743734 
 01/10  10:00:00,283591248.4371979,282041049.9571657 
 01/10  11:00:00,262229778.33564055,258566290.55642188 
 01/10  12:00:00,257348603.58016542,252887724.12291884 
 01/10  13:00:00,291234517.6168344,285925001.4339639 
 01/10  14:00:00,247157432.83391997,238865180.93861717 
 01/10  15:00:00,233868178.40094304,223620237.00237525 
 01/10  16:00:00,233832961.07857007,226501567.95399222 
 01/10  17:00:00,255442754.57901922,253359913.30257446 
 01/10  18:00:00,276453660.43896234,276453660.43896234 
 01/10  19:00:00,277787722.74146974,277787722.74146974 
 01/10  20:00:00,256004739.75810573,256004739.7581057 
 01/10  21:00:00,256968955.80975243,256968955.80975246 
 01/10  22:00:00,266571040.17928064,266571040.1792806 
 01/10  23:00:00,76638389.2223021,76638389.2223021 
 01/10  24:00:00,72378950.7428459,72378950.7428459 
 01/11  01:00:00,59101491.97393255,59101491.97393255 
 01/11  02:00:00,63674220.17368276,63674220.17368276 
 01/11  03:00:00,70276517.97063266,70276517.97063264 
 01/11  04:00:00,79225883.38828824,79225883.38828824 
 01/11  05:00:00,79266595.86069134,79266595.86069134 
 01/11  06:00:00,211712679.62639928,211712679.6263993 
 01/11  07:00:00,404972350.6858004,404972350.6858004 
 01/11  08:00:00,498134178.3220129,498134178.32201284 
 01/11  09:00:00,454835953.8892002,453495811.3446722 
 01/11  10:00:00,372580278.6305349,358932322.0445746 
 01/11  11:00:00,324666693.12220764,298821460.0920183 
 01/11  12:00:00,305869918.0362132,271702797.02636045 
 01/11  13:00:00,326811898.3295857,289556797.2978832 
 01/11  14:00:00,274774731.9923121,239350145.64603144 
 01/11  15:00:00,256265208.95699382,228199906.50800532 
 01/11  16:00:00,258443172.37666568,242015021.96065965 
 01/11  17:00:00,279445867.16845787,274928945.57128274 
 01/11  18:00:00,293583590.7619088,293583590.76190877 
 01/11  19:00:00,281118436.72829884,281118436.7282988 
 01/11  20:00:00,271332110.9004612,271332110.9004612 
 01/11  21:00:00,271996646.9846592,271996646.98465914 
 01/11  22:00:00,278242844.9086997,278242844.90869963 
 01/11  23:00:00,76638389.2223021,76638389.2223021 
 01/11  24:00:00,72378950.7428459,72378950.7428459 
 01/12  01:00:00,59101491.97393255,59101491.97393255 
 01/12  02:00:00,59101491.97393255,59101491.97393255 
 01/12  03:00:00,65414958.59999403,65414958.599994004 
 01/12  04:00:00,65983870.6497342,65983870.6497342 
 01/12  05:00:00,72098224.58305039,72098224.58305037 
 01/12  06:00:00,151448859.4871247,151448859.4871247 
 01/12  07:00:00,378123555.19932383,378123555.1993238 
 01/12  08:00:00,473054187.8981557,473054187.8981556 
 01/12  09:00:00,424516948.5196614,423497436.0714007 
 01/12  10:00:00,366781775.3341937,358824832.08555466 
 01/12  11:00:00,333942554.75735784,318590296.40598667 
 01/12  12:00:00,307933279.40322423,284833522.4654439 
 01/12  13:00:00,325523497.5466359,298582532.64832526 
 01/12  14:00:00,279799821.22453034,254678191.38273793 
 01/12  15:00:00,261313316.68003666,237855296.81064665 
 01/12  16:00:00,260211968.31897774,243596505.96785295 
 01/12  17:00:00,278163414.6248525,272718353.959602 
 01/12  18:00:00,318684366.72232544,318684366.72232544 
 01/12  19:00:00,324710371.71565175,324710371.71565175 
 01/12  20:00:00,304374472.8431057,304374472.8431057 
 01/12  21:00:00,288136388.6764406,288136388.6764406 
 01/12  22:00:00,293764717.00276244,293764717.00276244 
 01/12  23:00:00,76638389.2223021,76638389.2223021 
 01/12  24:00:00,72378950.7428459,72378950.7428459 
 01/13  01:00:00,59101491.97393255,59101491.97393255 
 01/13  02:00:00,67089040.21680035,67089040.21680035 
 01/13  03:00:00,76711244.42526661,76711244.42526661 
 01/13  04:00:00,80987306.37980704,80987306.37980704 
 01/13  05:00:00,92212957.76675923,92212957.76675923 
 01/13  06:00:00,208400368.45664015,208400368.4566401 
 01/13  07:00:00,433892435.0106683,433892435.0106682 
 01/13  08:00:00,517108714.3270229,517003193.2678375 
 01/13  09:00:00,459774952.1335844,456343236.0516634 
 01/13  10:00:00,385817125.9996215,372055448.18674004 
 01/13  11:00:00,341218636.71347624,317619517.02175224 
 01/13  12:00:00,316608849.1567198,285857345.94183135 
 01/13  13:00:00,334296611.62611437,299791261.30442315 
 01/13  14:00:00,285925866.1590537,253576341.98364338 
 01/13  15:00:00,269152860.9614295,244227714.5436908 
 01/13  16:00:00,273944942.60521007,259488275.53527576 
 01/13  17:00:00,292614351.54879886,287459897.37173295 
 01/13  18:00:00,315224217.5692576,315224217.56925756 
 01/13  19:00:00,294913803.6094496,294913803.6094497 
 01/13  20:00:00,274709169.3179985,274709169.3179985 
 01/13  21:00:00,282243239.4314616,282243239.4314616 
 01/13  22:00:00,296564562.5147344,296564562.5147343 
 01/13  23:00:00,76638389.2223021,76638389.2223021 
 01/13  24:00:00,72378950.7428459,72378950.7428459 
 01/14  01:00:00,47850830.928650014,47850830.928650014 
 01/14  02:00:00,62376861.8074716,62376861.8074716 
 01/14  03:00:00,62891013.57530495,62891013.575304955 
 01/14  04:00:00,61569496.967304505,61569496.967304505 
 01/14  05:00:00,55272897.27664897,55272897.27664895 
 01/14  06:00:00,140753876.8611326,140753876.8611326 
 01/14  07:00:00,381848342.3790905,381848342.3790904 
 01/14  08:00:00,452136372.6028781,452063307.02092785 
 01/14  09:00:00,366603963.67901284,363488912.9329488 
 01/14  10:00:00,323977728.09504116,311235490.06259394 
 01/14  11:00:00,285310409.6670915,263367906.6789283 
 01/14  12:00:00,263507344.21780884,234896480.627344 
 01/14  13:00:00,228189547.94666973,194719614.620416 
 01/14  14:00:00,208810450.58954233,175881097.87482423 
 01/14  15:00:00,189892465.6016225,164352225.12134036 
 01/14  16:00:00,187195979.29480785,173214170.2648426 
 01/14  17:00:00,213208903.80205938,209360135.6056125 
 01/14  18:00:00,72195126.95582283,72195126.95582283 
 01/14  19:00:00,63802435.73714973,63802435.73714973 
 01/14  20:00:00,50308118.928650014,50308118.928650014 
 01/14  21:00:00,50308118.928650014,50308118.928650014 
 01/14  22:00:00,50308118.928650014,50308118.928650014 
 01/14  23:00:00,50308118.928650014,50308118.928650014 
 01/14  24:00:00,50308118.928650014,50308118.928650014 
 01/15  01:00:00,47850830.928650014,47850830.928650014 
 01/15  02:00:00,47850830.928650014,47850830.928650014 
 01/15  03:00:00,47850830.928650014,47850830.928650014 
 01/15  04:00:00,47850830.928650014,47850830.928650014 
 01/15  05:00:00,47850830.928650014,47850830.928650014 
 01/15  06:00:00,47850830.928650014,47850830.928650014 
 01/15  07:00:00,63802435.73714973,63802435.73714973 
 01/15  08:00:00,59170301.15074083,58998394.764065415 
 01/15  09:00:00,49635987.420463875,46057921.65518546 
 01/15  10:00:00,49450395.52197043,35910377.398251384 
 01/15  11:00:00,49391894.6617996,25277802.66003325 
 01/15  12:00:00,49371267.54478922,19080070.701214187 
 01/15  13:00:00,49368157.87257054,17198310.074505366 
 01/15  14:00:00,49380432.96545724,19717277.828907892 
 01/15  15:00:00,49412523.39727945,26096711.309661664 
 01/15  16:00:00,49466277.93925633,35463172.09529988 
 01/15  17:00:00,51935793.54161982,47308939.59846398 
 01/15  18:00:00,63802435.73714973,63802435.73714973 
 01/15  19:00:00,55711844.92865002,55711844.92865002 
 01/15  20:00:00,50308118.928650014,50308118.928650014 
 01/15  21:00:00,50308118.928650014,50308118.928650014 
 01/15  22:00:00,50308118.928650014,50308118.928650014 
 01/15  23:00:00,50308118.928650014,50308118.928650014 
 01/15  24:00:00,50308118.928650014,50308118.928650014 
 01/16  01:00:00,47850830.928650014,47850830.928650014 
 01/16  02:00:00,47850830.928650014,47850830.928650014 
 01/16  03:00:00,47850830.928650014,47850830.928650014 
 01/16  04:00:00,50481796.30700486,50481796.30700486 
 01/16  05:00:00,52966437.517896354,52966437.51789635 
 01/16  06:00:00,54978551.34210289,54978551.342102885 
 01/16  07:00:00,72877478.90562001,72877478.90562 
 01/16  08:00:00,64979208.74138039,64979208.741380386 
 01/16  09:00:00,56991161.05927163,56485153.35198582 
 01/16  10:00:00,61321139.02543252,56324182.053280056 
 01/16  11:00:00,57898123.15920563,46341394.56177172 
 01/16  12:00:00,60165291.502182305,41875199.70871341 
 01/16  13:00:00,57988994.98541133,36630732.217190914 
 01/16  14:00:00,63521967.03275369,44117211.30301943 
 01/16  15:00:00,62784399.83985038,48072519.6414209 
 01/16  16:00:00,69104101.76129363,59863927.66404725 
 01/16  17:00:00,69805125.32502614,65855810.042840146 
 01/16  18:00:00,96202233.26358788,96202233.26358788 
 01/16  19:00:00,86798294.94595152,86798294.94595152 
 01/16  20:00:00,88806395.95199606,88806395.95199606 
 01/16  21:00:00,82071996.1145099,82071996.11450988 
 01/16  22:00:00,94909091.69135046,94909091.69135045 
 01/16  23:00:00,84564877.37374215,84564877.37374215 
 01/16  24:00:00,94382394.7887405,94382394.7887405 
 01/17  01:00:00,95068169.41369325,95068169.41369325 
 01/17  02:00:00,106878561.2525946,106878561.25259459 
 01/17  03:00:00,93024130.7683904,93024130.76839039 
 01/17  04:00:00,83583074.17890783,83583074.17890781 
 01/17  05:00:00,80146744.53923544,80146744.53923543 
 01/17  06:00:00,282218311.12848806,282218311.12848806 
 01/17  07:00:00,592339535.9418887,592339535.9418886 
 01/17  08:00:00,668480802.0047456,668349917.7152709 
 01/17  09:00:00,580185996.3989823,576954889.8181595 
 01/17  10:00:00,492110321.95753205,480123664.88509166 
 01/17  11:00:00,429130581.80604607,407415510.4045415 
