Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,5.178048E-01,1.514133E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,1.079716E+00,1.061201E+04,2.410414E+04,2.071219E+00,2.795367E+04,2.071219E+00,0.000000E+00,0.000000E+00,2.071219E+00,6.247533E+02,2.625963E+00,3.193157E+04,4.918401E+04,5.725618E-01,1.674250E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,6.753457E-01,6.637650E+03,1.507677E+04
00:20:00,5.178048E-01,1.514133E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,1.090717E+00,1.061821E+04,2.424484E+04,2.071219E+00,2.795377E+04,2.071219E+00,0.000000E+00,0.000000E+00,2.071219E+00,7.318990E+02,2.652870E+00,3.220023E+04,4.945939E+04,5.821224E-01,1.702206E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,6.830532E-01,6.649571E+03,1.518314E+04
00:30:00,5.178048E-01,1.514133E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,1.100804E+00,1.061354E+04,2.436319E+04,2.071857E+00,2.795093E+04,2.071219E+00,0.000000E+00,0.000000E+00,2.071219E+00,8.390447E+02,2.679929E+00,3.247103E+04,4.971937E+04,5.907957E-01,1.727568E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,6.902522E-01,6.655148E+03,1.527678E+04
00:40:00,5.178048E-01,1.514133E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,1.110143E+00,1.059983E+04,2.446310E+04,2.078762E+00,2.791935E+04,2.071219E+00,0.000000E+00,0.000000E+00,2.071219E+00,9.461903E+02,2.705749E+00,3.272453E+04,4.995529E+04,5.987707E-01,1.750889E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,6.970136E-01,6.655202E+03,1.535939E+04
00:50:00,5.178048E-01,1.514133E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,1.118879E+00,1.057868E+04,2.454803E+04,2.088845E+00,2.787336E+04,2.071219E+00,0.000000E+00,0.000000E+00,2.071219E+00,1.053336E+03,2.730529E+00,3.296350E+04,5.017637E+04,6.062115E-01,1.772646E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,7.034054E-01,6.650497E+03,1.543260E+04
01:00:00,5.178048E-01,1.514133E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,1.127088E+00,1.055097E+04,2.461974E+04,2.101022E+00,2.781801E+04,2.071219E+00,0.000000E+00,0.000000E+00,2.071219E+00,1.160482E+03,2.754292E+00,3.318827E+04,5.038463E+04,6.131587E-01,1.792961E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,7.095318E-01,6.642113E+03,1.549878E+04
01:10:00,5.178048E-01,1.514133E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,1.135838E+00,1.056211E+04,2.473803E+04,2.130722E+00,2.768394E+04,2.071219E+00,0.000000E+00,0.000000E+00,2.071219E+00,1.231912E+03,2.781380E+00,3.349521E+04,5.068372E+04,6.199120E-01,1.812709E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,7.171849E-01,6.669075E+03,1.561996E+04
01:20:00,5.178048E-01,1.514133E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,1.144246E+00,1.056901E+04,2.484779E+04,2.158809E+00,2.755843E+04,2.071219E+00,0.000000E+00,0.000000E+00,2.071219E+00,1.303343E+03,2.807838E+00,3.379335E+04,5.097527E+04,6.263083E-01,1.831412E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,7.246258E-01,6.693123E+03,1.573556E+04
01:30:00,5.178048E-01,1.514133E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,1.152350E+00,1.059995E+04,2.491033E+04,2.185399E+00,2.744072E+04,2.071219E+00,0.000000E+00,0.000000E+00,2.071219E+00,1.374773E+03,2.834612E+00,3.409589E+04,5.127523E+04,6.323783E-01,1.849162E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,7.318795E-01,6.714525E+03,1.584616E+04
01:40:00,5.178048E-01,1.514133E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,1.160173E+00,1.063779E+04,2.495289E+04,2.210636E+00,2.732996E+04,2.071219E+00,0.000000E+00,0.000000E+00,2.071219E+00,1.446203E+03,2.861558E+00,3.440084E+04,5.158104E+04,6.380778E-01,1.865828E+04,5.178048E-01,0.000000E+00,0.000000E+00,5.178048E-01,0.000000E+00,7.389560E-01,6.733410E+03,1.595200E+04
