Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,5.506750E-01,1.610250E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,1.060297E+00,1.042116E+04,2.367063E+04,2.521938E+00,2.601980E+04,2.070728E+00,0.000000E+00,0.000000E+00,2.070728E+00,6.246051E+02,2.547014E+00,3.083008E+04,4.794888E+04,7.279970E-01,2.128764E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,6.792350E-01,6.675876E+03,1.516359E+04
00:20:00,5.589159E-01,1.634348E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,1.071005E+00,1.042631E+04,2.380667E+04,2.561087E+00,2.586370E+04,2.070728E+00,0.000000E+00,0.000000E+00,2.070728E+00,7.317253E+02,2.574956E+00,3.111324E+04,4.824465E+04,7.377325E-01,2.157232E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,6.877444E-01,6.695240E+03,1.528742E+04
00:30:00,5.663848E-01,1.656188E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,1.080883E+00,1.042146E+04,2.392230E+04,2.595984E+00,2.572574E+04,2.070728E+00,0.000000E+00,0.000000E+00,2.070728E+00,8.388456E+02,2.602289E+00,3.138789E+04,4.851384E+04,7.469455E-01,2.184172E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,6.956197E-01,6.706899E+03,1.539557E+04
00:40:00,5.731858E-01,1.676075E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,1.090054E+00,1.040801E+04,2.402042E+04,2.627186E+00,2.560331E+04,2.070728E+00,0.000000E+00,0.000000E+00,2.070728E+00,9.459658E+02,2.628231E+00,3.164311E+04,4.875623E+04,7.559558E-01,2.210519E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,7.029260E-01,6.711654E+03,1.548968E+04
00:50:00,5.793983E-01,1.694241E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,1.098615E+00,1.038709E+04,2.410343E+04,2.654885E+00,2.549532E+04,2.070728E+00,0.000000E+00,0.000000E+00,2.070728E+00,1.053086E+03,2.652847E+00,3.187982E+04,4.897873E+04,7.645868E-01,2.235758E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,7.097260E-01,6.710257E+03,1.557127E+04
01:00:00,5.850608E-01,1.710799E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,1.106650E+00,1.035964E+04,2.417329E+04,2.680275E+00,2.539690E+04,2.070728E+00,0.000000E+00,0.000000E+00,2.070728E+00,1.160206E+03,2.676213E+00,3.209907E+04,4.918419E+04,7.728661E-01,2.259967E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,7.160775E-01,6.703389E+03,1.564176E+04
01:10:00,5.902741E-01,1.726043E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,1.115253E+00,1.037070E+04,2.428970E+04,2.703951E+00,2.530556E+04,2.070728E+00,0.000000E+00,0.000000E+00,2.070728E+00,1.231620E+03,2.703481E+00,3.240854E+04,4.948997E+04,7.808529E-01,2.283322E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,7.237250E-01,6.729891E+03,1.576240E+04
01:20:00,5.949893E-01,1.739831E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,1.123484E+00,1.037724E+04,2.439693E+04,2.726369E+00,2.521945E+04,2.070728E+00,0.000000E+00,0.000000E+00,2.070728E+00,1.303033E+03,2.729899E+00,3.270613E+04,4.978450E+04,7.885681E-01,2.305882E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,7.310817E-01,6.752753E+03,1.587575E+04
01:30:00,5.994563E-01,1.752893E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,1.131384E+00,1.037972E+04,2.449595E+04,2.747986E+00,2.513676E+04,2.070728E+00,0.000000E+00,0.000000E+00,2.070728E+00,1.374447E+03,2.755550E+00,3.299301E+04,5.006880E+04,7.960582E-01,2.327785E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,7.381821E-01,6.772348E+03,1.598262E+04
01:40:00,6.037194E-01,1.765359E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,1.138993E+00,1.037857E+04,2.458768E+04,2.769214E+00,2.505587E+04,2.070728E+00,0.000000E+00,0.000000E+00,2.070728E+00,1.445860E+03,2.780523E+00,3.327043E+04,5.034425E+04,8.033533E-01,2.349116E+04,5.176819E-01,0.000000E+00,0.000000E+00,5.176819E-01,0.000000E+00,7.450596E-01,6.789026E+03,1.608376E+04
