archetype_id,baseline_idf,baseline_area_m2,target_sample_area_m2,area_scale_ratio,planar_scale_factor,prototype_zones_count,building_mode_zones,floor_mode_zones,fast_zone_mode_zones,layout_assign_mode_zones,fidelity_ranking,local_leg_total_eui_kwh_m2,local_leg_caveat
MidriseApartment,ASHRAE901_ApartmentMidRise_STD2022_Buffalo.idf,3135.0,2500.0,0.7974,0.893,27,1,4,20,27,Highest (Exact ASHRAE Prototype Zoning),60.07,
HighriseApartment,ASHRAE901_ApartmentHighRise_STD2022_Buffalo.idf,7835.0,9000.0,1.1487,1.0718,27,1,10,50,27,Highest (Exact ASHRAE Prototype Zoning),,
Hospital,ASHRAE901_Hospital_STD2022_Buffalo.idf,22422.0,25000.0,1.115,1.0559,55,1,5,25,55,Highest (Exact ASHRAE Prototype Zoning),,
LargeHotel,ASHRAE901_HotelLarge_STD2022_Buffalo.idf,11345.0,12500.0,1.1018,1.0497,22,1,6,30,22,Highest (Exact ASHRAE Prototype Zoning),,
SmallHotel,ASHRAE901_HotelSmall_STD2022_Buffalo.idf,4013.0,3500.0,0.8722,0.9339,67,1,4,20,67,Highest (Exact ASHRAE Prototype Zoning),151.46,120.5M recurring warnings (Coil:Cooling:DX:MultiSpeed rated flow/capacity ratio out of range)
LargeOffice,ASHRAE901_OfficeLarge_STD2022_Buffalo.idf,46320.0,50000.0,1.0794,1.039,23,1,12,60,23,Highest (Exact ASHRAE Prototype Zoning),,
LargeOfficeDetailed,ASHRAE901_OfficeLarge_STD2022_Buffalo.idf,46320.0,50000.0,1.0794,1.039,23,1,12,60,23,Highest (Exact ASHRAE Prototype Zoning),,
MediumOffice,ASHRAE901_OfficeMedium_STD2022_Buffalo.idf,4982.0,4500.0,0.9033,0.9504,18,1,3,15,18,Highest (Exact ASHRAE Prototype Zoning),72.48,"73,803 real Severe Errors (ElectricLoadCenter:Transformer overloaded) + a DHW target-water-temperature warning storm"
MediumOfficeDetailed,ASHRAE901_OfficeMedium_STD2022_Buffalo.idf,4982.0,4500.0,0.9033,0.9504,18,1,3,15,18,Highest (Exact ASHRAE Prototype Zoning),,
SmallOffice,ASHRAE901_OfficeSmall_STD2022_Buffalo.idf,511.0,600.0,1.1742,1.0836,6,1,1,5,6,Highest (Exact ASHRAE Prototype Zoning),,
