osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_gas_eui_kwh_m2,dhw_elec_eui_kwh_m2,dhw_eui_kwh_m2,cooking_eui_kwh_m2,refrigeration_eui_kwh_m2,total_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_fans_kgco2_m2,gwp_pumps_kgco2_m2,gwp_dhw_kgco2_m2,gwp_cooking_kgco2_m2,gwp_refrigeration_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,centroid_lon,centroid_lat
way/285843826,2383.7626723030835,1.0,3.5,Courthouse,single_zone,"generic_tag,no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",10.591026405244053,21.278995693642745,19.676654720000002,28.25619005938692,5.207294003384685,0.0,3.6321860566467543,0.0,3.6321860566467543,0.0,0.0,88.64234693830517,1.9169757793491735,4.415646954379193,4.08314197425664,5.863498511603499,1.0805759932303627,0.0,0.6574256762530625,0.0,0.0,18.01726488907193,0.0009847103322972747,success,,-121.48875084576233,-8.949265391531017e-05
way/285843827,1043.89784748448,1.0,3.5,MediumOffice,single_zone,"generic_tag,no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",9.166606117219777,13.683285433210173,26.465100598399996,44.06327609260916,6.076087087116785,0.0,6.178084668747492,0.0,6.178084668747492,0.0,0.0,105.63243999730338,1.6591557072167795,2.8394459268163095,5.49182595537518,9.143658548529512,1.2608609836217783,0.0,1.118233325043296,0.0,0.0,21.513180446602856,0.0,success,,-121.48880662352107,-2.5249062492515762e-05
way/285843828,6869.198468554189,1.0,3.5,Courthouse,single_zone,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",9.906388782823376,20.230595103540605,19.676654719999995,28.256190059386917,4.82205923252095,0.0,2.7554533407215533,0.0,2.7554533407215533,0.0,0.0,85.6473412389934,1.7930563696910309,4.198091251125918,4.083141974256639,5.863498511603498,1.0006351554588875,0.0,0.49873705467060114,0.0,0.0,17.437160316806576,0.0009002630674681026,success,,-121.48868952950946,5.1461828214845685e-05
way/286205457,1472.0999454717403,1.0,3.5,MediumOffice,single_zone,,7.211198418844644,12.528508277318593,26.4651005984,44.06327609260916,5.038082289150733,0.0,5.28429100829728,0.0,5.28429100829728,0.0,0.0,100.5904566846204,1.3052269138108805,2.599815809642936,5.491825955375181,9.143658548529512,1.045462531986247,0.0,0.9564566725018077,0.0,0.0,20.542446431846564,0.0,success,,-121.48874388438414,-1.2264087089699301e-11
way/286205459,1467.4316482399634,1.0,3.5,MediumOffice,single_zone,,7.004819258437797,12.866183209089492,26.4651005984,44.06327609260916,5.4304786324568735,0.0,5.290235392341114,0.0,5.290235392341114,0.0,0.0,101.12009318333443,1.267872285777241,2.669887410084579,5.491825955375181,9.143658548529512,1.1268894819783908,0.0,0.9575326060137417,0.0,0.0,20.657666287758648,0.0,success,,-121.48874388437174,2.7129416080795214e-12
way/286205460,1608.8592342366105,3.0,10.5,LargeOffice,perimeter_core,,12.229075703072867,28.551673708357868,26.465099660513513,44.06327453106773,40.10593366279425,11.236165402254557,2.9462212697172934,0.0,2.9462212697172934,0.0,0.0,165.59744393777808,2.213462702256189,5.924814914568758,5.49182576075248,9.143658224490926,8.32246250623376,2.3316391549526476,0.5332660498188301,0.0,0.0,33.96112931307359,0.01839353487680125,success,,-121.48874001039698,4.011404085455557e-05
way/286205462,1618.6869861427824,3.0,10.5,LargeOffice,perimeter_core,,12.202501954399802,27.542187640963284,26.465101286220218,44.06327723780081,40.28292731782149,10.803532630003614,2.945275872213262,0.0,2.945275872213262,0.0,0.0,164.30480393942247,2.208652853746364,5.7153344417515735,5.49182609810613,9.143658786170523,8.359190813575774,2.24186266311731,0.5330949328706004,0.0,0.0,33.69362058933827,0.007923656049768944,success,,-121.48874404349324,-8.838405309261387e-06
way/442340493,160.27750455973867,2.0,7.0,MidriseApartment,one_zone_per_floor,no_floors,14.653221722329489,3.851849266456866,3.9654911451899886,43.39802550755119,5.755160558508736,0.0,0.0,34.25540685615951,34.25540685615951,0.0,0.0,105.87915505619578,2.6522331317416374,0.7993049449809971,0.8228869985206649,9.005611069122962,1.1942648778172649,0.0,7.108407987535372,0.0,0.0,21.582709009718897,0.2547649403398296,success,,-121.48874163627674,-1.1857170901350023e-05
way/442340494,317.64923056439324,2.0,7.0,MidriseApartment,one_zone_per_floor,no_floors,11.89701478181354,3.534572766668664,3.9654913265498637,43.398027492339494,5.339353524158555,0.0,0.0,33.06045897532368,33.06045897532368,0.0,0.0,101.19491886685378,2.1533596755082507,0.7334662639569478,0.8228870361550154,9.005611480990353,1.1079799285051901,0.0,6.860441962887367,0.0,0.0,20.683746348003123,0.24518926966621915,success,,-121.48875072922078,1.094695389250904e-05
way/442340495,229.00261063754257,2.0,7.0,MidriseApartment,one_zone_per_floor,no_floors,12.942861699399321,3.9573238096235372,3.965491157364067,43.39802564078336,5.641784986011513,0.0,0.0,33.44476651807461,33.44476651807461,0.0,0.0,103.35025381125641,2.342657967591277,0.8211921783825995,0.8228870010469324,9.005611096770236,1.170738086017221,0.0,6.9401903896986985,0.0,0.0,21.103276719506965,0.25980190055929575,success,,-121.488748048621,1.6942390535727666e-05
way/442340496,189.27181622805324,2.0,7.0,MidriseApartment,one_zone_per_floor,no_floors,14.942406006840983,3.9346385655746157,3.965491144472098,43.39802549969463,5.651420493223465,0.0,0.0,33.5348219896022,33.5348219896022,0.0,0.0,105.426803699408,2.704575487238218,0.8164847180195196,0.822886998371694,9.005611067492632,1.1727375693897877,0.0,6.9588779807063315,0.0,0.0,21.481173821218185,0.2529089434058173,success,,-121.48875208911299,-1.1832749110629757e-05
way/442340497,194.0077666149673,2.0,7.0,MidriseApartment,one_zone_per_floor,no_floors,14.716070057791299,4.0138627051994105,3.9654911619611504,43.398025691093466,5.84197351208483,0.0,0.0,33.95647072292613,33.95647072292613,0.0,0.0,105.89189385105628,2.663608680460225,0.83292467768134,0.8228870020008823,9.005611107210187,1.2122796074397473,0.0,7.0463751526558465,0.0,0.0,21.583686227448226,0.25737773163811883,success,,-121.4887388691071,-1.3043081582981012e-05
way/442340498,179.1993997151925,2.0,7.0,MidriseApartment,one_zone_per_floor,no_floors,14.518625020503778,3.9929032351426392,3.9654911466231817,43.39802552323594,5.433612508324315,0.0,0.0,33.67208355841316,33.67208355841316,0.0,0.0,104.98074099224301,2.627871128711184,0.8285753361309194,0.8228869988180697,9.005611072377736,1.1275397988273954,0.0,6.987361403373432,0.0,0.0,21.39984573823874,0.25089543460629987,success,,-121.48874370757488,1.2016560598849266e-05
