archetype,cell,osm_id,assigned_form,levels,footprint_area_m2,total_eui_kwh_m2
SmallOffice,nyc_urban,relation/3263309,centerline_split,4,719.5760315380567,90.1187440072545
SmallOffice,austin_rural,way/1004591178,multi_band,1,1169.2292758818326,84.838656677682
SmallOffice,austin_rural,way/1004593675,one_zone_per_floor (degraded),1,111.51163510502536,122.82305304488862
SmallOffice,austin_urban,relation/5682346,standard_core_perim,2,1167.0592544852725,86.2923905824346
SmallOffice,austin_centre,way/379165989,wing_fallback_degenerate,4,269.1907156972186,103.2291497188998
SmallOffice,nyc_centre,relation/3565283,centerline_split,5,383.705967653236,94.9732457019548
SmallOffice,austin_rural,way/1004593676,multi_band,1,748.0808683039356,88.63483380271161
SmallOffice,austin_rural,way/1004593678,one_zone_per_floor (degraded),1,128.94457079773986,121.37475437551792
SmallOffice,austin_urban,relation/5682347,standard_core_perim,2,1311.3152960951093,85.25056977499305
SmallOffice,la_urban,way/402279965,wing_fallback_degenerate,1,255.42082304971328,89.26223760104389
MidriseApartment,la_urban,relation/6356862,connected_spine,3,990.1467594102764,85.78612954242068
MidriseApartment,austin_rural,way/1005416638,double_loaded,1,276.4427926813093,121.37614989725306
MidriseApartment,la_urban,relation/6243355,one_zone_per_floor (degraded),5,2613.205361001847,87.8578376795617
MidriseApartment,nyc_urban,way/280612418,one_zone_per_floor (engine error),6,1902.5694109303345,119.6998165588079
MidriseApartment,austin_rural,way/1005416637,single_loaded,1,259.31180780234854,122.32400507072347
MidriseApartment,la_centre,relation/6363660,connected_spine,7,5502.892566127262,85.33397146380646
MidriseApartment,la_urban,way/1253806579,double_loaded,7,8076.996455702518,91.15938094363835
MidriseApartment,la_urban,relation/6356884,one_zone_per_floor (degraded),8,4447.779114514662,84.67768518898411
MidriseApartment,la_suburban,way/442341172,one_zone_per_floor (engine error),2,169.3565603078408,104.73242191168644
MidriseApartment,nyc_suburban,way/1014146266,single_loaded,1,191.73002698696445,171.08089403188353
MediumOffice,la_centre,relation/2765901,centerline_split,1,3421.453142930246,90.11836497833517
MediumOffice,nyc_urban,relation/17953040_part0,multi_band,1,1048.1743007390885,130.17229415469615
MediumOffice,nyc_urban,relation/3729711,one_zone_per_floor (degraded),5,1182.6537864548018,138.6013227578718
MediumOffice,la_centre,relation/12292681,standard_core_perim,5,1039.4388572315818,126.17116773510377
MediumOffice,la_urban,way/401910884,wing_fallback_degenerate,7,449.8157027891939,141.17479851080142
MediumOffice,nyc_urban,relation/3262925,centerline_split,4,761.3011627158733,143.21028631938646
MediumOffice,austin_rural,relation/19829553,multi_band,1,3877.4087155803136,104.21400984244885
MediumOffice,austin_urban,relation/5682350,one_zone_per_floor (degraded),2,2436.341917353878,146.67862590244985
MediumOffice,nyc_urban,relation/17953040_part1,standard_core_perim,1,753.8313199423027,141.73680528178738
MediumOffice,la_centre,way/427817661,wing_fallback_degenerate,3,3207.2892941014006,115.99967452333895
LargeOffice,nyc_centre,relation/3566904,centerline_split,14,2682.22811542602,129.4233960408375
LargeOffice,austin_centre,relation/13781131,multi_band,5,3263.7901742458503,172.04386664469592
LargeOffice,austin_urban,relation/5682409,one_zone_per_floor (degraded),8,43028.29409593608,130.1988357121849
LargeOffice,nyc_centre,relation/1860567,standard_core_perim,1,6979.411436788407,93.39721964816133
LargeOffice,nyc_centre,way/157835453,wing_fallback_degenerate,1,5180.719472059762,106.35615978407876
LargeOffice,nyc_centre,relation/3576199,centerline_split,14,1203.7663816505765,134.10444239925027
LargeOffice,austin_urban,relation/5682408,multi_band,3,9378.004332684644,148.61095189472388
LargeOffice,nyc_centre,way/138022483,one_zone_per_floor (degraded),5,4161.113471294008,123.27919263497184
LargeOffice,austin_urban,relation/5682352,standard_core_perim,5,3312.9952020970245,140.22847614218935
LargeOffice,la_urban,relation/6353541,centerline_split,7,4531.560334687942,128.97208886956022
RetailStandalone,austin_centre,way/1020754974,functional_split,2,721.4265788070971,211.727082461762
RetailStandalone,austin_centre,way/112836384,functional_split_dominant,1,1470.5266984527093,151.2745864986435
RetailStandalone,la_centre,relation/6363656,one_zone_per_floor (degraded),6,4045.105432803198,141.28258121532818
RetailStandalone,austin_centre,way/1020979628,functional_split,1,216.4367511435724,178.12488224365887
RetailStandalone,austin_rural,way/1215099165,functional_split_dominant,1,483.0131438434786,171.90509204632016
RetailStandalone,austin_rural,way/1005416629,one_zone_per_floor (degraded),1,1610.544942842243,167.60273556559514
RetailStandalone,austin_centre,way/112836380,functional_split,1,1715.898942806919,151.75648622099732
RetailStandalone,austin_rural,way/1215375439,functional_split_dominant,1,218.456723967432,193.80065648973056
RetailStandalone,la_suburban,way/1016738377,one_zone_per_floor (degraded),1,303.1021125033422,161.2798765310538
RetailStandalone,austin_rural,way/1165379867,functional_split,1,334.54497090649386,174.44675563422467
TallBuilding,nyc_centre,way/114071252,multi_band,28,1950.9725182856669,176.55124297440526
TallBuilding,nyc_centre,way/109284807,one_zone_per_floor (degraded),39,5104.004675028921,165.90519696990953
TallBuilding,nyc_centre,way/265301730,standard_core_perim,24,396.66930388498537,206.12843824623224
TallBuilding,la_urban,way/1395739331,multi_band,22,7135.2649192427,164.71025061348445
TallBuilding,austin_centre,way/112834493,one_zone_per_floor (degraded),20,4364.463827404995,170.11299991469468
TallBuilding,nyc_centre,way/265301780,standard_core_perim,24,486.0572988983889,197.0912298400628
TallBuilding,nyc_centre,way/159837290,multi_band,39,3251.809300508245,170.74810050904225
TallBuilding,austin_centre,way/134807224,one_zone_per_floor (degraded),21,2018.7390701089469,174.87155245389687
TallBuilding,nyc_centre,way/265301849,standard_core_perim,23,462.3542920057524,201.10786780197336
TallBuilding,austin_centre,way/206163832,multi_band,32,4978.947946398328,166.00610963206566
QuickServiceRestaurant,austin_centre,way/1032979883,functional_split,1,451.7475963535881,1434.0191946739062
QuickServiceRestaurant,austin_suburban,way/382991454,functional_split_dominant,2,492.2336131087069,1381.7638510127742
QuickServiceRestaurant,austin_centre,way/1020979630,one_zone_per_floor (degraded),1,125.00471343841404,1602.5451093100608
QuickServiceRestaurant,austin_centre,way/1243589069,functional_split,1,178.0401467686489,1586.1752241594174
QuickServiceRestaurant,austin_rural,way/762123139,functional_split_dominant,1,313.37672172138844,1502.0884276754095
QuickServiceRestaurant,austin_centre,way/1135532954,one_zone_per_floor (degraded),1,343.76852641578654,1489.941345571067
QuickServiceRestaurant,austin_centre,way/1507317989,functional_split,1,197.5548836893651,1580.2058373422792
QuickServiceRestaurant,nyc_rural,way/772626979,functional_split_dominant,1,423.6206478333341,1618.0330962819612
QuickServiceRestaurant,austin_centre,way/1213502018,one_zone_per_floor (degraded),1,305.8229303761043,1528.1215935492094
QuickServiceRestaurant,austin_centre,way/231123155,functional_split,1,435.9720692306919,1441.8667130883546
FullServiceRestaurant,austin_centre,way/1020753276,functional_split,1,312.2607870883653,1076.6351242665585
FullServiceRestaurant,nyc_rural,way/270445758,functional_split_dominant,1,255.612234541799,1425.6058812157032
FullServiceRestaurant,austin_centre,way/1021167044,one_zone_per_floor (degraded),1,140.42897904082463,1111.602525029998
FullServiceRestaurant,austin_centre,way/1239928162,functional_split,1,376.55412702155286,1069.620630255286
