osm_id,footprint_area_m2,levels,height_m,archetype_id,zoning_strategy,data_quality_flag,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_gas_eui_kwh_m2,dhw_elec_eui_kwh_m2,dhw_eui_kwh_m2,cooking_eui_kwh_m2,refrigeration_eui_kwh_m2,elevators_eui_kwh_m2,total_eui_kwh_m2,gwp_heating_kgco2_m2,gwp_cooling_kgco2_m2,gwp_lighting_kgco2_m2,gwp_equipment_kgco2_m2,gwp_fans_kgco2_m2,gwp_pumps_kgco2_m2,gwp_dhw_kgco2_m2,gwp_cooking_kgco2_m2,gwp_refrigeration_kgco2_m2,gwp_elevators_kgco2_m2,gwp_total_kgco2_m2,iod,simulation_status,error_summary,floor_area_m2,floor_area_provenance,centroid_lon,centroid_lat
way/222366800,149.9448426763864,1.0,3.5,SmallOffice,single_zone,"generic_tag,no_function,no_height,no_year|HOTDECK_NEIGHBOR_HIGH",20.62328820731338,22.525705215651303,26.46595550967718,27.765674953560758,14.095640530253304,0.0,0.0,5.816689836470331,5.816689836470331,0.0,0.0,0.0,117.29295425292625,3.7328151655237214,4.674354140710233,5.492003359724131,5.7617107409633,2.9250145577139235,0.0,1.2070329413456313,0.0,0.0,0.0,23.79293090598094,0.0,success,,149.94,eio_simulated,-121.48874388438703,-1.9522738459850797e-12
way/472960895,103.43904160744512,2.0,7.0,MidriseApartment,one_zone_per_floor,no_floors,52.27994437008407,14.53874291035406,3.9654544033322217,43.397623407527675,10.005265088076621,0.0,0.0,34.67131910062109,34.67131910062109,0.0,0.0,3.158096162026832,162.01644544202256,9.462669930985216,3.0169636188133917,0.822879374144276,9.005527628542882,2.0762125689569557,0.0,7.194714769208084,0.0,0.0,0.6553428507745119,32.23431074142532,0.17265341516541535,success,,206.88,eio_simulated,-121.48873263854128,3.3394542381410837e-06
way/472960930,30.457532800081186,1.0,3.5,Warehouse,single_zone,no_floors,11.503745718164822,0.0,4.863190314018609,11.299483348774428,0.825831608892818,0.0,0.0,22.701919239358848,22.701919239358848,0.0,0.0,0.0,51.19417022920953,2.082177974987833,0.0,1.0091703484426295,2.3447783886708793,0.17136996882456645,0.0,4.7109206651978335,0.0,0.0,0.0,10.318417346123741,8.709422672806506,success,,30.46,eio_simulated,-121.48874388438848,4.028040855850104e-12
way/472960931,30.007834769405076,2.0,7.0,Warehouse,one_zone_per_floor,no_floors,14.570682961909872,0.0,4.863233922650758,11.299584672181703,1.016972592375302,0.0,0.0,11.840360798575194,11.840360798575194,0.0,0.0,0.0,43.59083494769283,2.637293616105687,0.0,1.009179397757104,2.3447994144937696,0.21103401658898366,0.0,2.457016950033936,0.0,0.0,0.0,8.65932339497948,8.51881260360699,success,,60.02,eio_simulated,-121.48874388598108,3.647581531397764e-10
way/472960932,34.21969449069258,2.0,7.0,Warehouse,one_zone_per_floor,no_floors,13.347264530469264,0.0,4.863541401274689,11.300299089954168,0.9009154227794522,0.0,0.0,10.450355717821255,10.450355717821255,0.0,0.0,0.0,40.86237616229883,2.415854880014937,0.0,1.0092432032613132,2.344947664754569,0.1869507612118097,0.0,2.168574215716524,0.0,0.0,0.0,8.125570724959154,8.478195090831045,success,,68.44,eio_simulated,-121.48874522812717,-4.930791803261185e-06
way/472960933,473.24762621644567,2.0,7.0,Warehouse,one_zone_per_floor,no_floors,4.261372767054792,0.0,4.863560415923296,11.300343269945378,0.21912881897943465,0.0,0.0,1.2256460743028132,1.2256460743028132,0.0,0.0,0.0,21.870051346205713,0.7713084708369173,0.0,1.009247149029075,2.344956832632905,0.04547185948406044,0.0,0.2543362681707254,0.0,0.0,0.0,4.4253205801536835,7.778795693089578,success,,946.5,eio_simulated,-121.48874065409863,1.9853385142459382e-05
way/472960934,87.2318146088054,2.0,7.0,Warehouse,one_zone_per_floor,no_floors,7.563684154732047,0.0,4.863686034086305,11.30063514014777,0.44407593496467823,0.0,0.0,4.364741712878703,4.364741712878703,0.0,0.0,0.0,28.536822976809503,1.3690268320065004,0.0,1.0092732163053173,2.345017399202344,0.0921510854163903,0.0,0.9057362823228855,0.0,0.0,0.0,5.721204815253438,8.706714108835259,success,,174.46,eio_simulated,-121.48873523562573,4.72909647430532e-06
way/472960935,855.503390077185,2.0,7.0,Warehouse,perimeter_core,no_floors|narrow_perimeter_fallback,3.4924740757565744,0.0,4.863604105225825,11.300444780787966,0.16763101702481492,0.0,0.0,0.9068110386319069,0.9068110386319069,0.0,0.0,0.0,20.730965017427085,0.63213780771194,0.0,1.0092562150836215,2.3449778973508724,0.034785447604853394,0.0,0.18817417224858426,0.0,0.0,0.0,4.209331539999871,6.843104038350582,success,,1711.0,eio_simulated,-121.48872987878687,-2.3545021306482314e-05
way/472960936,1455.9721065065871,3.0,10.5,MediumOffice,perimeter_core,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",39.65148216227284,30.522063500606542,26.465138008721844,44.06333837921826,67.75370096016609,0.0,3.8031698702610575,0.0,3.8031698702610575,0.0,0.0,3.5387810842242886,215.79767396547095,7.176918271371385,6.333694441137864,5.491833718465887,9.14367147374834,14.059705993645984,0.0,0.6883737465172514,0.0,0.0,0.7343395403495506,43.62853718523626,0.0023813350169059164,success,,4367.91,eio_simulated,-121.48874389300587,-2.223890372180052e-09
way/472960937,1351.3233380314025,2.0,7.0,SmallOffice,perimeter_core,"generic_tag,no_floors,no_function",23.78744771090687,25.77157954190147,26.46497098637689,27.764642081200265,15.533382860945652,0.0,0.0,1.4930899710139853,1.4930899710139853,0.0,0.0,0.0,120.81511315234513,4.305528035674143,5.347912013899058,5.491799059325041,5.761496407554029,3.2233633442405543,0.0,0.30983408606505414,0.0,0.0,0.0,24.439932946757878,0.0031817520758589558,success,,2702.66,eio_simulated,-121.48874385014197,1.0776829444793306e-08
way/472960938,1400.4373530156201,2.0,7.0,SmallOffice,perimeter_core,"generic_tag,no_floors,no_function",23.232894977916068,25.39284876825327,26.465050838283002,27.764725854562197,15.269165425241686,0.0,0.0,1.4841073638449147,1.4841073638449147,0.0,0.0,0.0,119.60879322810113,4.205153991002808,5.269320833597773,5.491815629553782,5.761513791531911,3.168535055722753,0.0,0.30797008728618597,0.0,0.0,0.0,24.20430938869521,0.0027781068404624984,success,,2800.88,eio_simulated,-121.48874388436128,1.54171459814782e-11
way/472960939,3079.175671502714,2.0,7.0,MediumOffice,perimeter_core,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",24.980773779179533,24.796721065939348,26.46506347919767,44.06321429070093,52.1853605413192,0.0,3.5862642441423698,0.0,3.5862642441423698,0.0,0.0,3.5387736446088653,179.6161710450879,4.5215200540314955,5.145617181835206,5.491818252695267,9.14364572389193,10.829088536650229,0.0,0.6491138281897689,0.0,0.0,0.7343379965400749,36.51514157383397,0.0008257142031504536,success,,6158.360000000001,eio_simulated,-121.4887438843597,4.4825831500128726e-11
way/472960940,1405.9327401456312,2.0,7.0,SmallOffice,perimeter_core,"generic_tag,no_floors,no_function",23.109614152216235,25.319107638813982,26.465340122176823,27.76502934492974,15.219767068172787,0.0,0.0,1.4831847110846614,1.4831847110846614,0.0,0.0,0.0,119.36204303739423,4.182840161551138,5.254018664345567,5.491875659433157,5.76157676942506,3.1582843038506714,0.0,0.30777862576660026,0.0,0.0,0.0,24.156374184372197,0.0027005289212242824,success,,2811.8399999999997,eio_simulated,-121.48874385079264,1.054749889747325e-08
