pba_code,pba_label,sqft,eui_kwh_m2,finalwt
2,Office,28000,194.9823913017857,312.77
7,Public order and safety,350000,239.06373515691428,17.76
5,Nonrefrigerated warehouse,2100000,27.063409374471426,70.08
2,Office,210000,164.46542091771428,15.06
5,Nonrefrigerated warehouse,116000,157.08743215603448,15.06
2,Office,190000,150.20829331578946,59.79
5,Nonrefrigerated warehouse,62000,68.76878998790322,215.07
16,Inpatient health care,230000,222.07501635965218,9.01
5,Nonrefrigerated warehouse,118000,31.79118273940678,70.08
2,Office,300000,184.4130937341,70.08
18,Lodging,85000,119.10202791670586,100.08
14,Education,45000,152.43567736799997,495.15
14,Education,65000,104.10273183599999,100.08
5,Nonrefrigerated warehouse,430000,8.487292342395348,52.43
26,Service,6700,176.58829818805967,1531.55
26,Service,4000,64.099691505,1420.0
15,Food service,5500,1555.8191248418182,1265.79
2,Office,330000,210.1152237799091,15.06
15,Food service,1800,632.3761215999999,1265.79
25,Retail other than mall,220000,364.774074552,15.06
24,Enclosed mall,800000,141.2495708918625,15.08
18,Lodging,84000,203.97774224142856,100.08
5,Nonrefrigerated warehouse,46000,34.42425764086956,611.8
15,Food service,2700,136.9021958,1029.87
5,Nonrefrigerated warehouse,300000,93.06288661079999,15.06
5,Nonrefrigerated warehouse,130000,19.85586303876923,49.37
2,Office,6200,28.370957806451614,1265.79
26,Service,2150,133.71353296744184,3075.23
2,Office,13500,93.4003997,1531.55
5,Nonrefrigerated warehouse,26500,80.60334573396226,611.8
2,Office,245000,186.0472758633061,15.06
7,Public order and safety,72000,271.99151006625,290.39
14,Education,49000,297.67058888693873,306.64
2,Office,280000,92.14681320321428,15.06
8,Outpatient health care,100000,181.47308946119998,611.8
5,Nonrefrigerated warehouse,27000,5.219210736666666,611.8
13,Public assembly,16000,108.08611149375,1531.55
18,Lodging,250000,156.87122438952,9.11
5,Nonrefrigerated warehouse,180000,172.0446263335,15.06
6,Food sales,2350,875.9960835319148,3075.23
2,Office,40500,101.02383641777779,312.77
5,Nonrefrigerated warehouse,240000,102.9968903115,32.81
14,Education,2700,538.6076863999999,4384.99
8,Outpatient health care,225000,449.24671816439997,9.16
14,Education,24500,73.9626458987755,4384.99
17,Nursing,400000,94.21683037515,12.46
18,Lodging,255000,222.48072567847058,15.06
14,Education,76000,68.48631493105262,100.08
7,Public order and safety,460000,105.2700467186739,6.59
18,Lodging,345000,343.81920299947825,9.11
5,Nonrefrigerated warehouse,56000,40.17285867053571,118.55
14,Education,57000,325.8990325894737,227.11
2,Office,11000,120.02096504454545,611.8
2,Office,77000,136.29438869961038,227.11
5,Nonrefrigerated warehouse,55000,56.141148462545445,808.37
2,Office,110000,143.2562124019091,141.31
6,Food sales,180000,496.699378862,125.92
15,Food service,1300,356.3182203230769,3075.23
15,Food service,1800,478.6844967999999,1265.79
5,Nonrefrigerated warehouse,116000,46.78765511663793,70.08
26,Service,1600,228.841845075,3075.23
25,Retail other than mall,2350,101.61806936170211,3872.84
26,Service,60000,73.1686645665,215.07
12,Religious worship,2000,114.500575935,3075.23
18,Lodging,174000,115.04572172068964,15.06
2,Office,60000,163.19267153849998,141.31
5,Nonrefrigerated warehouse,600000,66.31128517395,70.08
5,Nonrefrigerated warehouse,132000,85.22213309113636,338.72
2,Office,4000,16.5324175425,677.49
18,Lodging,96000,240.77043425531247,100.08
2,Office,700000,171.39205632934284,6.59
25,Retail other than mall,65000,222.45105825830768,125.92
2,Office,27000,306.55966793666664,312.77
23,Strip shopping mall,14000,428.871242385,2009.74
2,Office,8500,58.05558984705882,3075.23
23,Strip shopping mall,17500,468.8421960291428,2009.74
18,Lodging,77000,208.93943434324672,59.79
14,Education,8000,119.18908532249999,3825.74
5,Nonrefrigerated warehouse,3200,201.32001894375,3075.23
2,Office,26000,55.25616243115385,611.8
26,Service,3900,446.0719679076923,1486.89
14,Education,4000,19.4914229625,3414.19
26,Service,1600,234.42349775625,991.58
14,Education,154000,252.84438294837662,45.1
2,Office,56000,149.71430646160715,312.77
7,Public order and safety,900000,78.6329612421,6.59
15,Food service,2550,593.5255932,1265.79
5,Nonrefrigerated warehouse,15750,66.98967149142857,1531.55
2,Office,11000,118.76027616818182,15.06
2,Office,300000,115.66733259239999,8.66
2,Office,102000,213.1642131767647,15.06
7,Public order and safety,285000,239.69468067063156,9.11
4,Laboratory,275000,416.1737939458909,17.76
14,Education,158000,105.31488903322784,9.11
2,Office,210000,117.70974034199999,6.59
2,Office,192000,135.60736256953126,8.93
24,Enclosed mall,1000000,123.22679963841,15.06
25,Retail other than mall,146000,170.5241281179452,125.92
5,Nonrefrigerated warehouse,100000,174.3116338809,118.55
18,Lodging,144000,563.087239079375,9.11
18,Lodging,70000,266.7477590395714,97.52
18,Lodging,112000,139.93116239008927,146.5
25,Retail other than mall,205000,372.89703608429267,52.8
18,Lodging,61000,298.7849749809836,422.29
8,Outpatient health care,365000,196.6797067218904,9.16
8,Outpatient health care,31000,345.09962940096773,611.8
2,Office,14500,144.62054686551724,1641.81
16,Inpatient health care,800000,343.6374185506125,9.53
18,Lodging,10000,378.245435688,1399.59
18,Lodging,200000,422.02106597294994,9.11
2,Office,700000,203.42151441732852,15.06
2,Office,32500,290.59325978399994,611.8
26,Service,3100,117.86667610645162,884.91
2,Office,154000,100.4920864468831,15.06
14,Education,250000,102.0017118042,9.11
2,Office,106000,55.97834835141509,141.31
2,Office,8400,112.83555328928571,1531.55
5,Nonrefrigerated warehouse,200000,33.290041265099994,70.08
5,Nonrefrigerated warehouse,475000,97.07192775132631,70.08
14,Education,245000,93.73363313363265,9.11
2,Office,1200,393.70597612499995,1265.79
5,Nonrefrigerated warehouse,130000,14.926986026307691,70.08
5,Nonrefrigerated warehouse,90000,20.785453305999997,215.07
15,Food service,3500,96.35019171428571,1090.74
4,Laboratory,100001,280.447028898211,52.84
18,Lodging,225000,380.81624427279996,8.7
25,Retail other than mall,41000,469.6165038841463,227.11
2,Office,240000,186.20172523349999,15.06
14,Education,5100,121.93170751764704,4384.99
2,Office,41500,110.64979072626505,9.11
2,Office,300000,109.54233858719999,15.06
2,Office,65000,270.6923589064615,15.06
5,Nonrefrigerated warehouse,355000,60.32731281971831,70.08
14,Education,200001,119.8180004399478,51.34
18,Lodging,118000,440.03298381940675,97.52
16,Inpatient health care,300000,83.0775051543,9.53
12,Religious worship,57000,43.81448791578947,655.85
18,Lodging,200000,425.99670111225,8.93
16,Inpatient health care,2100000,214.9825549935857,10.17
11,Refrigerated warehouse,164000,385.52327101810977,54.0
8,Outpatient health care,74000,205.87928605783782,161.5
2,Office,64000,164.33013454171873,118.55
18,Lodging,49500,138.10635697272724,495.15
16,Inpatient health care,250000,393.4116318474,9.91
2,Office,9300,130.8947936032258,2649.96
2,Office,12250,264.7267548612245,1486.89
13,Public assembly,1500,303.83118125999994,3075.23
2,Office,112000,261.19050373205357,49.37
14,Education,100000,69.6213912033,45.1
12,Religious worship,3600,67.40482555,3075.23
2,Office,340000,189.3900043990588,15.06
5,Nonrefrigerated warehouse,104000,166.90905357403844,249.3
23,Strip shopping mall,152000,402.815262909671,84.48
12,Religious worship,1600,248.76702416249998,3075.23
7,Public order and safety,13250,215.1254199124528,495.15
14,Education,39000,293.0495206223077,386.68
11,Refrigerated warehouse,36000,761.6481528375,611.8
25,Retail other than mall,124000,265.20729714870964,125.92
18,Lodging,205000,178.69535139907316,5.66
2,Office,2000,162.03078346499998,3075.23
18,Lodging,240000,297.06706994962497,9.11
14,Education,1200,156.501838725,4384.99
2,Office,215000,199.58806283274416,140.37
23,Strip shopping mall,108000,362.3945381058333,395.28
26,Service,7800,129.82876918846154,2934.43
2,Office,4900,95.72635544693877,3075.23
5,Nonrefrigerated warehouse,114000,66.5792269168421,52.14
25,Retail other than mall,215000,270.2658888121395,15.08
2,Office,1000000,121.14563459607,9.11
2,Office,9000,126.55829519,1399.59
2,Office,485000,244.80945279092782,15.06
6,Food sales,2350,718.6961447234042,1265.79
26,Service,4500,45.322345039999995,3075.23
2,Office,245000,134.94076759175508,15.06
13,Public assembly,9000,259.86390788,3075.23
14,Education,20000,193.353969411,1399.59
14,Education,134000,134.90502905619402,100.08
8,Outpatient health care,120000,276.739772646,9.16
7,Public order and safety,215000,295.3035615193953,12.36
23,Strip shopping mall,78000,405.4030745146153,395.28
5,Nonrefrigerated warehouse,24000,33.359263485,1011.03
13,Public assembly,30000,47.61285778799999,1531.55
6,Food sales,5500,532.6628456127272,3075.23
2,Office,85000,118.82305082223529,316.23
8,Outpatient health care,3000,383.35629209999996,3414.19
8,Outpatient health care,70000,340.1784123055714,141.31
25,Retail other than mall,3500,125.28409119428571,3075.23
2,Office,700000,113.51510905834284,15.06
5,Nonrefrigerated warehouse,128000,163.3289958309375,70.08
14,Education,6700,93.78925654029851,3075.23
18,Lodging,600000,201.2308123962,59.79
18,Lodging,80000,292.622292072,9.11
5,Nonrefrigerated warehouse,2150,62.708847446511626,1420.0
8,Outpatient health care,190000,198.19651410757893,9.16
7,Public order and safety,14250,160.6518679010526,495.15
14,Education,6200,174.32213459516126,495.15
5,Nonrefrigerated warehouse,475000,28.338698080042104,70.08
7,Public order and safety,500000,162.76626350514,9.11
18,Lodging,49000,118.82168825142855,495.15
18,Lodging,200000,162.0879761817,422.29
25,Retail other than mall,5000,200.51331141599996,1531.55
14,Education,38000,147.6500038413158,422.29
16,Inpatient health care,500001,459.29021183161626,9.01
2,Office,600000,68.36408203994999,9.16
14,Education,35500,114.85488970901407,495.15
2,Office,500000,476.7188142873599,43.03
13,Public assembly,5000,157.78628261999998,3075.23
5,Nonrefrigerated warehouse,20250,94.67617820888889,1531.55
14,Education,35500,96.46158619014085,495.15
2,Office,235000,87.91530898136169,15.06
14,Education,156000,135.04656215711537,9.11
13,Public assembly,4500,362.75121124,3075.23
2,Office,24750,142.06782099272726,611.8
13,Public assembly,9500,152.04260438526316,4384.99
5,Nonrefrigerated warehouse,186000,84.77721486725805,249.3
2,Office,250000,215.02205316431997,49.37
14,Education,88000,69.85832385477273,118.55
5,Nonrefrigerated warehouse,46000,16.925198286521738,808.37
13,Public assembly,27500,85.11783565418182,100.08
15,Food service,4500,1154.68719606,1265.79
2,Office,82000,212.75220501548782,15.06
2,Office,46500,156.12303352258064,32.81
16,Inpatient health care,800000,856.3629589035748,9.01
2,Office,188000,165.46275924845744,118.55
5,Nonrefrigerated warehouse,280000,9.41960574,32.81
16,Inpatient health care,265000,623.5845781955094,10.17
25,Retail other than mall,17500,105.4354109142857,1531.55
8,Outpatient health care,86000,788.6043994970929,138.49
13,Public assembly,96000,446.475760483125,312.77
25,Retail other than mall,5000,97.52288801399999,1265.79
14,Education,19750,197.99324922531645,495.15
2,Office,64000,28.846507478906247,15.06
8,Outpatient health care,220000,177.09217267336362,51.4
13,Public assembly,365000,197.71938180147944,8.66
5,Nonrefrigerated warehouse,90000,60.22115815099999,215.07
24,Enclosed mall,200000,47.08381727205,65.89
8,Outpatient health care,3100,215.11658014838707,1265.79
16,Inpatient health care,132000,759.8958975845454,9.16
5,Nonrefrigerated warehouse,116000,57.015026259827586,249.3
2,Office,64000,140.37831848109374,253.07
15,Food service,35000,760.2275282965714,495.15
14,Education,15000,93.292162212,1399.59
2,Office,6500,126.52769297076921,21.71
7,Public order and safety,5300,354.4169960886792,1399.59
18,Lodging,10250,389.8839338692683,1399.59
5,Nonrefrigerated warehouse,255000,23.311863407647056,70.08
13,Public assembly,25000,88.8164719812,611.8
14,Education,305000,520.3447489856064,59.79
26,Service,55000,295.65695029581815,312.77
14,Education,425000,229.25732684569408,45.1
