archetype_id,reason,attribution
FR.OPHM.LC_ENS.48.ReAv.001.001,FR.OPHM pilot row: unset metadata and FR.MUH-DPE1 pointer,Source: IEE Projects TABULA + EPISCOPE (www.episcope.eu)
FR.OPHM.LC_ENS.74.ReAv.001.001,FR.OPHM pilot row: unset metadata and FR.MUH-DPE1 pointer,Source: IEE Projects TABULA + EPISCOPE (www.episcope.eu)
FR.OPHM.LC_ENS.99.ReAv.001.001,FR.OPHM pilot row: unset metadata and FR.MUH-DPE1 pointer,Source: IEE Projects TABULA + EPISCOPE (www.episcope.eu)
FR.OPHM.LC_GR.74.ReAv.001.001,FR.OPHM pilot row: unset metadata and FR.MUH-DPE1 pointer,Source: IEE Projects TABULA + EPISCOPE (www.episcope.eu)
FR.OPHM.LC_GR.99.ReAv.001.001,FR.OPHM pilot row: unset metadata and FR.MUH-DPE1 pointer,Source: IEE Projects TABULA + EPISCOPE (www.episcope.eu)
FR.OPHM.LC_INT.00.ReAv.001.001,FR.OPHM pilot row: unset metadata and FR.MUH-DPE1 pointer,Source: IEE Projects TABULA + EPISCOPE (www.episcope.eu)
FR.OPHM.LC_INT.74.ReAv.001.001,FR.OPHM pilot row: unset metadata and FR.MUH-DPE1 pointer,Source: IEE Projects TABULA + EPISCOPE (www.episcope.eu)
FR.OPHM.LC_INT_99.ReAv.001.001,FR.OPHM pilot row: unset metadata and FR.MUH-DPE1 pointer,Source: IEE Projects TABULA + EPISCOPE (www.episcope.eu)
FR.OPHM.LC_PE.00.ReAv.001.001,FR.OPHM pilot row: unset metadata and FR.MUH-DPE1 pointer,Source: IEE Projects TABULA + EPISCOPE (www.episcope.eu)
FR.OPHM.LC_PE.99.ReAv.001.001,FR.OPHM pilot row: unset metadata and FR.MUH-DPE1 pointer,Source: IEE Projects TABULA + EPISCOPE (www.episcope.eu)
