building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,layout_state,storey_count,dwelling_count,gross_area_m2,conditioned_area_m2,circulation_pct
way/14325891,residential,apartments,852.3,3.0,9.0,storeys x 3.0 m,,massing_box,3,0,2557.0,2557.0,0.0
way/29093390,residential,apartments,391.1,6.0,18.0,storeys x 3.0 m,,no_idf,,,,,
way/29093543,residential,apartments,438.1,6.0,18.0,storeys x 3.0 m,,massing_box,6,0,2628.9,2628.9,0.0
way/29093544,residential,apartments,429.8,6.0,18.0,storeys x 3.0 m,,no_idf,,,,,
way/29093545,residential,apartments,384.0,6.0,18.0,storeys x 3.0 m,,no_idf,,,,,
way/29093548,residential,apartments,425.2,6.0,18.0,storeys x 3.0 m,,no_idf,,,,,
way/29093572,residential,apartments,601.0,6.0,18.0,storeys x 3.0 m,,no_idf,,,,,
way/29093600,residential,apartments,572.4,6.0,18.0,storeys x 3.0 m,,no_idf,,,,,
way/51781396,residential,apartments,312.2,17.0,51.0,storeys x 3.0 m,,massing_box,17,0,5307.9,5307.9,0.0
way/51781397,residential,apartments,322.5,17.0,51.0,storeys x 3.0 m,,massing_box,17,0,5482.3,5482.3,0.0
way/51781407,residential,apartments,360.3,17.0,51.0,storeys x 3.0 m,,massing_box,17,0,6124.8,6124.8,0.0
way/154194221,residential,apartments,805.4,4.0,12.0,storeys x 3.0 m,,no_idf,,,,,
way/182927520,residential,apartments,1007.0,5.0,15.0,storeys x 3.0 m,,no_idf,,,,,
way/182927523,residential,apartments,2957.5,8.0,24.0,storeys x 3.0 m,,no_idf,,,,,
way/182927525,residential,apartments,238.7,6.0,18.0,storeys x 3.0 m,,no_idf,,,,,
way/190348376,residential,residential,553.9,4.0,12.0,storeys x 3.0 m,,no_idf,,,,,
way/190348377,residential,apartments,702.2,4.0,12.0,storeys x 3.0 m,,no_idf,,,,,
way/190348378,residential,residential,763.8,4.0,12.0,storeys x 3.0 m,,no_idf,,,,,
way/190348379,residential,residential,638.8,4.0,12.0,storeys x 3.0 m,,no_idf,,,,,
way/190348384,residential,apartments,528.3,10.0,30.0,storeys x 3.0 m,,ruled,10,17,4419.1,4086.3,7.5
way/190701337,residential,house,44.4,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/190701339,residential,house,48.7,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/190701340,residential,house,45.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/190701341,residential,house,48.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/190701342,residential,house,42.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/190837474,residential,apartments,330.8,4.0,12.0,storeys x 3.0 m,,massing_box,4,0,1323.0,1323.0,0.0
way/190837476,residential,house,50.4,,9.0,assumed 9.0 m,,no_idf,,,,,
way/192335451,residential,apartments,235.6,4.0,12.0,storeys x 3.0 m,,no_idf,,,,,
way/192335452,residential,house,45.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335453,residential,house,48.6,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335455,residential,house,71.0,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/192335456,residential,house,46.7,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335458,residential,house,48.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335460,residential,house,49.7,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/192335461,residential,house,55.5,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/192335463,residential,house,50.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335465,residential,house,70.0,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335466,residential,house,53.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335467,residential,house,50.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335468,residential,house,87.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335469,residential,house,47.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335470,residential,house,45.1,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/192335471,residential,house,54.1,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335472,residential,house,50.7,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335473,residential,house,51.4,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335474,residential,house,50.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335475,residential,house,51.3,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335476,residential,house,63.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335477,residential,house,53.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335478,residential,house,47.6,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335479,residential,house,47.0,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335480,residential,house,45.8,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335481,residential,house,53.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335482,residential,house,53.5,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335483,residential,house,55.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335484,residential,house,49.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335485,residential,house,42.2,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335486,residential,house,56.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335487,residential,house,92.2,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/192335488,residential,house,55.7,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/192335489,residential,house,58.0,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335490,residential,house,63.6,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/192335491,residential,house,48.7,3.0,9.0,storeys x 3.0 m,,no_idf,,,,,
way/192335492,residential,house,46.9,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335493,residential,house,48.3,2.0,6.0,storeys x 3.0 m,,no_idf,,,,,
way/192335494,residential,apartments,530.5,,9.0,assumed 9.0 m,,no_idf,,,,,
