building_id,class,building_tag,footprint_area_m2,levels,height_m,height_source,year_built,layout_state,storey_count,dwelling_count,gross_area_m2,conditioned_area_m2,circulation_pct
32166,residential,Edificio generico,119.7,,9.0,assumed 9.0 m,,massing_box,4,0,478.8,478.8,0.0
32167,residential,Edificio generico,317.3,,9.0,assumed 9.0 m,,massing_box,4,0,1267.0,1267.0,0.0
32151,residential,Edificio generico,144.3,,9.0,assumed 9.0 m,,massing_box,6,0,865.5,865.5,0.0
31069,residential,Edificio generico,940.3,,9.0,assumed 9.0 m,,massing_box,6,0,5642.0,5642.0,0.0
31077,residential,Edificio generico,365.6,,9.0,assumed 9.0 m,,massing_box,6,0,2197.4,2197.4,0.0
32471,residential,Edificio generico,197.5,,9.0,assumed 9.0 m,,ruled,4,5,468.3,450.5,3.8
32475,residential,Edificio generico,22.7,,9.0,assumed 9.0 m,,massing_box,3,0,68.2,68.2,0.0
31153,residential,Edificio generico,24.0,,9.0,assumed 9.0 m,,massing_box,3,0,72.0,72.0,0.0
32479,residential,Edificio generico,80.2,,9.0,assumed 9.0 m,,ruled,3,5,197.0,182.5,7.3
32486,residential,Edificio generico,104.5,,9.0,assumed 9.0 m,,ruled,5,16,428.6,381.4,11.0
32526,residential,Edificio generico,215.1,,9.0,assumed 9.0 m,,massing_box,6,0,1290.3,1290.3,0.0
32527,residential,Edificio generico,136.8,,9.0,assumed 9.0 m,,massing_box,6,0,820.6,820.6,0.0
32218,residential,Edificio generico,381.8,,9.0,assumed 9.0 m,,massing_box,6,0,2291.1,2291.1,0.0
32582,residential,Edificio generico,44.0,,9.0,assumed 9.0 m,,ruled,4,5,104.0,100.0,3.8
32245,residential,Edificio generico,242.8,,9.0,assumed 9.0 m,,ruled,5,30,1213.9,1213.9,0.0
32247,residential,Edificio generico,167.9,,9.0,assumed 9.0 m,,massing_box,5,0,839.6,839.6,0.0
32251,residential,Edificio generico,156.5,,9.0,assumed 9.0 m,,massing_box,5,0,782.4,782.4,0.0
32289,residential,Edificio generico,114.3,,9.0,assumed 9.0 m,,massing_box,6,0,685.5,685.5,0.0
32293,residential,Edificio generico,206.2,,9.0,assumed 9.0 m,,massing_box,4,0,824.7,824.7,0.0
29685,residential,Edificio generico,1022.9,,9.0,assumed 9.0 m,,massing_box,7,0,7160.3,7160.3,0.0
29688,residential,Edificio generico,40.2,,9.0,assumed 9.0 m,,ruled,5,16,164.3,146.2,11.0
29816,residential,Edificio generico,217.3,,9.0,assumed 9.0 m,,massing_box,6,0,1304.0,1304.0,0.0
30935,residential,Edificio generico,162.5,,9.0,assumed 9.0 m,,massing_box,4,0,654.3,654.3,0.0
30936,residential,Edificio generico,115.2,,9.0,assumed 9.0 m,,massing_box,5,0,576.1,576.1,0.0
33617,residential,Edificio generico,431.1,,9.0,assumed 9.0 m,,massing_box,7,0,3017.1,3017.1,0.0
29618,residential,Edificio generico,560.1,,9.0,assumed 9.0 m,,massing_box,5,0,2944.5,2944.5,0.0
32446,residential,Edificio generico,241.0,,9.0,assumed 9.0 m,,massing_box,4,0,964.1,964.1,0.0
