cell,mode,n_dirs,n_err,n_eio,n_end
austin_centre,auto,413,413,413,413
austin_centre,building,413,413,413,413
austin_centre,fast_zone,413,413,413,413
austin_centre,floor,413,413,413,413
austin_centre,layout_assign,413,413,413,413
austin_rural,auto,245,245,245,245
austin_rural,building,245,245,245,245
austin_rural,fast_zone,245,245,245,245
austin_rural,floor,245,245,245,245
austin_rural,layout_assign,245,245,245,245
austin_suburban,auto,437,437,437,437
austin_suburban,building,437,437,437,437
austin_suburban,fast_zone,437,437,437,437
austin_suburban,floor,437,437,437,437
austin_suburban,layout_assign,437,437,437,437
austin_urban,auto,425,425,425,425
austin_urban,building,425,425,425,425
austin_urban,fast_zone,425,425,425,425
austin_urban,floor,425,425,425,425
austin_urban,layout_assign,425,425,425,425
la_centre,auto,226,226,226,226
la_centre,building,226,226,226,226
la_centre,fast_zone,226,226,226,226
la_centre,floor,226,226,226,226
la_centre,layout_assign,226,226,226,226
la_rural,auto,149,149,149,149
la_rural,building,149,149,149,149
la_rural,fast_zone,149,149,149,149
la_rural,floor,149,149,149,149
la_rural,layout_assign,149,149,149,149
la_suburban,auto,1343,1343,1343,1343
la_suburban,building,1343,1343,1343,1343
la_suburban,fast_zone,1343,1343,1343,1343
la_suburban,floor,1343,1343,1343,1343
la_suburban,layout_assign,1343,1343,1343,1343
la_urban,auto,618,618,618,618
la_urban,building,618,618,618,618
la_urban,fast_zone,618,618,618,618
la_urban,floor,618,618,618,618
la_urban,layout_assign,618,618,618,618
nyc_centre,auto,738,738,738,738
nyc_centre,building,738,738,738,738
nyc_centre,fast_zone,738,738,738,737
nyc_centre,floor,738,738,738,738
nyc_centre,layout_assign,738,738,738,738
nyc_rural,auto,198,198,198,198
nyc_rural,building,198,198,198,198
nyc_rural,fast_zone,198,198,198,198
nyc_rural,floor,198,198,198,198
nyc_rural,layout_assign,198,198,198,198
nyc_suburban,auto,1589,1589,1589,1589
nyc_suburban,building,1589,1589,1589,1589
nyc_suburban,fast_zone,1589,1589,1589,1589
nyc_suburban,floor,1589,1589,1589,1589
nyc_suburban,layout_assign,1589,1589,1589,1589
nyc_urban,auto,1779,1779,1779,1779
nyc_urban,building,1779,1779,1779,1779
nyc_urban,fast_zone,1779,1779,1779,1779
nyc_urban,floor,1779,1779,1779,1779
nyc_urban,layout_assign,1779,1779,1779,1779
FLEET_TOTAL,ALL,40800,40800,40800,40799
