cell,osm_id,end_use,auto_kwh_m2,layout_assign_kwh_m2,diff_kwh_m2_la_minus_auto,share_of_official_gap_pct
austin_centre,way/1008727470,Heating,33.6327,15.1584,-18.4743,108.11
austin_centre,way/1008727470,Cooling,44.591,45.9173,1.3264,-7.76
austin_centre,way/1008727470,Interior Lighting,42.8541,42.8541,0.0,-0.0
austin_centre,way/1008727470,Interior Equipment,31.6432,31.6432,0.0,-0.0
austin_centre,way/1008727470,Fans,13.5478,12.2846,-1.2632,7.39
austin_centre,way/1008727470,Pumps,0.0,0.0,0.0,-0.0
austin_centre,way/1008727470,Water Systems,40.075,39.1592,-0.9158,5.36
nyc_centre,way/265424467,Heating,88.1207,45.7484,-42.3722,87.49
nyc_centre,way/265424467,Cooling,21.8302,19.4307,-2.3995,4.95
nyc_centre,way/265424467,Interior Lighting,19.6766,19.6766,0.0,-0.0
nyc_centre,way/265424467,Interior Equipment,28.2561,28.2561,0.0,-0.0
nyc_centre,way/265424467,Fans,40.2609,35.2528,-5.0081,10.34
nyc_centre,way/265424467,Pumps,2.6963,1.9478,-0.7485,1.55
nyc_centre,way/265424467,Water Systems,4.8713,4.8653,-0.0059,0.01
nyc_suburban,way/846412106,Heating,150.1617,103.7094,-46.4523,98.61
nyc_suburban,way/846412106,Cooling,26.2038,27.5651,1.3612,-2.89
nyc_suburban,way/846412106,Interior Lighting,24.9277,24.9277,0.0,-0.0
nyc_suburban,way/846412106,Interior Equipment,43.1343,43.1343,0.0,-0.0
nyc_suburban,way/846412106,Fans,17.8663,14.8885,-2.9777,6.32
nyc_suburban,way/846412106,Pumps,0.0,0.0,0.0,-0.0
nyc_suburban,way/846412106,Water Systems,104.7303,102.6885,-2.0419,4.33
nyc_urban,way/241862488,Heating,101.9237,74.2592,-27.6645,93.85
nyc_urban,way/241862488,Cooling,18.0897,17.8705,-0.2193,0.74
nyc_urban,way/241862488,Interior Lighting,24.4851,24.4851,0.0,-0.0
nyc_urban,way/241862488,Interior Equipment,22.7675,22.7675,0.0,-0.0
nyc_urban,way/241862488,Fans,44.5848,41.0765,-3.5083,11.9
nyc_urban,way/241862488,Pumps,2.2292,2.2292,0.0,-0.0
nyc_urban,way/241862488,Water Systems,48.422,47.5449,-0.8771,2.98
