cell,osm_id,arm,ext_wall_m2,roof_m2,ground_m2,window_m2,wwr_pct,ext_surface_m2,floor_total_m2,ext_surface_per_floor_area,storey_count,storey_count_naive,exposed_floor_m2_diag,door_m2_diag,window_interior_diag_m2,unconditioned_zone_count_diag
austin_centre,way_1008727470,layout_assign,151.885,87.964,87.964,42.85,28.212,327.813,87.964,3.72667,1,1,0.0,0.0,0.0,0
austin_centre,way_1008727470,auto,151.885,87.964,87.964,42.85,28.212,327.813,87.964,3.72667,1,1,0.0,0.0,0.0,0
austin_centre,way_328529693,layout_assign,198.859,313.439,180.382,44.895,22.576,692.68,255.059,2.71576,1,1,28.352,0.0,0.0,1
austin_centre,way_328529693,auto,321.736,269.235,269.235,128.566,39.96,860.206,269.235,3.195,1,1,0.0,0.0,0.0,0
austin_centre,way_328649870,layout_assign,1315.714,735.047,299.728,441.968,33.591,2350.489,2205.14,1.06591,3,3,0.0,0.0,0.0,3
austin_centre,way_328649870,auto,400.296,735.047,735.047,159.958,39.96,1870.389,735.047,2.54459,1,1,0.0,0.0,0.0,0
austin_centre,way_99725026,layout_assign,1408.007,841.447,288.834,574.579,40.808,2538.288,3365.786,0.75414,4,4,0.0,0.0,0.0,3
austin_centre,way_99725026,auto,13629.151,2734.701,2734.701,5446.209,39.96,19098.554,19142.911,0.99768,7,7,0.0,0.0,0.0,0
austin_rural,way_1165379866,layout_assign,298.314,147.358,147.358,36.178,12.128,593.029,147.358,4.02441,1,1,0.0,0.0,0.0,0
austin_rural,way_1165379866,auto,190.347,147.358,147.358,76.063,39.96,485.063,147.358,3.29173,1,1,0.0,0.0,0.0,0
austin_rural,way_1450171441,layout_assign,404.419,1203.376,746.052,91.303,22.576,2353.847,1054.91,2.23133,1,1,117.263,0.0,0.0,1
austin_rural,way_1450171441,auto,500.769,1113.541,1113.541,200.107,39.96,2727.852,1113.541,2.44971,1,1,0.0,0.0,0.0,0
austin_rural,way_1480414338,layout_assign,197.717,310.176,178.316,44.637,22.576,686.209,252.138,2.72157,1,1,28.027,0.0,0.0,1
austin_rural,way_1480414338,auto,262.794,266.151,266.151,105.013,39.96,795.097,266.151,2.98739,1,1,0.0,0.0,0.0,0
austin_rural,way_762128912,layout_assign,265.752,536.842,322.151,59.997,22.576,1124.745,455.518,2.46915,1,1,50.635,0.0,0.0,1
austin_rural,way_762128912,auto,320.422,480.836,480.836,128.041,39.96,1282.094,480.836,2.66639,1,1,0.0,0.0,0.0,0
austin_suburban,way_382991214,layout_assign,133.167,155.531,80.891,30.064,22.576,369.589,114.379,3.23126,1,1,12.714,0.0,0.0,1
austin_suburban,way_382991214,auto,336.944,121.205,121.205,134.643,39.96,579.353,242.409,2.38998,2,2,0.0,0.0,0.0,0
austin_suburban,way_382991392,layout_assign,176.369,252.58,141.89,39.818,22.576,570.839,200.631,2.84522,1,1,22.302,0.0,0.0,1
austin_suburban,way_382991392,auto,459.958,212.808,212.808,183.799,39.96,885.574,425.617,2.08068,2,2,0.0,0.0,0.0,0
austin_suburban,way_382991906,layout_assign,243.719,456.226,270.946,55.023,22.576,970.891,383.115,2.5342,1,1,42.587,0.0,0.0,1
austin_suburban,way_382991906,auto,931.987,404.409,404.409,372.422,39.96,1740.804,1213.226,1.43486,3,3,0.0,0.0,0.0,0
austin_suburban,way_382992872,layout_assign,71.39,60.365,23.247,16.117,22.576,155.002,32.872,4.71536,1,1,3.654,0.0,0.0,1
austin_suburban,way_382992872,auto,86.708,34.699,34.699,34.648,39.96,156.105,34.699,4.49887,1,1,0.0,0.0,0.0,0
austin_urban,way_381810583,layout_assign,1751.499,1302.601,531.159,588.354,33.591,3585.26,3907.804,0.91746,3,3,0.0,0.0,0.0,3
austin_urban,way_381810583,auto,3498.328,1302.388,1302.388,1397.932,39.96,6103.104,5209.553,1.17152,4,4,0.0,0.0,0.0,0
austin_urban,way_381824501,layout_assign,193.5,298.29,170.792,43.685,22.576,662.582,241.498,2.74363,1,1,26.845,0.0,0.0,1
