variant,scale,cell,osm_id,archetype_id,floor_area_m2,parse_status,extract_status,Heating,Cooling,Interior_Lighting,Exterior_Lighting,Interior_Equipment,Exterior_Equipment,Fans,Pumps,Heat_Rejection,Humidification,Heat_Recovery,Water_Systems,Refrigeration,Generators,Total_End_Uses_kwh,sum_end_uses_kwh,reconcile_rel_err_pct,reconciled_within_2pct,eui_kwh_m2,elasticity_minus30,elasticity_plus30,loads_reach_model
scale_1.0,1.0,austin_centre,way/1008727470,OpenUBEMUnknown,87.96,success,ok,1333.33344,4038.889212,3769.444746,0.0,2783.333556,0.0,1080.555642,0.0,0.0,0.0,0.0,3444.4447200000004,0.0,0.0,16450.001316,16450.001316,0.0,True,187.01684079126878,0.4632443994146118,0.47506473038387936,True
scale_1.0,1.0,austin_centre,way/328529693,SmallOffice,255.06,success,ok,613.888938,3800.000304,2588.8890960000003,963.8889660000001,6694.444980000001,0.0,2805.55578,0.0,0.0,0.0,0.0,3466.6669440000005,0.0,0.0,20936.112786,20933.335008000002,0.013267878466231677,True,82.08308941425547,-0.0,0.0,False
scale_1.0,1.0,austin_rural,way/1165379866,RetailStandalone,147.36,success,ok,3402.7780500000003,5980.556034,3363.889158,527.77782,3466.6669440000005,0.0,11486.11203,0.0,0.0,0.0,0.0,1722.2223600000002,0.0,0.0,29952.780174,29950.002396,0.009273856997124007,True,203.26262333061888,-0.0,0.0,False
scale_1.0,1.0,austin_rural,way/1480414338,SmallOffice,252.14000000000004,success,ok,961.1111880000001,3147.222474,2563.889094,952.777854,6616.667196,0.0,2705.555772,0.0,0.0,0.0,0.0,3430.5558300000002,0.0,0.0,20377.779408000002,20377.779408000002,0.0,True,80.81930438645196,-0.0,0.0,False
scale_1.0,1.0,austin_rural,way/762128912,SmallOffice,455.51,success,ok,1277.7778800000003,5002.7781780000005,4666.66704,1722.2223600000002,11955.556512000001,0.0,4044.4447680000003,0.0,0.0,0.0,0.0,6194.44494,0.0,0.0,34863.891678,34863.891678,0.0,True,76.53814774209128,-0.0,0.0,False
scale_1.0,1.0,austin_rural,way/1450171441,SmallOffice,1054.9,success,ok,2044.4446080000002,10069.44525,11077.778664000001,3991.666986,27686.113326000002,0.0,7463.889486000001,0.0,0.0,0.0,0.0,14341.667814000002,0.0,0.0,76675.006134,76675.00613400001,1.897869457347731e-14,True,72.68462047018674,-0.0,0.0,False
scale_1.0,1.0,austin_suburban,way/382992872,SmallOffice,32.88,success,ok,372.222252,883.3334040000001,333.33336,125.00001,863.888958,0.0,788.888952,0.0,0.0,0.0,0.0,447.22225800000007,0.0,0.0,3811.1114159999997,3813.8891940000003,0.07288629737610852,True,115.90971459854013,-0.0,0.0,False
scale_1.0,1.0,austin_urban,way/381810583,MediumOffice,5210.4400000000005,success,ok,14144.445576000002,134905.56634800002,48100.003848,9930.55635,244791.68625,4277.77812,42236.11449000001,55.55556000000001,0.0,0.0,0.0,45566.670312,0.0,0.0,544002.821298,544008.376854,0.0010212366154134758,True,104.40631142437107,-0.0,0.0,False
scale_1.0,1.0,la_centre,way/905248736,SmallOffice,140.98,success,ok,227.777796,1380.555666,1430.5556700000002,527.77782,3700.000296,0.0,1775.000142,0.0,0.0,0.0,0.0,1919.444598,0.0,0.0,10958.33421,10961.111988,0.025348542458805613,True,77.72970783089801,-0.0,0.0,False
scale_1.0,1.0,la_centre,way/427817563,Warehouse,2305.6000000000004,success,ok,527.77782,4166.667,11047.223106000001,5591.667114,72325.00578600001,0.0,6430.55607,0.0,0.0,0.0,0.0,3458.33361,0.0,0.0,103550.008284,103547.230506,0.0026825473469498165,True,44.91239082408049,-0.0,0.0,False
