archetype_id,source_2013_file,baseline_2022_file,lights_w_m2_2013,lights_w_m2_2022,lights_ratio_2013_over_2022,lights_n_objects_2013,lights_n_unresolved_2013,lights_methods_2013,lights_n_objects_2022,lights_n_unresolved_2022,lights_methods_2022,equipment_w_m2_2013,equipment_w_m2_2022,equipment_ratio_2013_over_2022,equipment_n_objects_2013,equipment_n_unresolved_2013,equipment_methods_2013,equipment_n_objects_2022,equipment_n_unresolved_2022,equipment_methods_2022,people_m2_per_person_2013,people_m2_per_person_2022,people_ratio_2013_over_2022,people_n_objects_2013,people_n_unresolved_2013,people_n_objects_2022,people_n_unresolved_2022
HighriseApartment,HighriseApartment_90.1-2013.idf,ASHRAE901_ApartmentHighRise_STD2022_Buffalo.idf,4.659735531854254,1.8640457065533917,2.4997968212217687,50,0,per_area,50,0,per_area,13.813443985468613,10.89915954158343,1.267386162462009,26,0,"per_area,absolute",26,0,"per_area,absolute",31.4341419254396,31.4341419254396,1.0,27,0,27,0
Hospital,Hospital_90.1-2013.idf,ASHRAE901_Hospital_STD2022_Buffalo.idf,10.64631518463138,8.475808908634153,1.2560824930569365,55,0,per_area,55,0,per_area,18.45573702099751,18.413980652683893,1.0022676448455772,50,0,absolute,50,0,absolute,32.868649390162446,32.868649390162446,1.0,55,0,55,0
LargeHotel,LargeHotel_90.1-2013.idf,ASHRAE901_HotelLarge_STD2022_Buffalo.idf,9.756242415784792,6.3252826142706216,1.5424200009298399,22,0,per_area,22,0,per_area,24.87202368479473,24.813171993257992,1.002371792350963,22,0,absolute,22,0,absolute,3.8537371301370253,3.8537371301370253,1.0,18,4,18,4
MediumOffice,MediumOffice_90.1-2013.idf,ASHRAE901_OfficeMedium_STD2022_Buffalo.idf,10.195869999999998,5.803983,1.7567022508508379,15,0,per_area,15,0,per_area,8.158311250379288,7.026522961035778,1.1610737338538026,17,0,absolute,17,0,absolute,18.578794246572404,18.578794246572404,1.0,15,0,15,0
MidriseApartment,MidriseApartment_90.1-2013.idf,ASHRAE901_ApartmentMidRise_STD2022_Buffalo.idf,4.650662403934598,1.85914477793307,2.501506315772264,50,0,per_area,50,0,per_area,9.766454577578243,8.155761788798419,1.1974913969400185,26,0,"per_area,absolute",26,0,"per_area,absolute",31.434354408662394,31.434354408662394,1.0,27,0,27,0
Outpatient,OutPatientHealthCare_90.1-2013.idf,ASHRAE901_OutPatientHealthCare_STD2022_Buffalo.idf,12.197813966687837,8.590206682533097,1.419967460327849,118,0,per_area,118,0,per_area,20.209367972562717,18.570146410754713,1.0882718706438774,119,0,absolute,119,0,absolute,8.016948521929292,8.016948521929292,1.0,118,0,118,0
FullServiceRestaurant,Restaurant_FullServiceRestaurant.idf,ASHRAE901_RestaurantSitDown_STD2022_Buffalo.idf,9.833085899410403,6.033903078076139,1.6296393515398664,2,0,per_area,2,0,per_area,103.1478144671002,97.09525974263681,1.0623362534948302,4,0,absolute,4,0,absolute,1.7768762081025162,1.7768762081025162,1.0,2,0,2,0
QuickServiceRestaurant,Restaurant_QuickServiceRestaurant.idf,ASHRAE901_RestaurantFastFood_STD2022_Buffalo.idf,9.56773,6.849818999999999,1.3967858128806032,2,0,per_area,2,0,per_area,99.1283224543886,92.9550216964309,1.0664116972412554,4,0,absolute,4,0,absolute,2.476535293861101,2.476535293861101,1.0,2,0,2,0
RetailStandalone,RetailStandalone_90.1-2013.idf,ASHRAE901_RetailStandalone_STD2022_Buffalo.idf,14.151703233806,7.9452271633007445,1.7811577873031956,5,0,per_area,5,0,per_area,5.24445961247294,5.24445961247294,1.0,4,0,absolute,4,0,absolute,7.230784258542788,7.230784258542788,1.0,5,0,5,0
PrimarySchool,SchoolPrimary_90.1-2013.idf,ASHRAE901_SchoolPrimary_STD2022_Buffalo_50pct_downscaled.idf,11.655817482171443,6.910278682870034,1.6867362398950967,25,0,per_area,25,0,per_area,15.972422644651033,15.88685305952546,1.0053861884921425,27,0,absolute,27,0,absolute,4.03965305574952,3.856640870274443,1.0474537795016559,23,2,23,2
SmallHotel,SmallHotel_90.1-2013.idf,ASHRAE901_HotelSmall_STD2022_Buffalo.idf,9.284786798407344,4.80879993751048,1.930790824958729,67,0,per_area,67,0,per_area,14.10940263793148,12.291865299629228,1.1478650549772194,68,0,"absolute,per_area",68,0,"absolute,per_area",13.374951554726277,13.374951554726277,1.0,67,0,67,0
Warehouse,Warehouse_90.1-2013.idf,ASHRAE901_Warehouse_STD2022_Buffalo.idf,7.48173172727273,4.226855563636366,1.7700466965651869,3,0,per_area,3,0,per_area,2.938244350867003,2.938244350867003,1.0,2,0,absolute,2,0,absolute,41.14813100573049,41.14813100573049,1.0,3,0,3,0
