commit,cell,osm_id,emitted_archetype,load_error
6aeebb0,austin_centre,way/231123149,LargeHotel,
6aeebb0,austin_centre,way/328723692,LargeHotel,
6aeebb0,la_centre,relation/6366079,LargeHotel,
6aeebb0,la_centre,way/427817498,LargeHotel,
6aeebb0,la_centre,way/427942886,SmallHotel,
6aeebb0,la_centre,way/428015098,LargeHotel,
6aeebb0,la_urban,relation/6374725,SmallHotel,
6aeebb0,la_urban,way/401904732,LargeHotel,
6aeebb0,la_urban,way/401910463,SmallHotel,
6aeebb0,la_urban,way/427274663,LargeHotel,
6aeebb0,la_urban,way/428846131,SmallHotel,
6aeebb0,nyc_centre,relation/3576201,LargeHotel,
6aeebb0,nyc_centre,way/260180778,LargeHotel,
6aeebb0,nyc_centre,way/265301854,LargeHotel,
6aeebb0,nyc_centre,way/265301856,LargeHotel,
6aeebb0,nyc_centre,way/265301877,LargeHotel,
6aeebb0,nyc_centre,way/265301889,LargeHotel,
6aeebb0,nyc_centre,way/265302168,LargeHotel,
6aeebb0,nyc_centre,way/266034056,LargeHotel,
6aeebb0,nyc_centre,way/266170533,LargeHotel,
6aeebb0,nyc_centre,way/266170536,LargeHotel,
6aeebb0,nyc_centre,way/266170538,LargeHotel,
6aeebb0,nyc_centre,way/266170539,LargeHotel,
6aeebb0,nyc_centre,way/266170544,LargeHotel,
6aeebb0,nyc_centre,way/266170570,LargeHotel,
6aeebb0,nyc_centre,way/266170752,LargeHotel,
6aeebb0,nyc_centre,way/266170756,LargeHotel,
6aeebb0,nyc_centre,way/266170757,LargeHotel,
6aeebb0,nyc_centre,way/266170763,LargeHotel,
6aeebb0,nyc_centre,way/266170764,LargeHotel,
6aeebb0,nyc_centre,way/266170765,LargeHotel,
6aeebb0,nyc_centre,way/266170800,LargeHotel,
6aeebb0,nyc_centre,way/283346493,LargeHotel,
6aeebb0,nyc_centre,way/288448678,LargeHotel,
6aeebb0,nyc_centre,way/292840083,LargeHotel,
6aeebb0,nyc_centre,way/292840084,LargeHotel,
6aeebb0,nyc_centre,way/293183674,LargeHotel,
6aeebb0,nyc_rural,way/965718400,SmallHotel,
6aeebb0,nyc_rural,way/965718401,SmallHotel,
6aeebb0,nyc_rural,way/965718402,SmallHotel,
6aeebb0,nyc_rural,way/965718403,SmallHotel,
42f0c1d,austin_centre,way/231123149,LargeOffice,
42f0c1d,austin_centre,way/328723692,LargeOffice,
42f0c1d,la_centre,relation/6366079,MediumOffice,
42f0c1d,la_centre,way/427817498,MediumOffice,
42f0c1d,la_centre,way/427942886,MediumOffice,
42f0c1d,la_centre,way/428015098,MediumOffice,
42f0c1d,la_urban,relation/6374725,MediumOffice,
42f0c1d,la_urban,way/401904732,MediumOffice,
42f0c1d,la_urban,way/401910463,SmallOffice,
42f0c1d,la_urban,way/427274663,MediumOffice,
42f0c1d,la_urban,way/428846131,SmallOffice,
42f0c1d,nyc_centre,relation/3576201,MediumOffice,
42f0c1d,nyc_centre,way/260180778,MediumOffice,
42f0c1d,nyc_centre,way/265301854,SmallOffice,
42f0c1d,nyc_centre,way/265301856,SmallOffice,
42f0c1d,nyc_centre,way/265301877,SmallOffice,
42f0c1d,nyc_centre,way/265301889,SmallOffice,
42f0c1d,nyc_centre,way/265302168,MediumOffice,
42f0c1d,nyc_centre,way/266034056,MediumOffice,
42f0c1d,nyc_centre,way/266170533,SmallOffice,
42f0c1d,nyc_centre,way/266170536,SmallOffice,
42f0c1d,nyc_centre,way/266170538,SmallOffice,
42f0c1d,nyc_centre,way/266170539,SmallOffice,
42f0c1d,nyc_centre,way/266170544,SmallOffice,
42f0c1d,nyc_centre,way/266170570,SmallOffice,
42f0c1d,nyc_centre,way/266170752,MediumOffice,
42f0c1d,nyc_centre,way/266170756,MediumOffice,
42f0c1d,nyc_centre,way/266170757,SmallOffice,
42f0c1d,nyc_centre,way/266170763,MediumOffice,
42f0c1d,nyc_centre,way/266170764,MediumOffice,
42f0c1d,nyc_centre,way/266170765,MediumOffice,
42f0c1d,nyc_centre,way/266170800,MediumOffice,
42f0c1d,nyc_centre,way/283346493,MediumOffice,
42f0c1d,nyc_centre,way/288448678,MediumOffice,
42f0c1d,nyc_centre,way/292840083,SmallOffice,
42f0c1d,nyc_centre,way/292840084,SmallOffice,
42f0c1d,nyc_centre,way/293183674,SmallOffice,
42f0c1d,nyc_rural,way/965718400,SmallOffice,
42f0c1d,nyc_rural,way/965718401,SmallOffice,
42f0c1d,nyc_rural,way/965718402,SmallOffice,
42f0c1d,nyc_rural,way/965718403,SmallOffice,
62e5968,austin_centre,way/231123149,LargeOffice,
62e5968,austin_centre,way/328723692,LargeOffice,
62e5968,la_centre,relation/6366079,MediumOffice,
62e5968,la_centre,way/427817498,MediumOffice,
62e5968,la_centre,way/427942886,MediumOffice,
62e5968,la_centre,way/428015098,MediumOffice,
62e5968,la_urban,relation/6374725,MediumOffice,
62e5968,la_urban,way/401904732,MediumOffice,
62e5968,la_urban,way/401910463,SmallOffice,
62e5968,la_urban,way/427274663,MediumOffice,
62e5968,la_urban,way/428846131,SmallOffice,
62e5968,nyc_centre,relation/3576201,MediumOffice,
62e5968,nyc_centre,way/260180778,MediumOffice,
62e5968,nyc_centre,way/265301854,SmallOffice,
62e5968,nyc_centre,way/265301856,SmallOffice,
62e5968,nyc_centre,way/265301877,SmallOffice,
62e5968,nyc_centre,way/265301889,SmallOffice,
62e5968,nyc_centre,way/265302168,MediumOffice,
62e5968,nyc_centre,way/266034056,MediumOffice,
62e5968,nyc_centre,way/266170533,SmallOffice,
62e5968,nyc_centre,way/266170536,SmallOffice,
62e5968,nyc_centre,way/266170538,SmallOffice,
62e5968,nyc_centre,way/266170539,SmallOffice,
62e5968,nyc_centre,way/266170544,SmallOffice,
62e5968,nyc_centre,way/266170570,SmallOffice,
62e5968,nyc_centre,way/266170752,MediumOffice,
62e5968,nyc_centre,way/266170756,MediumOffice,
62e5968,nyc_centre,way/266170757,SmallOffice,
62e5968,nyc_centre,way/266170763,MediumOffice,
62e5968,nyc_centre,way/266170764,MediumOffice,
62e5968,nyc_centre,way/266170765,MediumOffice,
62e5968,nyc_centre,way/266170800,MediumOffice,
62e5968,nyc_centre,way/283346493,MediumOffice,
62e5968,nyc_centre,way/288448678,MediumOffice,
62e5968,nyc_centre,way/292840083,SmallOffice,
62e5968,nyc_centre,way/292840084,SmallOffice,
62e5968,nyc_centre,way/293183674,SmallOffice,
62e5968,nyc_rural,way/965718400,SmallOffice,
62e5968,nyc_rural,way/965718401,SmallOffice,
62e5968,nyc_rural,way/965718402,SmallOffice,
62e5968,nyc_rural,way/965718403,SmallOffice,
7635ce2,austin_centre,way/231123149,LargeOffice,
7635ce2,austin_centre,way/328723692,LargeOffice,
7635ce2,la_centre,relation/6366079,LargeOffice,
7635ce2,la_centre,way/427817498,LargeOffice,
7635ce2,la_centre,way/427942886,LargeOffice,
7635ce2,la_centre,way/428015098,MediumOffice,
7635ce2,la_urban,relation/6374725,MediumOffice,
7635ce2,la_urban,way/401904732,LargeOffice,
7635ce2,la_urban,way/401910463,MediumOffice,
7635ce2,la_urban,way/427274663,LargeOffice,
7635ce2,la_urban,way/428846131,MediumOffice,
7635ce2,nyc_centre,relation/3576201,LargeOffice,
7635ce2,nyc_centre,way/260180778,MediumOffice,
7635ce2,nyc_centre,way/265301854,MediumOffice,
7635ce2,nyc_centre,way/265301856,SmallOffice,
7635ce2,nyc_centre,way/265301877,LargeOffice,
7635ce2,nyc_centre,way/265301889,LargeOffice,
7635ce2,nyc_centre,way/265302168,LargeOffice,
7635ce2,nyc_centre,way/266034056,MediumOffice,
7635ce2,nyc_centre,way/266170533,MediumOffice,
7635ce2,nyc_centre,way/266170536,MediumOffice,
7635ce2,nyc_centre,way/266170538,MediumOffice,
7635ce2,nyc_centre,way/266170539,MediumOffice,
7635ce2,nyc_centre,way/266170544,LargeOffice,
7635ce2,nyc_centre,way/266170570,MediumOffice,
7635ce2,nyc_centre,way/266170752,LargeOffice,
7635ce2,nyc_centre,way/266170756,MediumOffice,
7635ce2,nyc_centre,way/266170757,MediumOffice,
7635ce2,nyc_centre,way/266170763,MediumOffice,
7635ce2,nyc_centre,way/266170764,LargeOffice,
7635ce2,nyc_centre,way/266170765,LargeOffice,
7635ce2,nyc_centre,way/266170800,LargeOffice,
7635ce2,nyc_centre,way/283346493,MediumOffice,
7635ce2,nyc_centre,way/288448678,MediumOffice,
7635ce2,nyc_centre,way/292840083,MediumOffice,
7635ce2,nyc_centre,way/292840084,LargeOffice,
7635ce2,nyc_centre,way/293183674,SmallOffice,
7635ce2,nyc_rural,way/965718400,SmallOffice,
7635ce2,nyc_rural,way/965718401,SmallOffice,
7635ce2,nyc_rural,way/965718402,SmallOffice,
7635ce2,nyc_rural,way/965718403,SmallOffice,
67ede73,austin_centre,way/231123149,LargeOffice,
67ede73,austin_centre,way/328723692,LargeOffice,
67ede73,la_centre,relation/6366079,MediumOffice,
67ede73,la_centre,way/427817498,LargeOffice,
67ede73,la_centre,way/427942886,MediumOffice,
67ede73,la_centre,way/428015098,MediumOffice,
67ede73,la_urban,relation/6374725,SmallOffice,
67ede73,la_urban,way/401904732,LargeOffice,
67ede73,la_urban,way/401910463,SmallOffice,
67ede73,la_urban,way/427274663,MediumOffice,
67ede73,la_urban,way/428846131,SmallOffice,
67ede73,nyc_centre,relation/3576201,MediumOffice,
67ede73,nyc_centre,way/260180778,LargeOffice,
67ede73,nyc_centre,way/265301854,MediumOffice,
67ede73,nyc_centre,way/265301856,MediumOffice,
67ede73,nyc_centre,way/265301877,MediumOffice,
67ede73,nyc_centre,way/265301889,MediumOffice,
67ede73,nyc_centre,way/265302168,LargeOffice,
67ede73,nyc_centre,way/266034056,LargeOffice,
67ede73,nyc_centre,way/266170533,MediumOffice,
67ede73,nyc_centre,way/266170536,MediumOffice,
67ede73,nyc_centre,way/266170538,MediumOffice,
67ede73,nyc_centre,way/266170539,MediumOffice,
67ede73,nyc_centre,way/266170544,MediumOffice,
67ede73,nyc_centre,way/266170570,MediumOffice,
67ede73,nyc_centre,way/266170752,MediumOffice,
67ede73,nyc_centre,way/266170756,LargeOffice,
67ede73,nyc_centre,way/266170757,MediumOffice,
67ede73,nyc_centre,way/266170763,LargeOffice,
67ede73,nyc_centre,way/266170764,MediumOffice,
67ede73,nyc_centre,way/266170765,LargeOffice,
67ede73,nyc_centre,way/266170800,LargeOffice,
67ede73,nyc_centre,way/283346493,LargeOffice,
67ede73,nyc_centre,way/288448678,LargeOffice,
67ede73,nyc_centre,way/292840083,MediumOffice,
67ede73,nyc_centre,way/292840084,MediumOffice,
67ede73,nyc_centre,way/293183674,MediumOffice,
67ede73,nyc_rural,way/965718400,SmallOffice,
67ede73,nyc_rural,way/965718401,SmallOffice,
67ede73,nyc_rural,way/965718402,SmallOffice,
67ede73,nyc_rural,way/965718403,SmallOffice,
0df422e,austin_centre,way/231123149,LargeHotel,
0df422e,austin_centre,way/328723692,LargeHotel,
0df422e,la_centre,relation/6366079,LargeHotel,
0df422e,la_centre,way/427817498,LargeHotel,
0df422e,la_centre,way/427942886,SmallHotel,
0df422e,la_centre,way/428015098,LargeHotel,
0df422e,la_urban,relation/6374725,SmallHotel,
0df422e,la_urban,way/401904732,LargeHotel,
0df422e,la_urban,way/401910463,SmallHotel,
