cell,column,osm_id,stage2_value,committed_value
nyc_centre,archetype_id,way/260180778,LargeHotel,LargeOffice
nyc_centre,archetype_id,way/265301854,LargeHotel,MediumOffice
nyc_centre,archetype_id,way/265301856,LargeHotel,MediumOffice
nyc_centre,archetype_id,way/265301877,LargeHotel,MediumOffice
nyc_centre,archetype_id,way/265301889,LargeHotel,MediumOffice
nyc_centre,data_quality_flag,way/138022483,no_floors,no_floors|narrow_perimeter_fallback
nyc_centre,data_quality_flag,way/265301696,"generic_tag,no_floors,no_function","generic_tag,no_floors,no_function|narrow_perimeter_fallback"
nyc_centre,data_quality_flag,way/265301769,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED","generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
nyc_centre,data_quality_flag,way/265301854,"no_height,no_year|HOTDECK_NEIGHBOR_MED","no_height,no_year|GROUPMODE_MED"
nyc_centre,data_quality_flag,way/265301856,"no_floors,no_height,no_year|HOTDECK_NEIGHBOR_HIGH","no_floors,no_height,no_year|GROUPMODE_MED"
nyc_rural,archetype_id,way/965718400,SmallHotel,SmallOffice
nyc_rural,archetype_id,way/965718401,SmallHotel,SmallOffice
nyc_rural,archetype_id,way/965718402,SmallHotel,SmallOffice
nyc_rural,archetype_id,way/965718403,SmallHotel,SmallOffice
nyc_rural,data_quality_flag,way/965718400,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","no_floors,no_height,no_year|GROUPMODE_MED"
nyc_rural,data_quality_flag,way/965718401,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","no_floors,no_height,no_year|GROUPMODE_MED"
nyc_rural,data_quality_flag,way/965718402,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","no_floors,no_height,no_year|GROUPMODE_MED"
nyc_rural,data_quality_flag,way/965718403,"no_floors,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","no_floors,no_height,no_year|GROUPMODE_MED"
