cell,osm_id,gpkg_05_results_archetype_id,classifier_archetype_id_HEAD,in_open07_three,t20_status,t20_n_severe
austin_centre,way/231123149,LargeOffice,LargeHotel,False,success,0
austin_centre,way/328723692,LargeOffice,LargeHotel,False,success,0
la_centre,relation/6366079,MediumOffice,LargeHotel,False,success,2
la_centre,way/427817498,LargeOffice,LargeHotel,False,success,2
la_centre,way/427942886,MediumOffice,SmallHotel,False,failed,1
la_centre,way/428015098,MediumOffice,LargeHotel,False,success,2
la_urban,relation/6374725,SmallOffice,SmallHotel,False,failed,1
la_urban,way/401904732,LargeOffice,LargeHotel,False,success,0
la_urban,way/401910463,SmallOffice,SmallHotel,True,failed,1
la_urban,way/427274663,MediumOffice,LargeHotel,False,success,2
la_urban,way/428846131,SmallOffice,SmallHotel,False,failed,1
nyc_centre,relation/3576201,MediumOffice,LargeHotel,False,success,2
nyc_centre,way/260180778,LargeOffice,LargeHotel,False,success,2
nyc_centre,way/265301854,MediumOffice,LargeHotel,False,success,1
nyc_centre,way/265301856,MediumOffice,LargeHotel,False,success,1
nyc_centre,way/265301877,MediumOffice,LargeHotel,False,success,1
nyc_centre,way/265301889,MediumOffice,LargeHotel,False,success,1
nyc_centre,way/265302168,LargeOffice,LargeHotel,False,success,0
nyc_centre,way/266034056,LargeOffice,LargeHotel,False,success,0
nyc_centre,way/266170533,MediumOffice,LargeHotel,False,success,1
nyc_centre,way/266170536,MediumOffice,LargeHotel,False,success,3
nyc_centre,way/266170538,MediumOffice,LargeHotel,False,success,3
nyc_centre,way/266170539,MediumOffice,LargeHotel,False,success,1
nyc_centre,way/266170544,MediumOffice,LargeHotel,False,success,2
nyc_centre,way/266170570,MediumOffice,LargeHotel,False,success,1
nyc_centre,way/266170752,MediumOffice,LargeHotel,False,success,2
nyc_centre,way/266170756,LargeOffice,LargeHotel,False,success,2
nyc_centre,way/266170757,MediumOffice,LargeHotel,False,success,1
nyc_centre,way/266170763,LargeOffice,LargeHotel,False,success,2
nyc_centre,way/266170764,MediumOffice,LargeHotel,False,success,2
nyc_centre,way/266170765,LargeOffice,LargeHotel,False,success,2
nyc_centre,way/266170800,LargeOffice,LargeHotel,False,success,2
nyc_centre,way/283346493,LargeOffice,LargeHotel,False,success,2
nyc_centre,way/288448678,LargeOffice,LargeHotel,False,success,2
nyc_centre,way/292840083,MediumOffice,LargeHotel,False,success,1
nyc_centre,way/292840084,MediumOffice,LargeHotel,False,success,1
nyc_centre,way/293183674,MediumOffice,LargeHotel,False,success,3
nyc_rural,way/965718400,SmallOffice,SmallHotel,False,failed,1
nyc_rural,way/965718401,SmallOffice,SmallHotel,False,success,0
nyc_rural,way/965718402,SmallOffice,SmallHotel,True,failed,1
nyc_rural,way/965718403,SmallOffice,SmallHotel,True,failed,1
