cell,column,osm_id,stage2_value,committed_value
nyc_urban,data_quality_flag,way/241836468,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/241854645,"generic_tag,no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/241854656,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/241854658,"generic_tag,no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/241854660,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/241862846,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/280618555,"no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/280618560,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/281346379,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/281346700,"generic_tag,no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/281346734,"generic_tag,no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/281346735,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/281346738,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/281346741,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
nyc_urban,data_quality_flag,way/570854307,"generic_tag,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT","generic_tag,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT|narrow_perimeter_fallback"
la_centre,archetype_id,way/427817498,LargeHotel,LargeOffice
la_centre,archetype_id,way/427942886,SmallHotel,MediumOffice
la_centre,archetype_id,way/428015098,LargeHotel,MediumOffice
la_centre,archetype_id,relation/6366079,LargeHotel,MediumOffice
la_centre,data_quality_flag,way/425993506,"generic_tag,no_year|GROUPMODE_MED","generic_tag,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/425993516,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED","generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/425993537,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED","generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/425993543,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/425993582,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED","generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/425993594,,narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817502,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED","generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/427817519,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817530,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817540,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817541,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817543,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817544,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817548,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817549,"generic_tag,no_floors","generic_tag,no_floors|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/427817550,"no_floors,no_year|HOTDECK_NEIGHBOR_MED","no_floors,no_year|HOTDECK_NEIGHBOR_MED|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/427817555,"generic_tag,no_year|HOTDECK_NEIGHBOR_MED","generic_tag,no_year|HOTDECK_NEIGHBOR_MED|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/427817556,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817560,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817619,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817657,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED","generic_tag,no_floors,no_function,no_year|GROUPMODE_MED|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/427817661,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817687,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427817699,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/427942768,,narrow_perimeter_fallback
la_centre,data_quality_flag,way/427942784,,narrow_perimeter_fallback
la_centre,data_quality_flag,way/427942810,"generic_tag,no_function","generic_tag,no_function|narrow_perimeter_fallback"
la_centre,data_quality_flag,way/427942821,,narrow_perimeter_fallback
la_centre,data_quality_flag,way/427942825,,narrow_perimeter_fallback
la_centre,data_quality_flag,way/427942826,,narrow_perimeter_fallback
la_centre,data_quality_flag,way/427942890,,narrow_perimeter_fallback
la_centre,data_quality_flag,way/427942899,,narrow_perimeter_fallback
la_centre,data_quality_flag,way/427942934,,narrow_perimeter_fallback
la_centre,data_quality_flag,way/427942940,,narrow_perimeter_fallback
la_centre,data_quality_flag,way/428015103,no_floors,no_floors|narrow_perimeter_fallback
la_centre,data_quality_flag,way/428015108,no_floors,no_floors|narrow_perimeter_fallback
