osm_id,year_built,data_quality_flag,run2_archetype,head_vintage,head_vintage_tier,e02_vintage,e02_archetype,cell
way/42496314,1969.0,no_height,SuperTallBuilding,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,SuperTallBuilding,nyc_centre
way/42496352,1970.0,"no_floors,no_height",LargeOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,LargeOffice,nyc_centre
way/42500728,1937.0,"no_floors,no_height",LargeOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,LargeOffice,nyc_centre
way/86121620,1999.0,"generic_tag,no_floors,no_function,no_height",LargeOffice,DOERef1980to2004,OBSERVED_YEAR,DOERef1980to2004,LargeOffice,nyc_centre
way/86121621,2009.0,no_floors,SuperTallBuilding,90.1-2007,OBSERVED_YEAR,90.1-2007,SuperTallBuilding,nyc_centre
way/86216914,1974.0,,SuperTallBuilding,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,SuperTallBuilding,nyc_centre
way/91200880,1932.0,"no_floors,no_height",LargeOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,LargeOffice,nyc_centre
way/91200920,,"no_floors,no_height,no_year",LargeOffice,DOERefPre1980,HOTDECK_NEIGHBOR_MED,DOERefPre1980,LargeOffice,nyc_centre
way/109284804,1971.0,"no_floors,no_height",LargeOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,LargeOffice,nyc_centre
way/109284807,1935.0,no_height,TallBuilding,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,TallBuilding,nyc_centre
way/109285745,2004.0,,SuperTallBuilding,90.1-2007,OBSERVED_YEAR,90.1-2007,SuperTallBuilding,nyc_centre
way/114071252,1982.0,"generic_tag,no_floors,no_function",TallBuilding,DOERef1980to2004,OBSERVED_YEAR,DOERef1980to2004,TallBuilding,nyc_centre
way/137716320,1990.0,"generic_tag,no_floors,no_function,no_height",LargeOffice,DOERef1980to2004,OBSERVED_YEAR,DOERef1980to2004,LargeOffice,nyc_centre
way/138022483,1930.0,no_floors,LargeOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,LargeOffice,nyc_centre
way/143858914,1931.0,"generic_tag,no_floors,no_function,no_height",LargeOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,LargeOffice,nyc_centre
way/148457887,2003.0,,TallBuilding,DOERef1980to2004,OBSERVED_YEAR,DOERef1980to2004,TallBuilding,nyc_centre
way/157835453,1972.0,"generic_tag,no_floors,no_function,no_height",LargeOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,LargeOffice,nyc_centre
way/159837290,1969.0,no_height,TallBuilding,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,TallBuilding,nyc_centre
way/160915057,2006.0,"generic_tag,no_floors,no_function,no_height",MediumOffice,90.1-2007,OBSERVED_YEAR,90.1-2007,MediumOffice,nyc_centre
way/161173093,1917.0,no_floors,MediumOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,MediumOffice,nyc_centre
way/161849936,1982.0,no_floors,SuperTallBuilding,DOERef1980to2004,OBSERVED_YEAR,DOERef1980to2004,SuperTallBuilding,nyc_centre
way/162004802,,"no_floors,no_height,no_year",LargeOffice,DOERefPre1980,HOTDECK_NEIGHBOR_HIGH,DOERefPre1980,LargeOffice,nyc_centre
way/162695595,1993.0,no_floors,TallBuilding,DOERef1980to2004,OBSERVED_YEAR,DOERef1980to2004,TallBuilding,nyc_centre
way/162977896,,no_year,MediumOffice,DOERefPre1980,HOTDECK_NEIGHBOR_HIGH,DOERefPre1980,MediumOffice,nyc_centre
way/163465869,1973.0,no_height,SuperTallBuilding,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,SuperTallBuilding,nyc_centre
way/163474780,1985.0,"generic_tag,no_floors,no_function,no_height",LargeOffice,DOERef1980to2004,OBSERVED_YEAR,DOERef1980to2004,LargeOffice,nyc_centre
way/163629929,1972.0,no_floors,LargeOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,LargeOffice,nyc_centre
way/163631696,1984.0,"no_floors,no_height",LargeOffice,DOERef1980to2004,OBSERVED_YEAR,DOERef1980to2004,LargeOffice,nyc_centre
way/165439147,,"generic_tag,no_function,no_year",TallBuilding,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,TallBuilding,nyc_centre
way/165439153,2007.0,no_floors,MidriseApartment,90.1-2007,OBSERVED_YEAR,90.1-2007,MidriseApartment,nyc_centre
way/218327129,,"generic_tag,no_floors,no_function,no_year",LargeOffice,DOERefPre1980,HOTDECK_NEIGHBOR_HIGH,DOERefPre1980,LargeOffice,nyc_centre
way/218333949,2013.0,no_floors,SuperTallBuilding,90.1-2013,OBSERVED_YEAR,90.1-2013,SuperTallBuilding,nyc_centre
way/258619240,,"generic_tag,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/258646143,,"generic_tag,no_floors,no_year",Courthouse,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,Courthouse,nyc_centre
way/258646144,,"generic_tag,no_function,no_year",SmallOffice,DOERefPre1980,GROUPMODE_MED,DOERefPre1980,SmallOffice,nyc_centre
way/260085134,1962.0,"no_floors,no_height",LargeOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,LargeOffice,nyc_centre
way/260085136,1969.0,"no_floors,no_height",LargeOffice,DOERefPre1980,OBSERVED_YEAR,DOERefPre1980,LargeOffice,nyc_centre
way/260085159,2006.0,"no_floors,no_height",LargeOffice,90.1-2007,OBSERVED_YEAR,90.1-2007,LargeOffice,nyc_centre
