severity,family,occurrences,buildings
Warning,"ProcessScheduleInput: Schedule:Constant=""X"", Blank Schedule Type L",8160,8160
Warning,"ProcessScheduleInput: Schedule:Constant=""X"", Blank Schedule Type Limit",8160,8160
Warning,"ProcessScheduleInput: Schedule:Constant=""X"", Blank Schedule Type Limits Name",8160,8160
Warning,"GetVertices: Floor is upside down! Tilt angle=[N], should be near N Surface=""BLO",44455,8160
Warning,"GetHTSurfaceData: Surfaces with interface to Ground found but no ""X"" wer",8160,8160
Warning,"GetVertices: Roof/Ceiling is upside down! Tilt angle=[N], should be near N Surfa",44433,8160
Warning,"ProcessScheduleInput: Schedule:Constant=""X"", Blank Schedule Type Lim",8160,8160
Warning,"Output:Meter: invalid Key Name=""X"" - not found.",52932,8160
Warning,CheckUsedConstructions: There are N nominally unused constructions in input.,8160,8160
Warning,The following Report Variables were requested but not generated -- check.rdd fil,8154,8154
Warning,"ProcessScheduleInput: Schedule:Compact=""X"", Schedule Type",15222,7917
Warning,Indicated Zone Volume <= N for Zone=WAY/N_FN_WHOLE,21807,7673
Warning,"ManageSizing: For a plant sizing run, there must be at least N Sizing:Plant obje",7624,7624
Warning,"ProcessScheduleInput: Schedule:Compact=""X"", Schedule Type Limi",5012,4357
Warning,"ProcessScheduleInput: Schedule:Compact=""X"", Schedule Type Lim",8272,4249
Warning,"ProcessScheduleInput: Schedule:Compact=""X"", Schedule Type Limit",7709,3912
Warning,"ProcessScheduleInput: Schedule:Constant=""X"", Blank Schedul",3770,3770
Warning,"ProcessScheduleInput: Schedule:Compact=""X"", Schedule",3213,3097
Warning,"ProcessScheduleInput: Schedule:Compact=""X"", Schedule Typ",8792,3016
Warning,"ProcessScheduleInput: Schedule:Constant=""X"", Blank Sc",2958,2958
Warning,Temperature out of range [N to N] (PsyPsatFnTemp),5442,2721
Warning,DeterminePolygonOverlap: Too many figures [>N] detected in an overlap calculatio,2523,2523
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed=""X""",4569,2295
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed ""X""",4569,2295
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed=""X"" -",3767,2002
Warning,"CalcDoeNDXCoil: Coil:Cooling:DX:SingleSpeed ""X"" -",3767,2002
Warning,"ProcessScheduleInput: Schedule:Compact=""X"", Schedule Type L",1441,778
Warning,"ProcessScheduleInput: Schedule:Compact=""X"", Schedule T",661,661
Warning,"ProcessScheduleInput: Schedule:Constant=""X"", Blank Sch",661,661
Warning,"ProcessScheduleInput: Schedule:Compact=""X"", Schedule Type Li",1397,523
Warning,"ProcessScheduleInput: Schedule:Constant=""X"", Blank Schedu",494,494
