cell,n_buildings,n_missing_height_m_source,n_osm_observed,n_osm_missing_provenance,n_other_provenance,manifest_carries_resolved_height,n_filled_by_manifest_mechanism,residual_share_pct,at_100pct
austin_centre,413,349,64,349,0,False,0,84.5036,False
austin_rural,245,245,0,245,0,False,0,100.0,True
austin_suburban,437,114,323,114,0,False,0,26.087,False
austin_urban,425,47,378,47,0,False,0,11.0588,False
la_centre,226,45,181,45,0,False,0,19.9115,False
la_rural,149,1,148,1,0,False,0,0.6711,False
la_suburban,1343,15,1328,15,0,False,0,1.1169,False
la_urban,618,42,576,42,0,False,0,6.7961,False
nyc_centre,738,121,617,121,0,False,0,16.3957,False
nyc_rural,198,198,0,198,0,False,0,100.0,True
nyc_suburban,1589,1589,0,1589,0,False,0,100.0,True
nyc_urban,1779,40,1739,40,0,False,0,2.2485,False
