cell,n,n_absent,pct_absent,n_observed,n_backfilled,n_flag_no_height,n_disagree_absent_vs_flag
austin_centre,413,349,84.5036,64,0,349,0
austin_rural,245,245,100.0,0,0,245,0
austin_suburban,437,114,26.087,323,0,114,0
austin_urban,425,47,11.0588,378,0,47,0
la_centre,226,45,19.9115,181,0,45,0
la_rural,149,1,0.6711,148,0,1,0
la_suburban,1343,15,1.1169,1328,0,15,0
la_urban,618,42,6.7961,576,0,42,0
nyc_centre,738,121,16.3957,617,0,121,0
nyc_rural,198,198,100.0,0,0,198,0
nyc_suburban,1589,1589,100.0,0,0,1589,0
nyc_urban,1779,40,2.2485,1739,0,40,0
FLEET_TOTAL,8160,2806,34.3873,5354,0,2806,0
