cell,class,n_null_height,d_area_logratio,d_levels_avail,d_generic_tag,archetype_top3_jaccard,d_archetype,composite_dist
la_urban,urban,42,0.18136748302736816,0.1938213301849666,0.025974025974025993,0.5,0.5,0.2252907097965902
la_centre,centre,45,0.985090545531329,0.1954086317722682,0.054545454545454536,0.5,0.5,0.43376115796226294
austin_centre,centre,349,1.1272744870245006,0.1765611309763433,0.1852044803334202,0.5,0.5,0.49726002458356605
austin_urban,urban,47,1.5785315063043406,0.030596096360119507,0.26305609284332687,0.5,0.5,0.5930459238769468
austin_rural,rural,245,1.3312383777484573,0.11162084668578165,0.20964749536178104,0.0,1.0,0.663126679949005
nyc_urban,urban,40,1.8644017075485113,0.03429752066115709,0.10454545454545454,0.2,0.8,0.7008111706887807
nyc_rural,rural,198,2.1619506634048955,0.11570247933884292,0.2474747474747474,0.0,1.0,0.8812819725546215
la_suburban,suburban,15,2.258859124726876,0.11570247933884292,0.2545454545454545,0.0,1.0,0.9072767646527934
austin_suburban,suburban,114,2.7069479068906324,0.23517471364361317,0.0015948963317384823,0.2,0.8,0.935929379216496
nyc_suburban,suburban,1589,2.6279434948516363,0.11570247933884292,0.3440700268894102,0.2,0.8,0.9719290002699723
la_rural,rural,1,2.222858309464163,0.8842975206611571,0.45454545454545453,0.0,1.0,1.1404253211676938
