cell,target,n_total,n_null,n_null_simulated,pct_null,n_needs_value_provenance,n_needs_value_provenance_simulated,provenance_breakdown_of_null_rows,provenance_breakdown_all_rows
austin_centre,levels,413,295,295,71.4286,295,295,OSM_MISSING=295,OSM_MISSING=295;OSM_OBSERVED=118
austin_centre,height_m,413,349,349,84.5036,349,349,OSM_MISSING=349,OSM_MISSING=349;OSM_OBSERVED=64
austin_centre,year_built,413,405,405,98.063,405,405,OSM_MISSING=405,OSM_MISSING=405;OSM_OBSERVED=8
austin_centre,function_tag,413,0,0,0.0,326,326,,OSM_MISSING=326;OSM_OBSERVED=87
austin_centre,postcode,413,191,191,46.247,191,191,OSM_MISSING=191,OSM_OBSERVED=222;OSM_MISSING=191
austin_centre,building_tag,413,0,0,0.0,305,305,,OSM_GENERIC=305;OSM_OBSERVED=108
austin_centre,geometry,413,0,0,0.0,0,0,,OSM_OBSERVED=413
austin_rural,levels,245,244,244,99.5918,244,244,OSM_MISSING=244,OSM_MISSING=244;OSM_OBSERVED=1
austin_rural,height_m,245,245,245,100.0,245,245,OSM_MISSING=245,OSM_MISSING=245
austin_rural,year_built,245,245,245,100.0,245,245,OSM_MISSING=245,OSM_MISSING=245
austin_rural,function_tag,245,0,0,0.0,186,186,,OSM_MISSING=186;OSM_OBSERVED=59
austin_rural,postcode,245,174,174,71.0204,174,174,OSM_MISSING=174,OSM_MISSING=174;OSM_OBSERVED=71
austin_rural,building_tag,245,0,0,0.0,185,185,,OSM_GENERIC=185;OSM_OBSERVED=60
austin_rural,geometry,245,0,0,0.0,0,0,,OSM_OBSERVED=245
austin_suburban,levels,437,391,391,89.4737,391,391,OSM_MISSING=391,OSM_MISSING=391;OSM_OBSERVED=46
austin_suburban,height_m,437,114,114,26.087,114,114,OSM_MISSING=114,OSM_OBSERVED=323;OSM_MISSING=114
austin_suburban,year_built,437,436,436,99.7712,436,436,OSM_MISSING=436,OSM_MISSING=436;OSM_OBSERVED=1
austin_suburban,function_tag,437,0,0,0.0,401,401,,OSM_MISSING=401;OSM_OBSERVED=36
austin_suburban,postcode,437,390,390,89.2449,390,390,OSM_MISSING=390,OSM_MISSING=390;OSM_OBSERVED=47
austin_suburban,building_tag,437,0,0,0.0,365,365,,OSM_GENERIC=365;OSM_OBSERVED=72
austin_suburban,geometry,437,0,0,0.0,0,0,,OSM_OBSERVED=437
austin_urban,levels,425,421,421,99.0588,421,421,OSM_MISSING=421,OSM_MISSING=421;OSM_OBSERVED=4
austin_urban,height_m,425,47,47,11.0588,47,47,OSM_MISSING=47,OSM_OBSERVED=378;OSM_MISSING=47
austin_urban,year_built,425,425,425,100.0,425,425,OSM_MISSING=425,OSM_MISSING=425
austin_urban,function_tag,425,0,0,0.0,409,409,,OSM_MISSING=409;OSM_OBSERVED=16
austin_urban,postcode,425,406,406,95.5294,406,406,OSM_MISSING=406,OSM_MISSING=406;OSM_OBSERVED=19
austin_urban,building_tag,425,0,0,0.0,399,399,,OSM_GENERIC=399;OSM_OBSERVED=26
austin_urban,geometry,425,0,0,0.0,0,0,,OSM_OBSERVED=425
la_centre,levels,226,147,147,65.0442,147,147,OSM_MISSING=147,OSM_MISSING=147;OSM_OBSERVED=79
la_centre,height_m,226,45,45,19.9115,45,45,OSM_MISSING=45,OSM_OBSERVED=181;OSM_MISSING=45
la_centre,year_built,226,109,109,48.2301,109,109,OSM_MISSING=109,OSM_OBSERVED=117;OSM_MISSING=109
la_centre,function_tag,226,0,0,0.0,175,175,,OSM_MISSING=175;OSM_OBSERVED=51
la_centre,postcode,226,151,151,66.8142,151,151,OSM_MISSING=151,OSM_MISSING=151;OSM_OBSERVED=75
la_centre,building_tag,226,0,0,0.0,76,76,,OSM_OBSERVED=150;OSM_GENERIC=76
la_centre,geometry,226,0,0,0.0,0,0,,OSM_OBSERVED=226
la_rural,levels,149,146,141,97.9866,146,141,OSM_MISSING=146,OSM_MISSING=146;OSM_OBSERVED=3
la_rural,height_m,149,1,1,0.6711,1,1,OSM_MISSING=1,OSM_OBSERVED=148;OSM_MISSING=1
la_rural,year_built,149,24,23,16.1074,24,23,OSM_MISSING=24,OSM_OBSERVED=125;OSM_MISSING=24
la_rural,function_tag,149,0,0,0.0,143,138,,OSM_MISSING=143;OSM_OBSERVED=6
la_rural,postcode,149,149,144,100.0,149,144,OSM_MISSING=149,OSM_MISSING=149
la_rural,building_tag,149,0,0,0.0,113,113,,OSM_GENERIC=113;OSM_OBSERVED=36
la_rural,geometry,149,0,0,0.0,0,0,,OSM_OBSERVED=149
la_suburban,levels,1343,1337,1337,99.5532,1337,1337,OSM_MISSING=1337,OSM_MISSING=1337;OSM_OBSERVED=6
la_suburban,height_m,1343,15,15,1.1169,15,15,OSM_MISSING=15,OSM_OBSERVED=1328;OSM_MISSING=15
la_suburban,year_built,1343,48,48,3.5741,48,48,OSM_MISSING=48,OSM_OBSERVED=1295;OSM_MISSING=48
la_suburban,function_tag,1343,0,0,0.0,1337,1337,,OSM_MISSING=1337;OSM_OBSERVED=6
la_suburban,postcode,1343,784,784,58.3768,784,784,OSM_MISSING=784,OSM_MISSING=784;OSM_OBSERVED=559
la_suburban,building_tag,1343,0,0,0.0,40,40,,OSM_OBSERVED=1303;OSM_GENERIC=40
la_suburban,geometry,1343,0,0,0.0,0,0,,OSM_OBSERVED=1343
la_urban,levels,618,587,587,94.9838,587,587,OSM_MISSING=587,OSM_MISSING=587;OSM_OBSERVED=31
la_urban,height_m,618,42,42,6.7961,42,42,OSM_MISSING=42,OSM_OBSERVED=576;OSM_MISSING=42
la_urban,year_built,618,76,76,12.2977,76,76,OSM_MISSING=76,OSM_OBSERVED=542;OSM_MISSING=76
