cell,archetype_id,climate_zone,is_cold_zone_cell,n_success,footprint_p35_threshold_m2,n_small_footprint,n_small_and_cold,levels_min,levels_median,levels_max
austin_centre,Courthouse,2A,False,18,269.44,0,0,1.0,3.0,13.0
austin_centre,FullServiceRestaurant,2A,False,9,269.44,2,0,1.0,1.0,1.0
austin_centre,HighriseApartment,2A,False,8,269.44,0,0,12.0,45.0,56.0
austin_centre,LargeHotel,2A,False,2,269.44,0,0,5.0,5.0,5.0
austin_centre,LargeOffice,2A,False,46,269.44,0,0,1.0,6.0,19.0
austin_centre,MediumOffice,2A,False,69,269.44,0,0,1.0,1.0,8.0
austin_centre,OpenUBEMUnknown,2A,False,37,269.44,27,0,1.0,1.0,13.0
austin_centre,QuickServiceRestaurant,2A,False,22,269.44,11,0,1.0,1.0,3.0
austin_centre,RetailStandalone,2A,False,13,269.44,5,0,1.0,1.0,4.0
austin_centre,SecondarySchool,2A,False,2,269.44,1,0,1.0,1.0,1.0
austin_centre,SmallOffice,2A,False,167,269.44,99,0,1.0,1.0,7.0
austin_centre,SuperTallBuilding,2A,False,4,269.44,0,0,42.0,53.0,63.0
austin_centre,TallBuilding,2A,False,16,269.44,0,0,20.0,24.5,36.0
austin_rural,Courthouse,3A,False,3,270.27,0,0,1.0,1.0,1.0
austin_rural,FullServiceRestaurant,3A,False,3,270.27,0,0,1.0,1.0,1.0
austin_rural,LargeOffice,3A,False,1,270.27,0,0,1.0,1.0,1.0
austin_rural,MediumOffice,3A,False,5,270.27,0,0,1.0,1.0,1.0
austin_rural,MidriseApartment,3A,False,18,270.27,1,0,1.0,1.0,1.0
austin_rural,OpenUBEMUnknown,3A,False,7,270.27,5,0,1.0,1.0,1.0
austin_rural,Outpatient,3A,False,2,270.27,0,0,1.0,1.0,1.0
austin_rural,QuickServiceRestaurant,3A,False,7,270.27,2,0,1.0,1.0,1.0
austin_rural,RetailStandalone,3A,False,21,270.27,6,0,1.0,1.0,1.0
austin_rural,SmallOffice,3A,False,177,270.27,72,0,1.0,1.0,1.0
austin_rural,SuperMarket,3A,False,1,270.27,0,0,1.0,1.0,1.0
austin_suburban,Courthouse,2A,False,7,121.22,0,0,1.0,3.0,4.0
austin_suburban,FullServiceRestaurant,2A,False,7,121.22,1,0,1.0,1.0,1.0
austin_suburban,MediumOffice,2A,False,4,121.22,0,0,1.0,1.5,3.0
austin_suburban,MidriseApartment,2A,False,2,121.22,0,0,1.0,1.0,1.0
austin_suburban,OpenUBEMUnknown,2A,False,24,121.22,13,0,1.0,1.5,4.0
austin_suburban,QuickServiceRestaurant,2A,False,7,121.22,0,0,1.0,1.0,2.0
austin_suburban,RetailStandalone,2A,False,7,121.22,1,0,1.0,1.0,1.0
austin_suburban,SecondarySchool,2A,False,2,121.22,0,0,3.0,4.0,5.0
austin_suburban,SmallOffice,2A,False,377,121.22,138,0,1.0,2.0,4.0
austin_urban,Hospital,2A,False,3,140.83,0,0,1.0,5.0,7.0
austin_urban,LargeOffice,2A,False,13,140.83,0,0,1.0,5.0,8.0
austin_urban,MediumOffice,2A,False,27,140.83,0,0,1.0,3.0,6.0
austin_urban,MidriseApartment,2A,False,11,140.83,0,0,4.0,5.0,5.0
austin_urban,OpenUBEMUnknown,2A,False,5,140.83,0,0,1.0,1.0,2.0
austin_urban,Outpatient,2A,False,2,140.83,0,0,2.0,2.5,3.0
austin_urban,QuickServiceRestaurant,2A,False,3,140.83,0,0,2.0,2.0,3.0
austin_urban,RetailStandalone,2A,False,3,140.83,0,0,1.0,1.0,2.0
austin_urban,SmallOffice,2A,False,356,140.83,149,0,1.0,2.0,5.0
austin_urban,SuperMarket,2A,False,2,140.83,0,0,1.0,2.0,3.0
la_centre,Courthouse,3B,False,14,547.65,0,0,1.0,10.5,18.0
la_centre,FullServiceRestaurant,3B,False,2,547.65,2,0,1.0,1.0,1.0
la_centre,HighriseApartment,3B,False,12,547.65,0,0,10.0,16.5,35.0
la_centre,LargeHotel,3B,False,3,547.65,1,0,6.0,8.0,12.0
la_centre,LargeOffice,3B,False,36,547.65,0,0,1.0,7.0,17.0
la_centre,MediumOffice,3B,False,23,547.65,2,0,1.0,5.0,13.0
la_centre,MidriseApartment,3B,False,14,547.65,2,0,2.0,6.0,8.0
la_centre,OpenUBEMUnknown,3B,False,15,547.65,10,0,1.0,1.0,9.0
la_centre,Outpatient,3B,False,1,547.65,0,0,9.0,9.0,9.0
