osm_id,join_status,t08_cell,t08_city,t08_archetype_id,t08_floor_area_m2,t08_status,t20_cell,t20_city,t20_archetype_id,t20_floor_area_m2,t20_status,archetype_agree,floor_area_agree_1pct,vintage_t08,vintage_t20,vintage_agree
relation/11171765,in_both,nyc_centre,NYC,OpenUBEMUnknown,131151.4063955685,success,nyc_centre,NYC,OpenUBEMUnknown,131151.4063955685,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/11171793,in_both,nyc_centre,NYC,OpenUBEMUnknown,157115.4774051145,success,nyc_centre,NYC,OpenUBEMUnknown,157115.4774051145,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/12292681,in_both,la_centre,LA,MediumOffice,5197.194286157909,success,la_centre,LA,MediumOffice,5197.194286157909,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/13781131,t20_only,,,,,,austin_centre,AUS,LargeOffice,16318.950871229252,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/17949119,in_both,nyc_urban,NYC,OpenUBEMUnknown,7030.382869576894,success,nyc_urban,NYC,OpenUBEMUnknown,7030.382869576894,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/17953040_part0,in_both,nyc_urban,NYC,MediumOffice,1048.1743007390885,success,nyc_urban,NYC,MediumOffice,1048.1743007390885,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/17953040_part1,in_both,nyc_urban,NYC,MediumOffice,753.8313199423027,success,nyc_urban,NYC,MediumOffice,753.8313199423027,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/1860567,in_both,nyc_centre,NYC,LargeOffice,6979.411436788407,success,nyc_centre,NYC,LargeOffice,6979.411436788407,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/19829553,t20_only,,,,,,austin_rural,AUS,MediumOffice,3877.4087155803136,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/2765901,in_both,la_centre,LA,MediumOffice,3421.453142930246,success,la_centre,LA,MediumOffice,3421.453142930246,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/3262925,in_both,nyc_urban,NYC,MediumOffice,3045.204650863493,success,nyc_urban,NYC,MediumOffice,3045.204650863493,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/3263307,in_both,nyc_urban,NYC,MediumOffice,3919.043801065187,success,nyc_urban,NYC,MediumOffice,3919.043801065187,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/3263308,in_both,nyc_urban,NYC,MediumOffice,3056.452017729664,success,nyc_urban,NYC,MediumOffice,3056.452017729664,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/3263309,in_both,nyc_urban,NYC,MediumOffice,2878.3041261522267,success,nyc_urban,NYC,SmallOffice,2878.3041261522267,success,0.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/3263310,in_both,nyc_urban,NYC,MediumOffice,3035.2313014882543,success,nyc_urban,NYC,MediumOffice,3035.2313014882543,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/3565283,in_both,nyc_centre,NYC,MediumOffice,1918.52983826618,success,nyc_centre,NYC,SmallOffice,1918.52983826618,success,0.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/3566904,in_both,nyc_centre,NYC,LargeOffice,37551.19361596428,success,nyc_centre,NYC,LargeOffice,37551.19361596428,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/3576199,in_both,nyc_centre,NYC,LargeOffice,16852.72934310807,success,nyc_centre,NYC,LargeOffice,16852.72934310807,success,1.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/3576201,in_both,nyc_centre,NYC,LargeOffice,6820.336481990105,success,nyc_centre,NYC,MediumOffice,6820.336481990105,success,0.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/3729711,in_both,nyc_urban,NYC,LargeOffice,5913.268932274009,success,nyc_urban,NYC,MediumOffice,5913.268932274009,success,0.0,1.0,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/5682346,t20_only,,,,,,austin_urban,AUS,SmallOffice,2334.118508970545,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/5682347,t20_only,,,,,,austin_urban,AUS,SmallOffice,2622.6305921902185,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
relation/5682350,t20_only,,,,,,austin_urban,AUS,MediumOffice,4872.683834707756,success,,,NOT_AVAILABLE_no_vintage_column_in_T08_provenance_chain,NOT_AVAILABLE_no_vintage_column_in_T20_provenance_chain,UNMEASURABLE
