osm_id,cell,use_class,archetype_id,archetype_source,levels_source,old_num_floors,new_num_floors_scope_a,new_num_floors_scope_b,changed_scope_a,changed_scope_b
way/37417988,austin_centre,commercial,LargeOffice,RULE_USE_CLASS_SIZE,OSM_OBSERVED,11,11,11,False,False
way/37417989,austin_centre,unknown,LargeOffice,FALLBACK_SIZE_DEFAULT,GROUPMEDIAN_LEVELS_MED,1,5,1,True,False
way/37546502,austin_centre,commercial,TallBuilding,RULE_HIGHRISE,OSM_OBSERVED,33,33,33,False,False
way/42806788,austin_centre,institutional,Courthouse,RULE_FUNCTION_TAG,GROUPMEDIAN_LEVELS_MED,1,4,1,True,False
way/42806812,austin_centre,institutional,Courthouse,RULE_FUNCTION_TAG,OSM_OBSERVED,6,6,6,False,False
way/52143469,austin_centre,unknown,LargeOffice,FALLBACK_SIZE_DEFAULT,OSM_OBSERVED,2,2,2,False,False
way/55932516,austin_centre,residential,HighriseApartment,RULE_RESIDENTIAL_TIER,OSM_OBSERVED,45,45,45,False,False
way/55932517,austin_centre,commercial,FullServiceRestaurant,RULE_FUNCTION_TAG,GROUPMEDIAN_LEVELS_MED,1,5,1,True,False
way/55932518,austin_centre,unknown,LargeOffice,FALLBACK_SIZE_DEFAULT,GROUPMEDIAN_LEVELS_MED,1,5,1,True,False
way/55932520,austin_centre,commercial,LargeOffice,RULE_USE_CLASS_SIZE,OSM_OBSERVED,6,6,6,False,False
way/55932522,austin_centre,commercial,SmallOffice,RULE_USE_CLASS_SIZE,OSM_OBSERVED,1,1,1,False,False
way/55932526,austin_centre,institutional,Courthouse,RULE_FUNCTION_TAG,OSM_OBSERVED,7,7,7,False,False
way/55932527,austin_centre,unknown,SmallOffice,FALLBACK_SIZE_DEFAULT,OSM_OBSERVED,1,1,1,False,False
way/55932528,austin_centre,unknown,MediumOffice,FALLBACK_SIZE_DEFAULT,GROUPMEDIAN_LEVELS_MED,1,5,1,True,False
