cell,osm_id,archetype_id,use_class,base_storeys_geometry_fallback,treated_storeys_archetype_fallback,recovered_lev_src,archetype_consumed_group_median_today,genuine_disagreement,eligible_for_intervention,tier,footprint_area_m2,on_record_total_eui_kwh_m2
austin_centre,way/37417989,LargeOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,1,4162.112317940945,106.97664220049832
austin_centre,way/42806788,Courthouse,institutional,1,4,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1587.6859960355705,115.7342927776664
austin_centre,way/55932517,FullServiceRestaurant,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,941.8779408592002,960.859215650858
austin_centre,way/55932518,LargeOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,1,2114.34900814663,108.4777659476771
austin_centre,way/55932528,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1365.6387766923929,119.60688219542764
austin_centre,way/55932530,LargeOffice,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,1,2720.211222537374,106.73022227939416
austin_centre,way/55932533,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1405.3651304172902,116.94340820990456
austin_centre,way/99256722,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1534.11356037841,114.5052848065496
austin_centre,way/99256729,OpenUBEMUnknown,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,2916.264509895166,335.8824143056728
austin_centre,way/99259744,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,286.1129402867987,91.23411573326383
austin_centre,way/99259757,LargeOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,1,3308.7685731953648,106.4721855060892
austin_centre,way/99259768,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1212.9897363252965,119.13145763408852
austin_centre,way/99725028,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,229.5832912945793,94.66527797997416
austin_centre,way/99725029,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1374.7607188007028,114.5110861266447
