cell,osm_id,archetype_id,use_class,recovered_levels,recovered_lev_src,genuine_disagreement
austin_centre,way/134807227,HighriseApartment,residential,45,GROUPMEDIAN_LEVELS_MED,True
austin_centre,way/516276237,HighriseApartment,residential,45,GROUPMEDIAN_LEVELS_MED,True
austin_centre,relation/7480583,HighriseApartment,residential,45,GROUPMEDIAN_LEVELS_MED,True
austin_rural,way/565214396,MidriseApartment,mixed,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/762126686,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/762126687,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/762126688,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/762126689,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1005416637,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1005416638,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1450169422,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1450169423,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1450169424,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1450169425,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1450169426,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1450169427,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1450169428,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1450169429,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1450169430,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1450169431,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_rural,way/1509648448,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
austin_suburban,way/240181910,MidriseApartment,residential,1,GROUPMEDIAN_LEVELS_MED,False
la_urban,way/402234762,MidriseApartment,residential,7,GROUPMEDIAN_LEVELS_MED,True
la_urban,way/913603652,MidriseApartment,residential,7,GROUPMEDIAN_LEVELS_MED,True
la_urban,way/1416444072,MidriseApartment,residential,7,GROUPMEDIAN_LEVELS_MED,True
nyc_rural,way/334332012,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/334332014,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/334332016,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/334332018,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/334332019,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/334332021,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/334332023,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/334332024,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/334332025,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/334332026,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/334332027,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/772626984,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/772626985,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/772627025,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/966004656,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/1103897841,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/1103897845,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/1279684267,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/1317229554,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_rural,way/1317287812,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
