cell,mode,stem,severe_class,raw_first_severe_line
la_centre,auto,way_319507579,DetermineShadowingCombinations: There are <NUM> surfaces which are casting surfaces and are non-convex.,** Severe  ** DetermineShadowingCombinations: There are 21 surfaces which are casting surfaces and are non-convex.
la_centre,floor,way_428015178,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (250.09] for zone=""WAY/428015178_F5_WHOLE"", for surface=""BLOCK WAY/428015178_WHOLE STOREY 5 FLOOR 0001_1"""
la_centre,layout_assign,way_427942886,CalcHeatBalanceInsideSurf: The temperature of <NUM> C for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -12901.09 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_4_0_0"""
la_rural,auto,way_472960972,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (236.55] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 WALL 0008_1"""
la_rural,auto,way_472961034,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (202.07] for zone=""WAY/472961034_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 WALL 0004_1"""
la_rural,auto,way_472961047,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (213.10] for zone=""WAY/472961047_F1_PERIM2"", for surface=""BLOCK PERIMETER_ZONE_2 STOREY 1 ROOF 0001"""
la_rural,auto,way_472961088,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (216.23] for zone=""WAY/472961088_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1"""
la_rural,auto,way_472961091,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (220.55] for zone=""WAY/472961091_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1"""
la_rural,auto,way_472961092,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (347.02] for zone=""WAY/472961092_F1_PERIM4"", for surface=""BLOCK PERIMETER_ZONE_4 STOREY 1 WALL 0002"""
la_rural,auto,way_472961171,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (279.36] for zone=""WAY/472961171_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1"""
la_rural,fast_zone,way_472960972,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (259.24] for zone=""WAY/472960972_F2_PERIM10"", for surface=""BLOCK PERIMETER_ZONE_10 STOREY 2 WALL 0002"""
la_rural,fast_zone,way_472961034,Temperature (low) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (low) out of bounds [-254.86] for zone=""WAY/472961034_F2_PERIM5"", for surface=""BLOCK PERIMETER_ZONE_5 STOREY 2 WALL 0003_1"""
la_rural,fast_zone,way_472961047,Temperature (low) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (low) out of bounds [-363.14] for zone=""WAY/472961047_F1_PERIM7"", for surface=""BLOCK PERIMETER_ZONE_7 STOREY 1 WALL 0001_1"""
la_rural,fast_zone,way_472961088,Temperature (low) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (low) out of bounds [-292.18] for zone=""WAY/472961088_F2_PERIM6"", for surface=""BLOCK PERIMETER_ZONE_6 STOREY 2 WALL 0002"""
la_rural,fast_zone,way_472961089,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (333.01] for zone=""WAY/472961089_F1_PERIM7"", for surface=""BLOCK PERIMETER_ZONE_7 STOREY 1 WALL 0003_1"""
la_rural,fast_zone,way_472961090,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (205.79] for zone=""WAY/472961090_F1_PERIM4"", for surface=""BLOCK PERIMETER_ZONE_4 STOREY 1 ROOF 0001"""
la_rural,fast_zone,way_472961091,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (283.43] for zone=""WAY/472961091_F2_PERIM6"", for surface=""BLOCK PERIMETER_ZONE_6 STOREY 2 WALL 0001_1"""
la_rural,fast_zone,way_472961093,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (233.05] for zone=""WAY/472961093_F1_PERIM5"", for surface=""BLOCK PERIMETER_ZONE_5 STOREY 1 ROOF 0001"""
la_rural,fast_zone,way_472961164,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (264.87] for zone=""WAY/472961164_F2_PERIM3"", for surface=""BLOCK PERIMETER_ZONE_3 STOREY 2 WALL 0002"""
la_rural,fast_zone,way_472961171,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (390.93] for zone=""WAY/472961171_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1"""
la_rural,floor,way_472960972,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (283.72] for zone=""WAY/472960972_F2_WHOLE"", for surface=""BLOCK WAY/472960972_WHOLE STOREY 2 ROOF 0001"""
la_rural,floor,way_472961034,Temperature (low) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (low) out of bounds [-168.38] for zone=""WAY/472961034_F2_WHOLE"", for surface=""BLOCK WAY/472961034_WHOLE STOREY 2 ROOF 0001"""
la_rural,floor,way_472961047,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (223.11] for zone=""WAY/472961047_F1_WHOLE"", for surface=""BLOCK WAY/472961047_WHOLE STOREY 1 WALL 0008"""
la_rural,floor,way_472961088,Temperature (high) out of bounds <BOUND> for zone=<ZONE> for surface=<SURFACE>,"** Severe  ** Temperature (high) out of bounds (213.53] for zone=""WAY/472961088_F2_WHOLE"", for surface=""BLOCK WAY/472961088_WHOLE STOREY 2 FLOOR 0001_1"""
