cell,mode,stem,n_severe,first_severe,last_severe_before_fatal,fatal_line,cause_group
la_centre,auto,way_319507579,2,** Severe  ** DetermineShadowingCombinations: There are 21 surfaces which are casting surfaces and are non-convex.,"** Severe  ** Plant temperatures are getting far too hot, check controls and relative loads and capacities","**  Fatal  ** CheckForRunawayPlantTemps: Simulation terminated because of run away plant temperatures, too hot","Plant temperatures are getting far too hot, check controls a"
la_centre,floor,way_428015178,9,"** Severe  ** Temperature (low) out of bounds [-112.55] for zone=""WAY/428015178_F5_WHOLE"", for surface=""BLOCK WAY/428015178_WHOLE STOREY 5 FLOOR 0001_1""","** Severe  ** Temperature (low) out of bounds [-308.71] for zone=""WAY/428015178_F5_WHOLE"", for surface=""BLOCK WAY/428015178_WHOLE STOREY 5 ROOF 0001""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_centre,layout_assign,way_427942886,1,"** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -12901.09 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_4_0_0""","** Severe  ** CalcHeatBalanceInsideSurf: The temperature of -12901.09 C for zone=""LAUNDRYROOMFLR1"", for surface=""P_LAUNDRYROOMFLR1_4_0_0""",**  Fatal  ** Program terminates due to preceding condition.,CalcHeatBalanceInsideSurf
la_rural,auto,way_472960972,21,"** Severe  ** Temperature (low) out of bounds [-110.75] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1""","** Severe  ** Temperature (low) out of bounds [-444.53] for zone=""WAY/472960972_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,auto,way_472961034,7,"** Severe  ** Temperature (low) out of bounds [-122.93] for zone=""WAY/472961034_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1""","** Severe  ** Temperature (low) out of bounds [-364.80] for zone=""WAY/472961034_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,auto,way_472961047,9,** Severe  ** DetermineShadowingCombinations: There are 2 surfaces which are casting surfaces and are non-convex.,"** Severe  ** Temperature (low) out of bounds [-376.82] for zone=""WAY/472961047_F1_PERIM2"", for surface=""BLOCK PERIMETER_ZONE_2 STOREY 1 WALL 0003_1""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,auto,way_472961088,5,"** Severe  ** Temperature (low) out of bounds [-145.07] for zone=""WAY/472961088_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1""","** Severe  ** Temperature (low) out of bounds [-250.61] for zone=""WAY/472961088_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,auto,way_472961091,5,"** Severe  ** Temperature (low) out of bounds [-170.80] for zone=""WAY/472961091_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1""","** Severe  ** Temperature (low) out of bounds [-256.09] for zone=""WAY/472961091_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 ROOF 0001""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,auto,way_472961092,8,** Severe  ** DetermineShadowingCombinations: There are 2 surfaces which are casting surfaces and are non-convex.,"** Severe  ** Temperature (low) out of bounds [-322.39] for zone=""WAY/472961092_F1_PERIM4"", for surface=""BLOCK PERIMETER_ZONE_4 STOREY 1 WALL 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
la_rural,auto,way_472961171,5,"** Severe  ** Temperature (low) out of bounds [-103.55] for zone=""WAY/472961171_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1""","** Severe  ** Temperature (low) out of bounds [-262.52] for zone=""WAY/472961171_F2_CORE"", for surface=""BLOCK CORE_ZONE STOREY 2 FLOOR 0001_1""",**  Fatal  ** Program terminates due to preceding condition.,"Temperature (low) out of bounds [...] for zone=""..."", for su"
