cell,status,n_run2_success,n_run3_success,n_common,n_unknown_run3,n_unknown_in_common,eui_run2_common,eui_run3_common,delta_common,eui_run2_known,eui_run3_known,delta_known,n_changed_buildings
nyc_centre,no run-3 results (cell stopped or died),,,,,,,,,,,,
nyc_urban,no run-3 results (cell stopped or died),,,,,,,,,,,,
nyc_suburban,no run-3 results (cell stopped or died),,,,,,,,,,,,
nyc_rural,compared,198.0,195.0,195.0,5.0,2.0,233.8379,257.1064,23.2685,233.3889,233.3892,0.0004,195.0
la_centre,no run-3 results (cell stopped or died),,,,,,,,,,,,
la_urban,no run-3 results (cell stopped or died),,,,,,,,,,,,
la_suburban,compared,1343.0,1343.0,1343.0,2.0,2.0,108.4396,110.3955,1.956,108.4134,108.4134,0.0001,1343.0
la_rural,compared,144.0,144.0,144.0,0.0,0.0,121.5217,121.4312,-0.0906,121.5217,121.4312,-0.0906,144.0
austin_centre,no run-3 results (cell stopped or died),,,,,,,,,,,,
austin_urban,compared,425.0,420.0,420.0,5.0,0.0,174.5522,174.4908,-0.0614,174.5522,174.4908,-0.0614,419.0
austin_suburban,no run-3 results (cell stopped or died),,,,,,,,,,,,
austin_rural,compared,245.0,241.0,241.0,7.0,3.0,154.7929,167.7316,12.9387,154.3026,154.3025,-0.0001,241.0
