corpus,extension,n_files,size_bytes,size_gb
open48_refleet,.sql,8160,76229947392,76.229947
open48_refleet,.err,8160,90655926,0.090656
open48_refleet,.eio,0,0,0.0
open48_refleet,.end,8160,801448,0.000801
open48_refleet,.gpkg,24,11939840,0.01194
open48_refleet,.csv,14,4242536,0.004243
open48_refleet,.geojson,12,11166965,0.011167
open48_refleet,.parquet,36,785206,0.000785
open48_refleet,.json,24,39940,4e-05
open48_refleet,.idf,16332,3359450073,3.35945
open48_refleet,other,92,41182215,0.041182
open48_refleet,TOTAL,41014,79750211541,79.750212
open48_refleet3,.sql,5215,38448709632,38.44871
open48_refleet3,.err,5215,54132737,0.054133
open48_refleet3,.eio,5215,194314156,0.194314
open48_refleet3,.end,5215,513478,0.000513
open48_refleet3,.gpkg,17,9027584,0.009028
open48_refleet3,.csv,9,1255283,0.001255
open48_refleet3,.geojson,5,3357068,0.003357
open48_refleet3,.parquet,30,609957,0.00061
open48_refleet3,.json,10,17509,1.8e-05
open48_refleet3,.idf,14213,2834550954,2.834551
open48_refleet3,other,70,36299210,0.036299
open48_refleet3,TOTAL,35214,41582787568,41.582788
open48_refleet3_t02a3,.sql,0,0,0.0
open48_refleet3_t02a3,.err,0,0,0.0
open48_refleet3_t02a3,.eio,0,0,0.0
open48_refleet3_t02a3,.end,0,0,0.0
open48_refleet3_t02a3,.gpkg,1,1126400,0.001126
open48_refleet3_t02a3,.csv,0,0,0.0
open48_refleet3_t02a3,.geojson,0,0,0.0
open48_refleet3_t02a3,.parquet,2,50088,5e-05
open48_refleet3_t02a3,.json,0,0,0.0
open48_refleet3_t02a3,.idf,1589,127594234,0.127594
open48_refleet3_t02a3,other,1,1601703,0.001602
open48_refleet3_t02a3,TOTAL,1593,130372425,0.130372
open48_refleet3_t02a4,.sql,1589,4141539328,4.141539
open48_refleet3_t02a4,.err,1589,9898070,0.009898
open48_refleet3_t02a4,.eio,1589,32595288,0.032595
open48_refleet3_t02a4,.end,1589,155728,0.000156
open48_refleet3_t02a4,.gpkg,2,1908736,0.001909
open48_refleet3_t02a4,.csv,1,884324,0.000884
open48_refleet3_t02a4,.geojson,1,2307333,0.002307
open48_refleet3_t02a4,.parquet,3,116876,0.000117
open48_refleet3_t02a4,.json,2,3471,3e-06
open48_refleet3_t02a4,.idf,3178,255188468,0.255188
open48_refleet3_t02a4,other,7,3437384,0.003437
open48_refleet3_t02a4,TOTAL,9550,4448035006,4.448035
open48_refleet4,.sql,8160,77192814592,77.192815
open48_refleet4,.err,8160,91085163,0.091085
open48_refleet4,.eio,8160,341804894,0.341805
open48_refleet4,.end,8160,801452,0.000801
open48_refleet4,.gpkg,24,12161024,0.012161
open48_refleet4,.csv,15,4424265,0.004424
open48_refleet4,.geojson,12,11710408,0.01171
open48_refleet4,.parquet,36,785570,0.000786
open48_refleet4,.json,24,41762,4.2e-05
open48_refleet4,.idf,16336,3396814473,3.396814
open48_refleet4,other,92,41182921,0.041183
open48_refleet4,TOTAL,49179,81093626524,81.093627
open48_repeat,.sql,738,26025758720,26.025759
open48_repeat,.err,738,18044811,0.018045
open48_repeat,.eio,0,0,0.0
open48_repeat,.end,738,72629,7.3e-05
open48_repeat,.gpkg,2,1175552,0.001176
open48_repeat,.csv,1,385231,0.000385
open48_repeat,.geojson,1,1011921,0.001012
open48_repeat,.parquet,3,72655,7.3e-05
open48_repeat,.json,2,3322,3e-06
open48_repeat,.idf,1479,842995779,0.842996
open48_repeat,other,9,3442999,0.003443
open48_repeat,TOTAL,3711,26892963619,26.892964
ALL_CORPORA,TOTAL,140261,233897996683,233.897997
