cell_mode,stem,total_eui_kwh_m2,parse_status,error_summary
austin_suburban_fast_zone,relation_5698619,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_fast_zone,way_1063559913,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_fast_zone,way_1063559915,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_fast_zone,way_1186113685,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_fast_zone,way_1341643129,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_fast_zone,way_1341643132,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_fast_zone,way_1351038756,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_fast_zone,way_192352435,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_fast_zone,way_205360641,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_fast_zone,way_206374244,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_floor,relation_5698619,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_floor,way_1063559913,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_floor,way_1063559915,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_floor,way_1186113685,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_floor,way_1341643129,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_floor,way_1341643132,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_floor,way_1351038756,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_floor,way_192352435,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_floor,way_205360641,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
austin_suburban_floor,way_206374244,,failed_zone_mismatch,"zone count mismatch: found 0, manifest says 1"
