cell,stem,group,n_zones,diff_check,min_written_volume_m3,max_written_volume_m3,sum_written_volume_m3,base_n_converge,treat_n_converge,base_completed,base_vol_warnings,base_n_severe,base_n_fatal,base_site_energy_gj,base_floor_area_m2,base_eui_kwh_m2,treat_completed,treat_vol_warnings,treat_n_severe,treat_n_fatal,treat_site_energy_gj,treat_floor_area_m2,treat_eui_kwh_m2,cov_archetype_id,cov_levels,cov_footprint_area_m2,delta_eui,pct_change
nyc_centre,relation_11171765,cost,1,"OK 1 zones, field 9 only",459029.92,459029.92,459029.92,0,0,True,1,0,0,41878.73,131151.41,88.69886710477608,True,0,0,0,42328.64,131151.41,89.65177344408269,OpenUBEMUnknown,1.0,131151.4063955685,0.9529063393066082,1.0743162459797617
nyc_centre,relation_11171793,cost,1,"OK 1 zones, field 9 only",549904.17,549904.17,549904.17,0,0,True,1,0,0,150207.12,157115.48,265.56392366898535,True,0,0,0,150624.62,157115.48,266.302057374843,OpenUBEMUnknown,1.0,157115.4774051145,0.7381337058576491,0.27794954060767035
nyc_centre,relation_1860567,cost,1,"OK 1 zones, field 9 only",24427.94,24427.94,24427.94,0,0,True,1,0,0,2512.21,6979.41,99.98497966704923,True,0,0,0,2537.12,6979.41,100.97638796631809,LargeOffice,1.0,6979.411436788407,0.9914082992688549,0.9915572344668693
nyc_centre,relation_3565283,cost,5,"OK 5 zones, field 9 only",1342.97,1342.97,6714.85,0,0,True,5,0,0,665.26,1918.53,96.32085983956466,True,0,0,0,674.03,1918.53,97.59063998686494,SmallOffice,5.0,383.705967653236,1.2697801473002812,1.318281574121401
nyc_centre,relation_3566904,cost,14,"OK 14 zones, field 9 only",9387.8,9387.8,131429.17,0,0,True,1,0,0,150207.12,157115.48,265.5639236689853,True,0,0,0,18727.01,37551.19,138.5295016849799,LargeOffice,14.0,2682.22811542602,-127.03442198400546,-47.83572264971831
nyc_urban,relation_17949119,cost,3,"OK 3 zones, field 9 only",8202.11,8202.11,24606.34,0,0,True,3,0,0,3691.33,7030.38,145.84837896017,True,0,0,0,3732.78,7030.38,147.4861125976121,OpenUBEMUnknown,3.0,2343.4609565256314,1.6377336374420963,1.122901501626801
nyc_urban,relation_17953040_part0,cost,1,"OK 1 zones, field 9 only",3668.61,3668.61,3668.61,0,0,True,1,0,0,513.31,1048.17,136.03339393228197,True,0,0,0,512.38,1048.17,135.78693261970864,MediumOffice,1.0,1048.1743007390885,-0.2464613125733308,-0.1811770664900269
nyc_urban,relation_17953040_part1,cost,1,"OK 1 zones, field 9 only",2638.41,2638.41,2638.41,0,0,True,1,0,0,400.47,753.83,147.56865018107533,True,0,0,0,399.56,753.83,147.23332550840377,MediumOffice,1.0,753.8313199423027,-0.3353246726715611,-0.22723300122356488
nyc_urban,relation_3262925,cost,4,"OK 4 zones, field 9 only",2664.55,2664.55,10658.22,0,0,True,4,0,0,1632.1,3045.2,148.8772978392224,True,0,0,0,1641.82,3045.2,149.76393918166295,MediumOffice,4.0,761.3011627158733,0.886641342440555,0.5955517431529882
nyc_urban,relation_3263307,cost,5,"OK 5 zones, field 9 only",2743.33,2743.33,13716.65,0,0,True,5,0,0,2091.97,3919.04,148.27682908722542,True,0,0,0,2103.99,3919.04,149.12879516973544,MediumOffice,5.0,783.8087602130374,0.8519660825100175,0.5745780293216544
nyc_suburban,way_1010383033,cost,1,"OK 1 zones, field 9 only",468.7,468.7,468.7,0,0,True,1,0,0,69.96,133.92,145.11152096774194,True,0,0,0,70.55,133.92,146.33530309139786,SmallOffice,1.0,133.9155424163278,1.2237821236559228,0.8433390508862267
nyc_suburban,way_1010383034,cost,1,"OK 1 zones, field 9 only",338.4,338.4,338.4,0,0,True,1,0,0,57.55,96.69,165.33366832143966,True,0,0,0,58.01,96.69,166.65518852001242,SmallOffice,1.0,96.68648176099477,1.321520198572756,0.7993049522154634
nyc_suburban,way_1010383035,cost,1,"OK 1 zones, field 9 only",644.2,644.2,644.2,0,0,True,1,0,0,89.95,184.06,135.74982674128003,True,0,0,0,90.94,184.06,137.24390487884386,SmallOffice,1.0,184.0563589645799,1.4940781375638323,1.1006114508059992
nyc_suburban,way_1014146117,cost,1,"OK 1 zones, field 9 only",596.08,596.08,596.08,0,0,True,1,0,0,146.79,170.31,239.41637755856965,True,0,0,0,146.8,170.31,239.4326876871587,MidriseApartment,1.0,170.30809669900847,0.0163101285890547,0.0068124531643892
nyc_suburban,way_1014146118,cost,1,"OK 1 zones, field 9 only",467.62,467.62,467.62,0,0,True,1,0,0,110.27,133.61,229.25348406556392,True,0,0,0,110.17,133.61,229.04558211211736,MidriseApartment,1.0,133.60536935668904,-0.2079019534465658,-0.0906864967806152
nyc_rural,way_1055839510,cost,1,"OK 1 zones, field 9 only",838.16,838.16,838.16,0,0,True,1,0,0,105.09,239.47,121.90115255355578,True,0,0,0,106.21,239.47,123.20031794379254,SmallOffice,1.0,239.47371133760325,1.299165390236766,1.0657531639546998
nyc_rural,way_1103897140,cost,1,"OK 1 zones, field 9 only",383.68,383.68,383.68,0,0,True,1,0,0,58.89,109.62,149.22764679802955,True,0,0,0,59.39,109.62,150.4946500821018,SmallOffice,1.0,109.6230678973072,1.2670032840722456,0.8490405841399192
nyc_rural,way_1103897841,cost,1,"OK 1 zones, field 9 only",820.7,820.7,820.7,0,0,True,1,0,0,180.72,234.49,214.0816410763785,True,0,0,0,180.6,234.49,213.93948859226407,MidriseApartment,1.0,234.48546513832773,-0.1421524841144332,-0.0664010624169856
nyc_rural,way_1103897842,cost,1,"OK 1 zones, field 9 only",322.53,322.53,322.53,0,0,True,1,0,0,96.47,92.15,290.80004737927294,True,0,0,0,96.77,92.15,291.7043701139446,OpenUBEMUnknown,1.0,92.15184305509143,0.9043227346716662,0.31097750596037993
