cell,osm_id,archetype_id,footprint_area_m2,recorded_floor_area_m2,recorded_total_eui_kwh_m2,recorded_dhw_eui_kwh_m2,recorded_simulation_status,generation_status,zoning_strategy,num_zones,status,elapsed_s,dh_total_gj,dh_total_kwh,dh_a_reconciles,dh_b_available,dh_water_systems_gj,dh_other_rows_sum_gj,c2b_pass,parsed_parse_status,parsed_error_summary,parsed_data_quality_flag,parsed_floor_area_m2,parsed_floor_area_provenance,parsed_heating_eui_kwh_m2,parsed_cooling_eui_kwh_m2,parsed_lighting_eui_kwh_m2,parsed_equipment_eui_kwh_m2,parsed_fans_eui_kwh_m2,parsed_pumps_eui_kwh_m2,parsed_dhw_gas_eui_kwh_m2,parsed_dhw_elec_eui_kwh_m2,parsed_dhw_eui_kwh_m2,parsed_cooking_eui_kwh_m2,parsed_refrigeration_eui_kwh_m2,parsed_elevators_eui_kwh_m2,parsed_total_eui_kwh_m2,parsed_iod,c1_diff_kwh_m2,c1_pass
austin_rural,way/103754360,SmallOffice,544.3660382796982,544.37,94.35161101850258,2.404832623431181,success,success,single_zone,1,ok,15.1,2.31,641.6666666666666,True,False,2.31,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",544.37,eio_simulated,10.469720987593934,19.35835504769619,26.46490799534265,27.764575996732574,7.889218367706076,0.0,0.0,2.4048326234311714,2.4048326234311714,0.0,0.0,0.0,94.35161101850261,0.0,2.842170943040401e-14,True
la_rural,way/472961240,SmallOffice,93.18077617937337,93.18,129.16272174059236,8.601099910749074,success,success,single_zone,1,ok,15.5,0.42,116.66666666666666,True,False,0.42,0.0,True,success,,generic_tag,93.18,eio_simulated,23.985640665237547,26.463935549050984,26.465321049840206,27.765009335967704,15.88171522974688,0.0,0.0,8.601099910749076,8.601099910749076,0.0,0.0,0.0,129.1627217405924,0.0,2.842170943040401e-14,True
nyc_suburban,way/610017155,SmallOffice,400.7201434834311,400.72,110.54281256684364,3.18705490436195,success,success,single_zone,1,ok,15.8,2.11,586.1111111111111,True,False,2.11,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",400.72,eio_simulated,34.582724601129534,8.965405668653473,26.46511007460143,27.76478799992333,9.577729318173914,0.0,0.0,3.187054904361921,3.187054904361921,0.0,0.0,0.0,110.5428125668436,0.0017156056775694067,-4.263256414560601e-14,True
la_suburban,way/449560234,SmallOffice,20.599498079655696,20.6,146.98053916226573,34.79107472132586,success,success,single_zone,1,ok,16.2,0.09,25.0,True,False,0.09,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|GROUPMODE_MED",20.6,eio_simulated,16.885960466811632,24.448803684498195,26.464455774496873,27.764101567724847,16.626142947408326,0.0,0.0,34.79107472132565,34.79107472132565,0.0,0.0,0.0,146.98053916226553,0.006754244685845876,-1.9895196601282805e-13,True
nyc_rural,way/385036709,SmallOffice,309.6482965515406,309.65,120.16357964897485,3.7129433193162655,success,success,single_zone,1,ok,16.8,1.66,461.1111111111111,True,False,1.66,0.0,True,success,,"generic_tag,no_floors,no_height,no_year|GROUPMODE_MED",309.65,eio_simulated,38.7339716995886,11.139678349830573,26.464955008427967,27.764625318588532,12.34740595322291,0.0,0.0,3.7129433193162664,3.7129433193162664,0.0,0.0,0.0,120.16357964897485,0.027000385180325128,0.0,True
austin_rural,way/446233794,SmallOffice,391.2355568403798,391.24,95.9089243658196,2.8876838221797048,success,success,single_zone,1,ok,3.5,1.66,461.1111111111111,True,False,1.66,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",391.24,eio_simulated,11.094255280875842,19.71064318555906,26.4648000446061,27.764462744631757,7.987079287967121,0.0,0.0,2.887683822179696,2.887683822179696,0.0,0.0,0.0,95.90892436581957,0.0,-2.842170943040401e-14,True
austin_suburban,way/382993837,SmallOffice,56.37973369616624,56.38,139.25642734256917,13.001756462030254,success,success,single_zone,1,ok,3.7,0.24,66.66666666666666,True,False,0.24,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|GROUPMODE_MED",56.38,eio_simulated,22.332069419487137,35.03247254902069,26.46497559382834,27.764646914919542,14.660506403283224,0.0,0.0,13.001756462030231,13.001756462030231,0.0,0.0,0.0,139.25642734256917,0.0,0.0,True
austin_urban,way/381824905,SmallOffice,103.4854978431051,206.98,121.671778635437,4.342093016519648,success,success,one_zone_per_floor,2,ok,20.0,0.85,236.1111111111111,True,False,0.85,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",206.98,eio_simulated,16.371410795836738,32.96085004072986,26.463949414287878,27.76357034061812,13.769905027444759,0.0,0.0,4.342093016519654,4.342093016519654,0.0,0.0,0.0,121.67177863543701,0.0,1.4210854715202004e-14,True
austin_centre,way/328526443,SmallOffice,429.95552062890494,429.96,87.51300058290678,2.6825835497425143,success,success,single_zone,1,ok,5.7,1.76,488.88888888888886,True,False,1.76,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|GROUPMODE_MED",429.96,eio_simulated,8.615004263013482,16.09174439662925,26.46482488203883,27.764488801808625,5.894354689674073,0.0,0.0,2.682583549742503,2.682583549742503,0.0,0.0,0.0,87.51300058290677,0.0,-1.4210854715202004e-14,True
austin_suburban,way/382991361,SmallOffice,273.3272554652974,545.38,104.5053076730836,2.3776901010203577,success,success,one_zone_per_floor,2,ok,21.3,2.28,633.3333333333333,True,False,2.28,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",545.38,eio_simulated,12.784247645555912,25.40469348601645,26.4650024164493,27.764675054775473,9.708998969266124,0.0,0.0,2.377690101020379,2.377690101020379,0.0,0.0,0.0,104.50530767308362,0.0,1.4210854715202004e-14,True
la_centre,way/428015102,SmallOffice,297.17743212885864,881.0999999999999,85.97391614961144,2.0137154173522926,success,success,one_zone_per_floor,3,ok,22.7,3.96,1100.0,True,False,3.96,0.0,True,success,,no_floors,881.0999999999999,eio_simulated,5.29445021818143,15.45288102465247,26.465140662415838,27.76482008987799,8.982908737131451,0.0,0.0,2.0137154173522984,2.0137154173522984,0.0,0.0,0.0,85.97391614961148,0.0004343729348656769,4.263256414560601e-14,True
la_centre,way/427817567,SmallOffice,238.91578539232503,477.84,90.31183215932606,2.658178256235533,success,success,one_zone_per_floor,2,ok,6.8,2.12,588.8888888888889,True,False,2.12,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",477.84,eio_simulated,6.19505190919247,17.8057347496318,26.464629524246284,27.764283850169317,9.423953869850667,0.0,0.0,2.6581782562355345,2.6581782562355345,0.0,0.0,0.0,90.31183215932606,0.0010216481722663436,0.0,True
la_rural,way/472961295,SmallOffice,53.42126680820598,53.42,156.50484174312322,14.076332119062908,success,success,single_zone,1,ok,5.1,0.24,66.66666666666666,True,False,0.24,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",53.42,eio_simulated,33.2869786675853,34.765985671543525,26.46572819492958,27.765436475588874,20.144380614413063,0.0,0.0,14.076332119062885,14.076332119062885,0.0,0.0,0.0,156.50484174312325,0.0014599244988872002,2.842170943040401e-14,True
austin_urban,way/382027101,SmallOffice,235.9889954285241,468.04,106.13625146964954,2.561410617540546,success,success,one_zone_per_floor,2,ok,8.8,1.93,536.1111111111111,True,False,1.93,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",468.04,eio_simulated,10.895915257998052,27.53567691814496,26.464762398828633,27.76442325010376,10.914063027033604,0.0,0.0,2.561410617540552,2.561410617540552,0.0,0.0,0.0,106.13625146964955,0.0,1.4210854715202004e-14,True
austin_centre,way/99868609,SmallOffice,308.80330181962154,926.28,97.6531167020564,1.8475470687419848,success,success,one_zone_per_floor,3,ok,25.5,3.8,1055.5555555555554,True,False,3.8,0.0,True,success,,"no_height,no_year|GROUPMODE_MED",926.28,eio_simulated,9.064537668567919,23.286943695979776,26.46479048716577,27.764452717834068,9.224845063766857,0.0,0.0,1.8475470687419897,1.8475470687419897,0.0,0.0,0.0,97.65311670205637,0.0,-2.842170943040401e-14,True
nyc_rural,way/1279684261,SmallOffice,181.60110615114297,181.65,129.76419192856827,5.2786719310785095,success,success,single_zone,1,ok,5.0,0.98,272.22222222222223,True,False,0.98,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|GROUPMODE_MED",181.65,eio_simulated,41.87692090251062,13.181868072146345,26.46465204294839,27.76430747474478,15.197771505139572,0.0,0.0,5.278671931078493,5.278671931078493,0.0,0.0,0.0,129.7641919285682,0.032651046728932064,-5.684341886080802e-14,True
nyc_suburban,way/910976583,SmallOffice,109.59845146698125,109.6,148.48740035446448,7.803962849813922,success,success,single_zone,1,ok,4.1,0.58,161.1111111111111,True,False,0.58,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",109.6,eio_simulated,59.17021452334681,12.156482844713922,26.46472667429305,27.76438577116814,15.127627691128671,0.0,0.0,7.803962849813899,7.803962849813899,0.0,0.0,0.0,148.48740035446448,0.014496805357413937,0.0,True
la_suburban,way/442633015,SmallOffice,334.62214779432196,669.24,83.12424579280925,2.2827771561239536,success,success,one_zone_per_floor,2,ok,8.0,3.05,847.2222222222222,True,False,3.05,0.0,True,success,,"generic_tag,no_floors,no_function,no_year|GROUPMODE_MED",669.24,eio_simulated,4.430797012314296,14.16221169716409,26.465270938295745,27.76495676349003,8.018232225421132,0.0,0.0,2.2827771561239416,2.2827771561239416,0.0,0.0,0.0,83.12424579280923,0.0010882809633260867,-1.4210854715202004e-14,True
austin_rural,way/363505488,SmallOffice,955.323607488625,955.32,86.66595398574515,1.8729621202372493,success,success,single_zone,1,ok,4.5,4.05,1125.0,True,False,4.05,0.0,True,success,,"generic_tag,no_floors,no_function,no_height,no_year|VINTAGE_NAN_PERMISSIVE_DEFAULT",955.32,eio_simulated,7.895015699139741,16.46447601772261,26.46520053616888,27.76488290397758,6.2034167084991,0.0,0.0,1.8729621202372397,1.8729621202372397,0.0,0.0,0.0,86.66595398574515,0.0,0.0,True
