archetype_id,fleet_n,target_n,selected_n,n_cells_used,cells_used
SmallOffice,3497,84,84,12,austin_centre;austin_rural;austin_suburban;austin_urban;la_centre;la_rural;la_suburban;la_urban;nyc_centre;nyc_rural;nyc_suburban;nyc_urban
MidriseApartment,2818,68,68,11,austin_rural;austin_suburban;austin_urban;la_centre;la_rural;la_suburban;la_urban;nyc_centre;nyc_rural;nyc_suburban;nyc_urban
OpenUBEMUnknown,650,15,15,11,austin_centre;austin_rural;austin_suburban;austin_urban;la_centre;la_suburban;la_urban;nyc_centre;nyc_rural;nyc_suburban;nyc_urban
MediumOffice,391,9,9,9,austin_centre;austin_rural;austin_suburban;austin_urban;la_centre;la_rural;la_suburban;la_urban;nyc_centre
LargeOffice,257,6,6,6,austin_centre;austin_rural;austin_urban;la_centre;la_suburban;la_urban
RetailStandalone,140,3,3,3,austin_centre;austin_rural;austin_suburban
TallBuilding,92,2,2,2,austin_centre;la_centre
Courthouse,68,1,1,1,austin_centre
QuickServiceRestaurant,50,1,1,1,austin_centre
FullServiceRestaurant,33,1,1,1,austin_centre
HighriseApartment,32,1,1,1,austin_centre
LargeHotel,32,1,1,1,austin_centre
Warehouse,32,1,1,1,la_centre
SuperTallBuilding,24,1,1,1,austin_centre
SecondarySchool,11,1,1,1,austin_centre
SmallHotel,8,1,1,1,la_centre
Outpatient,6,1,1,1,austin_rural
Hospital,5,1,1,1,austin_urban
SuperMarket,5,1,1,1,austin_rural
PrimarySchool,2,1,1,1,la_suburban
