cell,osm_id,idf_stem,outdir,sql_path,err_path,status,dh_water_gj,dh_total_gj,dh_total_kwh,total_end_uses_all_fuels_gj,dh_share_of_total_end_uses,c2_pass,c2_failures,parser_status,parser_total_eui_kwh_m2,parser_floor_area_m2,dh_share_of_parser_total,record_total_eui_kwh_m2,c4_residual_pct,c4_pass,c4b_pass,rank
austin_centre,relation/13781131,relation_13781131,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\relation_13781131\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\relation_13781131\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\relation_13781131\out\eplusout.err,ok,98.5,98.5,27361.11111111111,10671.86,0.009229881201589976,True,,success,179.10037221767664,16319.000000000004,0.009361462433849593,179.1003718157411,2.2441914498098402e-07,True,True,0
austin_centre,way/135049621,way_135049621,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\way_135049621\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\way_135049621\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\way_135049621\out\eplusout.err,ok,12.66,12.66,3516.6666666666665,864.77,0.014639730795471628,True,,success,112.56226338032894,2102.82,0.01485717670603548,112.56226338032896,1.2624883587482526e-14,True,True,1
austin_centre,way/328535175,way_328535175,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\way_328535175\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\way_328535175\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\way_328535175\out\eplusout.err,ok,1.39,1.39,386.1111111111111,111.81,0.012431803953134781,True,,success,90.66970598554641,338.27,0.012588865937032628,90.66970598554644,3.134642284484156e-14,True,True,2
austin_centre,way/328634462,way_328634462,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\way_328634462\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\way_328634462\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\way_328634462\out\eplusout.err,ok,8.48,8.48,2355.5555555555557,836.43,0.010138325980655883,True,,success,111.18044082984147,2068.5899999999997,0.01024213601459439,111.1804408298415,2.5563587640296032e-14,True,True,3
austin_centre,way/448210521,way_448210521,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\way_448210521\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\way_448210521\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_centre\way_448210521\out\eplusout.err,ok,180.43,180.43,50119.444444444445,20004.92,0.009019281256810825,True,,success,182.81668871455923,29976.300000000017,0.009145603803554104,182.81668839009703,1.7747953389432388e-07,True,True,4
austin_rural,relation/19829553,relation_19829553,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\relation_19829553\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\relation_19829553\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\relation_19829553\out\eplusout.err,ok,30.77,30.77,8547.222222222223,1535.26,0.0200422078345036,True,,success,107.7815784816953,3877.41,0.020452138723650377,107.7815784816953,0.0,True,True,0
austin_rural,way/103754360,way_103754360,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\way_103754360\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\way_103754360\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\way_103754360\out\eplusout.err,ok,2.31,2.31,641.6666666666666,187.21,0.012339084450616954,True,,success,94.35161101850261,544.37,0.012492978015836983,94.35161101850258,3.012318403851148e-14,True,True,1
austin_rural,way/1450169424,way_1450169424,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\way_1450169424\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\way_1450169424\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\way_1450169424\out\eplusout.err,ok,38.25,38.25,10625.0,191.61,0.19962423673085955,True,,success,120.1790902888407,354.49,0.24939976391658988,120.17909028884078,7.0948388847248e-14,True,True,2
austin_rural,way/1480414356,way_1480414356,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\way_1480414356\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\way_1480414356\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\way_1480414356\out\eplusout.err,ok,0.7,0.7,194.44444444444443,66.72999999999999,0.010490034467256108,True,,success,111.68962033021911,164.22,0.010601240250667623,111.68962033021909,2.5447046329258712e-14,True,True,3
austin_rural,way/74457837,way_74457837,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\way_74457837\out,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\way_74457837\out\eplusout.sql,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\open61_production_sample\austin_rural\way_74457837\out\eplusout.err,ok,1.87,1.87,519.4444444444445,154.44,0.01210826210826211,True,,success,95.99374170209148,441.5,0.012256472007097027,95.99374170209148,0.0,True,True,4
