scope,definition,baseline,n,agree_n,agree_rate_pct,mean_signed_diff,max_signed_diff,min_signed_diff
fleet,layout_assign_storey_count,auto_storey_count,8160,2372,29.0686,-0.9924,5,-89
fleet,layout_assign_storey_count,source_storey_count,8160,2372,29.0686,-0.9884,5,-89
fleet,layout_assign_storey_count_naive,auto_storey_count,8160,3246,39.7794,-1.8478,5,-104
fleet,layout_assign_storey_count_naive,source_storey_count,8160,3246,39.7794,-1.8438,5,-104
fleet,layout_assign_storey_count_floor,auto_storey_count,8160,1938,23.75,-0.4157,5,-75
fleet,layout_assign_storey_count_floor,source_storey_count,8160,1944,23.8235,-0.4116,5,-75
fleet,layout_assign_storey_count_attic_excluded,auto_storey_count,8160,1938,23.75,-0.4157,5,-75
fleet,layout_assign_storey_count_attic_excluded,source_storey_count,8160,1944,23.8235,-0.4116,5,-75
collapse_risk,layout_assign_storey_count,auto_storey_count,2983,344,11.532,0.0127,2,-89
collapse_risk,layout_assign_storey_count,source_storey_count,2983,344,11.532,0.0127,2,-89
collapse_risk,layout_assign_storey_count_naive,auto_storey_count,2983,1218,40.8314,-2.3272,2,-104
collapse_risk,layout_assign_storey_count_naive,source_storey_count,2983,1218,40.8314,-2.3272,2,-104
collapse_risk,layout_assign_storey_count_floor,auto_storey_count,2983,348,11.6661,0.403,2,-75
collapse_risk,layout_assign_storey_count_floor,source_storey_count,2983,348,11.6661,0.403,2,-75
collapse_risk,layout_assign_storey_count_attic_excluded,auto_storey_count,2983,348,11.6661,0.403,2,-75
collapse_risk,layout_assign_storey_count_attic_excluded,source_storey_count,2983,348,11.6661,0.403,2,-75
non_collapse_risk,layout_assign_storey_count,auto_storey_count,5177,2028,39.1733,-1.5716,5,-17
non_collapse_risk,layout_assign_storey_count,source_storey_count,5177,2028,39.1733,-1.5652,5,-17
non_collapse_risk,layout_assign_storey_count_naive,auto_storey_count,5177,2028,39.1733,-1.5716,5,-17
non_collapse_risk,layout_assign_storey_count_naive,source_storey_count,5177,2028,39.1733,-1.5652,5,-17
non_collapse_risk,layout_assign_storey_count_floor,auto_storey_count,5177,1590,30.7128,-0.8874,5,-17
non_collapse_risk,layout_assign_storey_count_floor,source_storey_count,5177,1596,30.8287,-0.881,5,-17
non_collapse_risk,layout_assign_storey_count_attic_excluded,auto_storey_count,5177,1590,30.7128,-0.8874,5,-17
non_collapse_risk,layout_assign_storey_count_attic_excluded,source_storey_count,5177,1596,30.8287,-0.881,5,-17
archetype:Courthouse,layout_assign_storey_count,auto_storey_count,68,68,100.0,0.0,0,0
archetype:Courthouse,layout_assign_storey_count,source_storey_count,68,68,100.0,0.0,0,0
archetype:Courthouse,layout_assign_storey_count_naive,auto_storey_count,68,68,100.0,0.0,0,0
archetype:Courthouse,layout_assign_storey_count_naive,source_storey_count,68,68,100.0,0.0,0,0
archetype:Courthouse,layout_assign_storey_count_floor,auto_storey_count,68,68,100.0,0.0,0,0
archetype:Courthouse,layout_assign_storey_count_floor,source_storey_count,68,68,100.0,0.0,0,0
archetype:Courthouse,layout_assign_storey_count_attic_excluded,auto_storey_count,68,68,100.0,0.0,0,0
archetype:Courthouse,layout_assign_storey_count_attic_excluded,source_storey_count,68,68,100.0,0.0,0,0
archetype:FullServiceRestaurant,layout_assign_storey_count,auto_storey_count,33,27,81.8182,-0.7879,0,-11
