osm_id,source,label,label_coarse,evidence_strength,flagged_for_ruling,emitted,confidence,rule_token,match
29551702,boston_downtown_500m,Courthouse,commercial,strong,no,Courthouse,MEDIUM,RULE_FUNCTION_TAG,True
29551954,boston_downtown_500m,Courthouse,commercial,strong,no,Courthouse,HIGH,RULE_USE_CLASS,True
29553164,boston_downtown_500m,College,commercial,strong,no,College,HIGH,RULE_FUNCTION_TAG,True
29554952,boston_downtown_500m,MediumOffice,commercial,strong,no,MediumOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29556870,boston_downtown_500m,College,commercial,strong,no,College,MEDIUM,RULE_FUNCTION_TAG,True
29559536,boston_downtown_500m,MediumOffice,commercial,strong,no,SuperTallBuilding,MEDIUM,RULE_HIGHRISE,False
29573070,boston_downtown_500m,LargeHotel,commercial,strong,no,LargeHotel,MEDIUM,RULE_LODGING_TIER,True
29573399,boston_downtown_500m,RetailStandalone,commercial,strong,no,LargeOffice,LOW,FALLBACK_SIZE_DEFAULT,False
29574540,boston_downtown_500m,MediumOffice,commercial,strong,no,MediumOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29601034,boston_downtown_500m,MediumOffice,commercial,strong,no,MediumOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29601314,boston_downtown_500m,LargeOffice,commercial,strong,no,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29605945,boston_downtown_500m,LargeOffice,commercial,strong,no,TallBuilding,HIGH,RULE_HIGHRISE,False
29607647,boston_downtown_500m,LargeOffice,commercial,strong,no,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29608963,boston_downtown_500m,LargeOffice,commercial,strong,no,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29610390,boston_downtown_500m,LargeOffice,commercial,strong,no,TallBuilding,HIGH,RULE_HIGHRISE,False
29611456,boston_downtown_500m,LargeOffice,commercial,strong,no,TallBuilding,HIGH,RULE_HIGHRISE,False
29613210,boston_downtown_500m,LargeOffice,commercial,strong,no,TallBuilding,HIGH,RULE_HIGHRISE,False
29614103,boston_downtown_500m,SmallOffice,commercial,strong,no,SuperTallBuilding,MEDIUM,RULE_HIGHRISE,False
29614632,boston_downtown_500m,LargeOffice,commercial,strong,no,SuperTallBuilding,HIGH,RULE_HIGHRISE,False
29615469,boston_downtown_500m,LargeOffice,commercial,strong,no,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29615909,boston_downtown_500m,SmallHotel,commercial,thin,yes,LargeHotel,MEDIUM,RULE_LODGING_TIER,False
29617232,boston_downtown_500m,LargeOffice,commercial,strong,no,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29620958,boston_downtown_500m,FullServiceRestaurant,commercial,strong,no,FullServiceRestaurant,HIGH,RULE_FUNCTION_TAG,True
29622244,boston_downtown_500m,LargeOffice,commercial,strong,no,TallBuilding,HIGH,RULE_HIGHRISE,False
29622478,boston_downtown_500m,LargeOffice,commercial,strong,no,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29624824,boston_downtown_500m,MediumOffice,commercial,strong,no,MediumOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29650673,boston_downtown_500m,LargeOffice,commercial,strong,no,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29650687,boston_downtown_500m,LargeOffice,commercial,strong,no,TallBuilding,HIGH,RULE_HIGHRISE,False
29650688,boston_downtown_500m,OpenUBEMUnknown,commercial,strong,no,LargeOffice,LOW,FALLBACK_SIZE_DEFAULT,False
29650689,boston_downtown_500m,MediumOffice,commercial,strong,no,MediumOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29650691,boston_downtown_500m,MediumOffice,commercial,strong,no,MediumOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29650695,boston_downtown_500m,LargeOffice,commercial,strong,no,TallBuilding,HIGH,RULE_HIGHRISE,False
29650699,boston_downtown_500m,LargeOffice,commercial,strong,no,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29650701,boston_downtown_500m,LargeOffice,commercial,strong,no,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29650703,boston_downtown_500m,LargeOffice,commercial,strong,no,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29650708,boston_downtown_500m,OpenUBEMUnknown,commercial,strong,no,MediumOffice,LOW,FALLBACK_SIZE_DEFAULT,False
29650719,boston_downtown_500m,MidriseApartment,residential,strong,no,MidriseApartment,HIGH,RULE_RESIDENTIAL_TIER,True
29715243,boston_downtown_500m,SmallOffice,commercial,strong,no,MediumOffice,MEDIUM,RULE_USE_CLASS_SIZE,False
29715395,boston_downtown_500m,LargeOffice,commercial,strong,no,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29715895,boston_downtown_500m,LargeOffice,commercial,strong,no,LargeOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29716487,boston_downtown_500m,MediumOffice,commercial,strong,no,MediumOffice,MEDIUM,RULE_USE_CLASS_SIZE,True
29719177,boston_downtown_500m,HighriseApartment,residential,strong,no,HighriseApartment,HIGH,RULE_RESIDENTIAL_TIER,True
