cell,osm_id,archetype_id,num_floors,n_proto,old_status,old_multiplier,new_status,new_multiplier,changed
nyc_centre,way/42496314,SuperTallBuilding,51,30,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/42496352,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/42500728,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/86121620,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/86121621,SuperTallBuilding,105,30,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/86216914,SuperTallBuilding,40,30,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/91200880,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/91200920,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/109284804,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/109284807,TallBuilding,39,20,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/109285745,SuperTallBuilding,47,30,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/114071252,TallBuilding,28,20,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/137716320,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/138022483,LargeOffice,5,4,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/143858914,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/148457887,TallBuilding,36,20,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/157835453,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/159837290,TallBuilding,39,20,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/160915057,MediumOffice,1,3,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/161173093,MediumOffice,6,3,applied,4.0,applied,4.0,False
nyc_centre,way/161849936,SuperTallBuilding,55,30,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/162004802,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/162695595,TallBuilding,28,20,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/162977896,MediumOffice,8,3,applied,6.0,applied,6.0,False
nyc_centre,way/163465869,SuperTallBuilding,45,30,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/163474780,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/163629929,LargeOffice,8,4,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/163631696,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/165439147,TallBuilding,32,20,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/165439153,MidriseApartment,8,3,applied,6.0,applied,3.0,False
nyc_centre,way/218327129,LargeOffice,12,4,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/218333949,SuperTallBuilding,40,30,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/258619240,SmallOffice,1,2,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/258646144,SmallOffice,1,2,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/260085134,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/260085136,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/260085159,LargeOffice,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/260180778,LargeHotel,1,4,fallback_shorter,,fallback_shorter,,False
nyc_centre,way/265276997,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/265277022,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/265281597,MediumOffice,14,3,applied,12.0,applied,12.0,False
nyc_centre,way/265281598,TallBuilding,29,20,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/265296083,SmallOffice,5,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/265296085,SmallOffice,5,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/265296086,SmallOffice,2,2,identity,,identity,,False
nyc_centre,way/265296088,LargeOffice,15,4,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/265296090,MediumOffice,15,3,applied,13.0,applied,13.0,False
nyc_centre,way/265296092,LargeOffice,16,4,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/265296095,SmallOffice,5,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/265296097,MediumOffice,5,3,applied,3.0,applied,3.0,False
nyc_centre,way/265296099,SmallOffice,5,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/265296100,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/265296101,LargeOffice,19,4,fallback_not_expressible,,fallback_not_expressible,,False
nyc_centre,way/265296102,MediumOffice,17,3,applied,15.0,applied,15.0,False
nyc_centre,way/265296110,MediumOffice,16,3,applied,14.0,applied,14.0,False
