timestep,N,u_roof_w_m2k,total_thickness_m,layer_thickness_m,result,ctf_severe_present,verbatim_severe_line,verbatim_end_line,run_dir,elapsed_s
4,1,0.097,1.237113,1.237113,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.09sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0097_N1,0.27
4,2,0.097,1.237113,0.618557,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.11sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0097_N2,0.29
4,3,0.097,1.237113,0.412371,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.21sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0097_N3,0.4
4,4,0.097,1.237113,0.309278,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.43sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0097_N4,0.62
4,5,0.097,1.237113,0.247423,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.50sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0097_N5,0.68
4,6,0.097,1.237113,0.206186,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.44sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0097_N6,0.64
4,7,0.097,1.237113,0.17673,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.41sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0097_N7,0.6
4,8,0.097,1.237113,0.154639,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.43sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0097_N8,0.63
4,9,0.097,1.237113,0.137457,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.45sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0097_N9,0.65
4,10,0.097,1.237113,0.123711,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 9 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.40sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts4_u0097_N10,0.61
2,1,0.097,1.237113,1.237113,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 10 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.09sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts2_u0097_N1,0.28
2,2,0.097,1.237113,0.618557,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 10 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.10sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts2_u0097_N2,0.3
2,3,0.097,1.237113,0.412371,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 10 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.14sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts2_u0097_N3,0.34
2,4,0.097,1.237113,0.309278,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",EnergyPlus Terminated--Fatal Error Detected. 10 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.13sec,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03r_work\runs\f03r_ts2_u0097_N4,0.33
