series,u_roof,total_thickness_m,t_mass_m,r_residual,engaged,timestep,result,ctf_severe_present,verbatim_severe_line,run_dir,elapsed_s
control_no_cap_worst,0.097,1.237113,1.237113,0.0,,4,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_control_nocap_u0097,0.31
control_no_cap_u05,0.5,0.24,0.24,0.0,,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_control_nocap_u05,5.02
distinct_u_coverage,0.119,1.008403,0.35,5.486695,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_series1_u00_0119,4.98
stability_probe_u0097,0.097,1.237113,0.32,7.642612,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_stability_u0097_t032,5.01
stability_probe_u0097,0.097,1.237113,0.34,7.475945,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_stability_u0097_t034,5.06
stability_probe_u0097,0.097,1.237113,0.35,7.392612,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_stability_u0097_t035,5.1
stability_probe_u0097,0.097,1.237113,0.36,7.309278,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_stability_u0097_t036,5.09
stability_probe_u0097,0.097,1.237113,0.38,7.142612,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_stability_u0097_t038,5.11
stability_probe_u0119,0.119,1.008403,0.32,5.736695,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_stability_u0119_t032,5.01
stability_probe_u0119,0.119,1.008403,0.34,5.570028,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_stability_u0119_t034,5.04
stability_probe_u0119,0.119,1.008403,0.35,5.486695,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_stability_u0119_t035,5.09
stability_probe_u0119,0.119,1.008403,0.36,5.403361,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_stability_u0119_t036,5.04
stability_probe_u0119,0.119,1.008403,0.38,5.236695,True,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_stability_u0119_t038,5.07
timestep_robustness_u0097,0.097,1.237113,0.35,7.392612,True,2,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_timestep_u0097_ts2,3.09
timestep_robustness_u0097,0.097,1.237113,0.35,7.392612,True,6,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_timestep_u0097_ts6,6.97
timestep_robustness_u0119,0.119,1.008403,0.35,5.486695,True,2,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_timestep_u0119_ts2,3.09
timestep_robustness_u0119,0.119,1.008403,0.35,5.486695,True,6,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t3_work\runs\f03t3_timestep_u0119_ts6,6.85
