series,u_roof,total_thickness_m,t_mass_m,r_residual,timestep,result,ctf_severe_present,verbatim_severe_line,run_dir,elapsed_s
control_no_cap_worst,0.097,1.237113,1.237113,0.0,4,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_control_nocap_u0097,0.32
control_no_cap_u05,0.5,0.24,0.24,0.0,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_control_nocap_u05,5.05
discriminator,0.097,1.237113,0.85,3.225945,4,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_discriminator_t085,0.27
boundary_sweep,0.097,1.237113,0.85,3.225945,4,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_sweep_t085,0.27
boundary_sweep,0.097,1.237113,0.7,4.475945,4,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_sweep_t07,0.28
boundary_sweep,0.097,1.237113,0.6,5.309278,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_sweep_t06,5.06
boundary_sweep,0.097,1.237113,0.45,6.559278,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_sweep_t045,5.11
boundary_sweep,0.097,1.237113,0.3,7.809278,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_sweep_t03,5.13
boundary_sweep,0.097,1.237113,0.2,8.642612,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_sweep_t02,5.01
boundary_sweep,0.097,1.237113,0.1,9.475945,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_sweep_t01,5.06
timestep_confirm,0.097,1.237113,0.6,5.309278,2,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_tsconfirm_ts2_t06,3.17
timestep_confirm,0.097,1.237113,0.6,5.309278,6,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_tsconfirm_ts6_t06,6.98
coverage,0.105,1.142857,0.6,4.52381,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_coverage_u0105,5.19
coverage,0.119,1.008403,0.6,3.403361,4,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_coverage_u0119,0.28
coverage,0.138,0.869565,0.6,2.246377,4,FATAL,True,"** Severe  ** CTF calculation convergence problem for Construction=""LA_ROOF_CONSTRUCTION"".",C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_coverage_u0138,0.28
coverage,0.182,0.659341,0.6,0.494505,4,PASS,False,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f03t_work\runs\f03t_coverage_u0182,5.2
