artifact,cell,n_rows,n_success,n_not_simulated,status
"phaseE (E-R3-3 era, pre-elevators)",nyc_centre,738,738,0,OK
"phaseE (E-R3-3 era, pre-elevators)",nyc_urban,1779,1779,0,OK
"phaseE (E-R3-3 era, pre-elevators)",nyc_suburban,1589,1589,0,OK
"phaseE (E-R3-3 era, pre-elevators)",nyc_rural,198,198,0,OK
"phaseE (E-R3-3 era, pre-elevators)",la_centre,226,226,0,OK
"phaseE (E-R3-3 era, pre-elevators)",la_urban,618,617,1,OK
"phaseE (E-R3-3 era, pre-elevators)",la_suburban,1343,1343,0,OK
"phaseE (E-R3-3 era, pre-elevators)",la_rural,149,144,5,OK
"phaseE (E-R3-3 era, pre-elevators)",austin_centre,413,413,0,OK
"phaseE (E-R3-3 era, pre-elevators)",austin_urban,425,425,0,OK
"phaseE (E-R3-3 era, pre-elevators)",austin_suburban,437,437,0,OK
"phaseE (E-R3-3 era, pre-elevators)",austin_rural,245,245,0,OK
"phaseE (E-R3-3 era, pre-elevators)",TOTAL,8160,8154,6,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",nyc_centre,738,738,0,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",nyc_urban,1779,1779,0,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",nyc_suburban,1589,1589,0,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",nyc_rural,198,198,0,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",la_centre,226,226,0,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",la_urban,618,617,1,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",la_suburban,1343,1343,0,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",la_rural,149,144,5,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",austin_centre,413,413,0,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",austin_urban,425,425,0,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",austin_suburban,437,437,0,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",austin_rural,245,245,0,OK
"phaseE_elevrb (CURRENT adopted, elevators, 2026-07-15)",TOTAL,8160,8154,6,OK
