Date/Time,EU_CELL_ZONE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,184856202.1556384 
 01/01  02:00:00,193215407.1738597 
 01/01  03:00:00,193032208.9152989 
 01/01  04:00:00,196439196.68278766 
 01/01  05:00:00,197614484.34249067 
 01/01  06:00:00,196840855.42435855 
 01/01  07:00:00,195660328.00979555 
 01/01  08:00:00,208363679.9083969 
 01/01  09:00:00,206403658.3601485 
 01/01  10:00:00,205547097.63531744 
 01/01  11:00:00,197700973.8974887 
 01/01  12:00:00,185529550.50703877 
 01/01  13:00:00,171659904.82805955 
 01/01  14:00:00,169413609.82981396 
 01/01  15:00:00,162303624.87395892 
 01/01  16:00:00,151773274.97854066 
 01/01  17:00:00,146456971.98204336 
 01/01  18:00:00,150311761.01331645 
 01/01  19:00:00,154410900.16953292 
 01/01  20:00:00,155071025.299726 
 01/01  21:00:00,157199442.6150567 
 01/01  22:00:00,159938987.23671785 
 01/01  23:00:00,167050015.2837709 
 01/01  24:00:00,173249154.36231804 
 01/02  01:00:00,174165121.18120304 
 01/02  02:00:00,175058339.82771477 
 01/02  03:00:00,177596649.75806937 
 01/02  04:00:00,192170939.79211825 
 01/02  05:00:00,206283080.01597756 
 01/02  06:00:00,211824881.8512846 
 01/02  07:00:00,212699194.63599694 
 01/02  08:00:00,212410226.6593731 
 01/02  09:00:00,203878801.53779802 
 01/02  10:00:00,200857870.03742036 
 01/02  11:00:00,200633415.6677499 
 01/02  12:00:00,191935469.9276657 
 01/02  13:00:00,187211597.65468198 
 01/02  14:00:00,185490079.49409312 
 01/02  15:00:00,173815207.94870296 
 01/02  16:00:00,166263833.77039748 
 01/02  17:00:00,160338840.98927373 
 01/02  18:00:00,164219726.35032353 
 01/02  19:00:00,166113547.98769355 
 01/02  20:00:00,166883754.7815561 
 01/02  21:00:00,169423830.5787853 
 01/02  22:00:00,170032393.47192338 
 01/02  23:00:00,173660391.98410496 
 01/02  24:00:00,176402123.60449183 
 01/03  01:00:00,177782068.53891373 
 01/03  02:00:00,183778450.31854603 
 01/03  03:00:00,187743160.03913972 
 01/03  04:00:00,188706843.06362796 
 01/03  05:00:00,196542753.42310375 
 01/03  06:00:00,203641613.19499415 
 01/03  07:00:00,205296990.87621102 
 01/03  08:00:00,212233834.46622556 
 01/03  09:00:00,204566125.0744569 
 01/03  10:00:00,206141000.07375652 
 01/03  11:00:00,196967386.51819965 
 01/03  12:00:00,183118891.91897145 
 01/03  13:00:00,171543818.18843794 
 01/03  14:00:00,169732547.64068106 
 01/03  15:00:00,162652793.58609366 
 01/03  16:00:00,162658723.45260867 
 01/03  17:00:00,165731540.46815005 
 01/03  18:00:00,168414325.89413446 
 01/03  19:00:00,173702485.55333924 
 01/03  20:00:00,165908292.59583324 
 01/03  21:00:00,164090066.14503995 
 01/03  22:00:00,162078654.80518726 
 01/03  23:00:00,161365403.67431962 
 01/03  24:00:00,166297011.85023612 
 01/04  01:00:00,171087807.97711885 
 01/04  02:00:00,172273980.9727676 
 01/04  03:00:00,169479000.59971803 
 01/04  04:00:00,169173061.52684638 
 01/04  05:00:00,156507151.24556926 
 01/04  06:00:00,154892078.8187799 
 01/04  07:00:00,153611588.4431266 
 01/04  08:00:00,163764411.80275178 
 01/04  09:00:00,160391672.64757764 
 01/04  10:00:00,159927567.39434952 
 01/04  11:00:00,156072301.34915167 
 01/04  12:00:00,151030521.98000818 
 01/04  13:00:00,144529173.5043723 
 01/04  14:00:00,145279160.54443833 
 01/04  15:00:00,139711451.875758 
 01/04  16:00:00,133600901.19211061 
 01/04  17:00:00,133372431.95253731 
 01/04  18:00:00,138704968.63576922 
 01/04  19:00:00,136491330.4477974 
 01/04  20:00:00,131691947.0533644 
 01/04  21:00:00,130556033.49078427 
 01/04  22:00:00,132369195.67128779 
 01/04  23:00:00,137203567.59058818 
 01/04  24:00:00,145781644.66469917 
 01/05  01:00:00,151258715.29791933 
 01/05  02:00:00,147737303.83575374 
 01/05  03:00:00,144296719.36815345 
 01/05  04:00:00,146567954.65448225 
 01/05  05:00:00,146641634.1119209 
 01/05  06:00:00,146174408.80255258 
 01/05  07:00:00,146251599.9945064 
 01/05  08:00:00,158742125.60397002 
 01/05  09:00:00,155603580.22674656 
 01/05  10:00:00,157783571.216809 
 01/05  11:00:00,154466705.37840682 
 01/05  12:00:00,146633346.76442593 
 01/05  13:00:00,135445321.60967797 
 01/05  14:00:00,131737057.6744745 
 01/05  15:00:00,123821473.55794129 
 01/05  16:00:00,116312678.72531883 
 01/05  17:00:00,113600942.78944491 
 01/05  18:00:00,119567181.9868569 
 01/05  19:00:00,129154219.79012263 
 01/05  20:00:00,134349809.85715446 
 01/05  21:00:00,136836725.17843625 
 01/05  22:00:00,140164407.21384114 
 01/05  23:00:00,146845957.4947139 
 01/05  24:00:00,155077641.5993501 
 01/06  01:00:00,160990621.14305314 
 01/06  02:00:00,164130837.287063 
 01/06  03:00:00,168132117.0436383 
 01/06  04:00:00,174587617.7081218 
 01/06  05:00:00,183863665.36371562 
 01/06  06:00:00,192346249.12967324 
 01/06  07:00:00,191556328.04837272 
 01/06  08:00:00,200802365.98746637 
 01/06  09:00:00,194838884.1388446 
 01/06  10:00:00,193830080.2941936 
 01/06  11:00:00,190857897.43740967 
 01/06  12:00:00,186898504.19571015 
 01/06  13:00:00,178665685.86332008 
 01/06  14:00:00,177779871.5268026 
 01/06  15:00:00,174239884.3771858 
 01/06  16:00:00,166580518.31305978 
 01/06  17:00:00,161779888.08313388 
 01/06  18:00:00,168945718.09656277 
 01/06  19:00:00,178824454.26968277 
 01/06  20:00:00,186725459.47979596 
 01/06  21:00:00,192398580.11373335 
 01/06  22:00:00,194401527.45283878 
 01/06  23:00:00,200546039.53289512 
 01/06  24:00:00,205950205.94176406 
 01/07  01:00:00,209644276.31191596 
 01/07  02:00:00,217471158.91199186 
 01/07  03:00:00,221133239.46389192 
 01/07  04:00:00,214446747.21574935 
 01/07  05:00:00,205499427.60578737 
 01/07  06:00:00,205399594.5092693 
 01/07  07:00:00,207983002.67068937 
 01/07  08:00:00,221424918.28417203 
 01/07  09:00:00,219399314.37481487 
 01/07  10:00:00,222097644.25816905 
 01/07  11:00:00,221450772.81254742 
 01/07  12:00:00,223225726.81585753 
 01/07  13:00:00,220726988.88502294 
 01/07  14:00:00,222881691.59087786 
 01/07  15:00:00,219995911.2630212 
 01/07  16:00:00,216200200.1788442 
 01/07  17:00:00,215287053.87714508 
 01/07  18:00:00,219553804.58182764 
 01/07  19:00:00,220588417.5263167 
 01/07  20:00:00,217188938.34306622 
 01/07  21:00:00,216861928.08986542 
 01/07  22:00:00,218885962.8296111 
 01/07  23:00:00,222058048.1924358 
 01/07  24:00:00,223589543.0049885 
 01/08  01:00:00,226456574.7120961 
 01/08  02:00:00,229124901.9862672 
 01/08  03:00:00,230263666.151751 
 01/08  04:00:00,236687760.0201447 
 01/08  05:00:00,244860819.3221707 
 01/08  06:00:00,248593678.54651368 
 01/08  07:00:00,250214558.4293819 
 01/08  08:00:00,267896426.75318706 
 01/08  09:00:00,270249525.4929375 
 01/08  10:00:00,271869754.99119806 
 01/08  11:00:00,267227731.64799067 
 01/08  12:00:00,255403371.44723743 
 01/08  13:00:00,240183666.3303447 
 01/08  14:00:00,236010095.06237847 
 01/08  15:00:00,227561673.48677254 
 01/08  16:00:00,220922372.68591446 
 01/08  17:00:00,220494610.73756725 
 01/08  18:00:00,229739639.81175745 
 01/08  19:00:00,240084902.15530902 
 01/08  20:00:00,246646843.50055212 
 01/08  21:00:00,252260243.97317448 
 01/08  22:00:00,255851246.02878645 
 01/08  23:00:00,260604071.4467695 
 01/08  24:00:00,263830389.98801804 
 01/09  01:00:00,264656499.1605605 
 01/09  02:00:00,265832344.0672079 
 01/09  03:00:00,267411636.8403536 
 01/09  04:00:00,272429056.81238896 
 01/09  05:00:00,279909033.0411693 
 01/09  06:00:00,285271429.3039693 
 01/09  07:00:00,287094598.88681 
 01/09  08:00:00,293167190.57619107 
 01/09  09:00:00,288727375.6654502 
 01/09  10:00:00,285803308.58393955 
 01/09  11:00:00,280684714.2663981 
 01/09  12:00:00,264376151.41191858 
 01/09  13:00:00,254387002.3044723 
 01/09  14:00:00,252306867.3024646 
 01/09  15:00:00,243176133.15353125 
 01/09  16:00:00,239098753.01068413 
 01/09  17:00:00,236446792.65972465 
 01/09  18:00:00,244138198.19215792 
 01/09  19:00:00,251104218.72177884 
