Date/Time,EU_CELL_ZONE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,30446738.375672545 
 01/01  02:00:00,31032684.083513103 
 01/01  03:00:00,31498109.9056933 
 01/01  04:00:00,32059914.591835856 
 01/01  05:00:00,32649843.540080365 
 01/01  06:00:00,32708051.28374801 
 01/01  07:00:00,33625492.60504725 
 01/01  08:00:00,34570265.06390949 
 01/01  09:00:00,34952361.62537803 
 01/01  10:00:00,33499814.141010493 
 01/01  11:00:00,30368768.521364573 
 01/01  12:00:00,26823077.86074302 
 01/01  13:00:00,24127704.4113732 
 01/01  14:00:00,22986006.74345933 
 01/01  15:00:00,21825087.417656165 
 01/01  16:00:00,20501705.880875126 
 01/01  17:00:00,20361038.34909395 
 01/01  18:00:00,22691001.435373515 
 01/01  19:00:00,26043722.168554105 
 01/01  20:00:00,28470596.833028667 
 01/01  21:00:00,29869547.789593782 
 01/01  22:00:00,30280346.129359756 
 01/01  23:00:00,29984620.197248492 
 01/01  24:00:00,29958124.813043255 
 01/02  01:00:00,29700530.162296828 
 01/02  02:00:00,29967157.822232515 
 01/02  03:00:00,30966946.62313298 
 01/02  04:00:00,31171941.502718776 
 01/02  05:00:00,30897373.557400096 
 01/02  06:00:00,30551084.765116006 
 01/02  07:00:00,29710638.562006645 
 01/02  08:00:00,28890792.418414116 
 01/02  09:00:00,28557950.71533471 
 01/02  10:00:00,27322692.949196585 
 01/02  11:00:00,26105470.207365073 
 01/02  12:00:00,25223612.652591538 
 01/02  13:00:00,23998928.731418636 
 01/02  14:00:00,23653096.7956005 
 01/02  15:00:00,23715986.48079566 
 01/02  16:00:00,23525800.99582738 
 01/02  17:00:00,23280392.119106025 
 01/02  18:00:00,23440390.244525794 
 01/02  19:00:00,23583275.365197636 
 01/02  20:00:00,23631979.8868323 
 01/02  21:00:00,24118249.823277652 
 01/02  22:00:00,23940030.780740652 
 01/02  23:00:00,23447526.77652547 
 01/02  24:00:00,23961927.880446415 
 01/03  01:00:00,24596984.732129708 
 01/03  02:00:00,24552687.154950336 
 01/03  03:00:00,24498905.68201738 
 01/03  04:00:00,24439974.324719645 
 01/03  05:00:00,24602405.493778422 
 01/03  06:00:00,24831810.205676656 
 01/03  07:00:00,24791145.44547072 
 01/03  08:00:00,24806743.370748885 
 01/03  09:00:00,24748058.0967684 
 01/03  10:00:00,24372952.894627523 
 01/03  11:00:00,24230723.565152638 
 01/03  12:00:00,23289027.1944824 
 01/03  13:00:00,22352205.590175077 
 01/03  14:00:00,22183494.156904332 
 01/03  15:00:00,21908877.77876475 
 01/03  16:00:00,21613169.341588862 
 01/03  17:00:00,21779961.774549276 
 01/03  18:00:00,22233193.00206215 
