Time,EU_CELL_ZONE:ANNUALSIZINGPERIOD:Des Heat Load [W],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],EU_CELL_ZONE::Des Latent Heat Load [W],EU_CELL_ZONE::Des Latent Cool Load [W],EU_CELL_ZONE::Des Latent Heat Mass Flow [kg/s],EU_CELL_ZONE::Des Latent Cool Mass Flow [kg/s],EU_CELL_ZONE::Des Heat Load No DOAS [W],EU_CELL_ZONE::Des Sens Cool Load No DOAS [W],EU_CELL_ZONE::Des Latent Heat Load No DOAS [W],EU_CELL_ZONE::Des Latent Cool Load No DOAS [W],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:05:00,1.113214E+04,0.000000E+00,3.638565E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999654E+01,4.549978E+01,3.050477E+01,4.224494E+01
00:10:00,1.108717E+04,0.000000E+00,3.623867E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.550276E+01,3.042226E+01,4.261035E+01
00:15:00,1.104007E+04,0.000000E+00,3.608470E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.550588E+01,3.034869E+01,4.294844E+01
00:20:00,1.099081E+04,0.000000E+00,3.592369E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.550910E+01,3.028273E+01,4.326142E+01
00:25:00,1.093938E+04,0.000000E+00,3.575559E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.551240E+01,3.022211E+01,4.355462E+01
00:30:00,1.088577E+04,0.000000E+00,3.558036E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.551572E+01,3.016520E+01,4.383221E+01
00:35:00,1.082997E+04,0.000000E+00,3.539797E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.551906E+01,3.011087E+01,4.409711E+01
00:40:00,1.077196E+04,0.000000E+00,3.520837E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.552240E+01,3.005837E+01,4.435137E+01
00:45:00,1.071174E+04,0.000000E+00,3.501155E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.552572E+01,3.000718E+01,4.459642E+01
00:50:00,1.064930E+04,0.000000E+00,3.480746E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.552903E+01,2.995697E+01,4.483325E+01
00:55:00,1.058463E+04,0.000000E+00,3.459608E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.553231E+01,2.990753E+01,4.506258E+01
01:00:00,1.051771E+04,0.000000E+00,3.437736E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.553555E+01,2.985869E+01,4.528496E+01
01:05:00,1.052378E+04,0.000000E+00,3.439719E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.553876E+01,2.981035E+01,4.550084E+01
01:10:00,1.052906E+04,0.000000E+00,3.441444E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.554189E+01,2.976176E+01,4.571239E+01
01:15:00,1.053356E+04,0.000000E+00,3.442914E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.554478E+01,2.971260E+01,4.592072E+01
01:20:00,1.053728E+04,0.000000E+00,3.444130E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.554740E+01,2.966296E+01,4.612578E+01
01:25:00,1.054022E+04,0.000000E+00,3.445093E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.554972E+01,2.961302E+01,4.632725E+01
01:30:00,1.054239E+04,0.000000E+00,3.445801E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,4.555178E+01,2.956294E+01,4.652489E+01
01:35:00,1.054378E+04,0.000000E+00,3.446256E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999654E+01,4.555362E+01,2.951280E+01,4.671859E+01
01:40:00,1.054440E+04,0.000000E+00,3.446457E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999654E+01,4.555526E+01,2.946267E+01,4.690831E+01
01:45:00,1.054423E+04,0.000000E+00,3.446404E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999654E+01,4.555671E+01,2.941259E+01,4.709409E+01
01:50:00,1.054329E+04,0.000000E+00,3.446096E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999654E+01,4.555800E+01,2.936260E+01,4.727597E+01
01:55:00,1.054157E+04,0.000000E+00,3.445534E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999654E+01,4.555914E+01,2.931270E+01,4.745403E+01
02:00:00,1.053907E+04,0.000000E+00,3.444716E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999654E+01,4.556015E+01,2.926291E+01,4.762833E+01
02:05:00,1.053507E+04,0.000000E+00,3.443410E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999654E+01,4.556102E+01,2.921325E+01,4.779896E+01
02:10:00,1.052954E+04,0.000000E+00,3.441602E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999655E+01,4.556163E+01,2.916406E+01,4.796452E+01
02:15:00,1.052248E+04,0.000000E+00,3.439295E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999656E+01,4.556180E+01,2.911549E+01,4.812433E+01
02:20:00,1.051387E+04,0.000000E+00,3.436482E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999656E+01,4.556144E+01,2.906749E+01,4.827853E+01
02:25:00,1.050371E+04,0.000000E+00,3.433161E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999657E+01,4.556059E+01,2.901995E+01,4.842755E+01
02:30:00,1.049197E+04,0.000000E+00,3.429324E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999658E+01,4.555930E+01,2.897276E+01,4.857178E+01
02:35:00,1.047862E+04,0.000000E+00,3.424962E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999658E+01,4.555759E+01,2.892587E+01,4.871153E+01
02:40:00,1.046364E+04,0.000000E+00,3.420063E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999659E+01,4.555552E+01,2.887924E+01,4.884701E+01
02:45:00,1.044706E+04,0.000000E+00,3.414645E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999659E+01,4.555307E+01,2.883284E+01,4.897842E+01
02:50:00,1.042891E+04,0.000000E+00,3.408714E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999660E+01,4.555032E+01,2.878667E+01,4.910588E+01
02:55:00,1.040920E+04,0.000000E+00,3.402273E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999661E+01,4.554732E+01,2.874070E+01,4.922955E+01
03:00:00,1.038794E+04,0.000000E+00,3.395323E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999661E+01,4.554413E+01,2.869493E+01,4.934955E+01
03:05:00,1.036815E+04,0.000000E+00,3.388855E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999662E+01,4.554078E+01,2.864935E+01,4.946600E+01
03:10:00,1.035035E+04,0.000000E+00,3.383040E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999662E+01,4.553815E+01,2.860219E+01,4.958597E+01
03:15:00,1.033457E+04,0.000000E+00,3.377883E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999661E+01,4.553688E+01,2.855269E+01,4.971296E+01
03:20:00,1.032086E+04,0.000000E+00,3.373403E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999661E+01,4.553709E+01,2.850116E+01,4.984648E+01
03:25:00,1.030927E+04,0.000000E+00,3.369613E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999661E+01,4.553865E+01,2.844824E+01,4.998481E+01
03:30:00,1.029982E+04,0.000000E+00,3.366524E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999661E+01,4.554138E+01,2.839442E+01,5.012643E+01
