Date/Time,EU_CELL_ZONE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,236310144.2592447 
 01/01  02:00:00,270269534.8888109 
 01/01  03:00:00,278394989.9239861 
 01/01  04:00:00,277417098.3786853 
 01/01  05:00:00,278196559.6330105 
 01/01  06:00:00,273583263.92285424 
 01/01  07:00:00,264861865.95103526 
 01/01  08:00:00,258274829.04939476 
 01/01  09:00:00,248689178.35131726 
 01/01  10:00:00,242698323.9848491 
 01/01  11:00:00,255891093.28739992 
 01/01  12:00:00,258750838.1336971 
 01/01  13:00:00,254942049.89107153 
 01/01  14:00:00,245267475.3247637 
 01/01  15:00:00,225392205.9587257 
 01/01  16:00:00,217873633.6967188 
 01/01  17:00:00,220399708.39995623 
 01/01  18:00:00,217869304.73851463 
 01/01  19:00:00,223400985.26772362 
 01/01  20:00:00,222315822.84063995 
 01/01  21:00:00,201166229.00951576 
 01/01  22:00:00,191288253.39314052 
 01/01  23:00:00,193651691.85806176 
 01/01  24:00:00,201091555.13568902 
 01/02  01:00:00,210915234.63591644 
 01/02  02:00:00,217751178.18359262 
 01/02  03:00:00,219376073.9581702 
 01/02  04:00:00,222680837.7985809 
 01/02  05:00:00,229793964.0587299 
 01/02  06:00:00,243216524.4154405 
 01/02  07:00:00,261288826.43008465 
 01/02  08:00:00,278081829.2308985 
 01/02  09:00:00,295423889.0975743 
 01/02  10:00:00,305261880.61188 
 01/02  11:00:00,312235966.71176827 
 01/02  12:00:00,295294292.9561901 
 01/02  13:00:00,273392015.98182887 
 01/02  14:00:00,256044184.53885186 
 01/02  15:00:00,235521245.8272211 
 01/02  16:00:00,235718504.45480376 
 01/02  17:00:00,255857554.6299458 
 01/02  18:00:00,269175785.1843955 
 01/02  19:00:00,280335055.19542146 
 01/02  20:00:00,273533380.087301 
 01/02  21:00:00,245209105.43943498 
 01/02  22:00:00,231501248.0264547 
 01/02  23:00:00,224679255.2569384 
 01/02  24:00:00,217552334.55353227 
 01/03  01:00:00,213940858.96665415 
 01/03  02:00:00,209987105.92995018 
 01/03  03:00:00,201423836.28437898 
 01/03  04:00:00,206383055.7582601 
 01/03  05:00:00,221867918.7890964 
 01/03  06:00:00,231350575.3344391 
 01/03  07:00:00,233975107.75562066 
 01/03  08:00:00,231459386.00511274 
 01/03  09:00:00,239231665.1112332 
 01/03  10:00:00,257007655.74472967 
