Time,EU_CELL_ZONE:ANNUALSIZINGPERIOD:Des Heat Load [W],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Des Sens Cool Load [W],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Des Heat Mass Flow [kg/s],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Des Cool Mass Flow [kg/s],EU_CELL_ZONE::Des Latent Heat Load [W],EU_CELL_ZONE::Des Latent Cool Load [W],EU_CELL_ZONE::Des Latent Heat Mass Flow [kg/s],EU_CELL_ZONE::Des Latent Cool Mass Flow [kg/s],EU_CELL_ZONE::Des Heat Load No DOAS [W],EU_CELL_ZONE::Des Sens Cool Load No DOAS [W],EU_CELL_ZONE::Des Latent Heat Load No DOAS [W],EU_CELL_ZONE::Des Latent Cool Load No DOAS [W],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Heating Zone Temperature [C],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Heating Zone Relative Humidity [%],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Cooling Zone Temperature [C],EU_CELL_ZONE:ANNUALSIZINGPERIOD:Cooling Zone Relative Humidity [%]
00:05:00,6.326762E+05,0.000000E+00,2.067933E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999654E+01,3.070130E+01,2.982993E+01,1.640056E+01
00:10:00,6.366726E+05,0.000000E+00,2.080993E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999656E+01,3.073631E+01,2.978323E+01,1.642235E+01
00:15:00,6.402158E+05,0.000000E+00,2.092572E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999656E+01,3.076858E+01,2.973819E+01,1.644408E+01
00:20:00,6.433030E+05,0.000000E+00,2.102661E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999656E+01,3.079844E+01,2.969384E+01,1.646624E+01
00:25:00,6.459330E+05,0.000000E+00,2.111256E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999656E+01,3.082630E+01,2.964970E+01,1.648922E+01
00:30:00,6.481045E+05,0.000000E+00,2.118351E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999656E+01,3.085243E+01,2.960561E+01,1.651315E+01
00:35:00,6.498160E+05,0.000000E+00,2.123944E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999656E+01,3.087699E+01,2.956154E+01,1.653804E+01
00:40:00,6.510662E+05,0.000000E+00,2.128029E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999656E+01,3.090010E+01,2.951747E+01,1.656388E+01
00:45:00,6.518537E+05,0.000000E+00,2.130602E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999656E+01,3.092187E+01,2.947340E+01,1.659064E+01
00:50:00,6.521771E+05,0.000000E+00,2.131657E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999655E+01,3.094240E+01,2.942928E+01,1.661831E+01
00:55:00,6.520350E+05,0.000000E+00,2.131192E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999655E+01,3.096176E+01,2.938509E+01,1.664686E+01
01:00:00,6.514261E+05,0.000000E+00,2.129201E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999655E+01,3.098006E+01,2.934080E+01,1.667629E+01
01:05:00,6.523598E+05,0.000000E+00,2.132253E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999655E+01,3.099736E+01,2.929638E+01,1.670659E+01
01:10:00,6.533153E+05,0.000000E+00,2.135376E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999655E+01,3.101329E+01,2.924596E+01,1.674771E+01
01:15:00,6.542880E+05,0.000000E+00,2.138555E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999654E+01,3.102765E+01,2.918611E+01,1.680534E+01
01:20:00,6.552794E+05,0.000000E+00,2.141795E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999654E+01,3.104045E+01,2.911607E+01,1.688058E+01
01:25:00,6.562893E+05,0.000000E+00,2.145096E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999654E+01,3.105181E+01,2.903630E+01,1.697247E+01
01:30:00,6.573177E+05,0.000000E+00,2.148457E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,3.106185E+01,2.894749E+01,1.707965E+01
01:35:00,6.583647E+05,0.000000E+00,2.151879E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,3.107070E+01,2.885021E+01,1.720096E+01
01:40:00,6.594303E+05,0.000000E+00,2.155362E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999653E+01,3.107845E+01,2.874480E+01,1.733558E+01
01:45:00,6.605146E+05,0.000000E+00,2.158906E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999652E+01,3.108519E+01,2.863147E+01,1.748291E+01
01:50:00,6.616175E+05,0.000000E+00,2.162511E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999652E+01,3.109101E+01,2.851091E+01,1.764192E+01
01:55:00,6.627392E+05,0.000000E+00,2.166177E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999651E+01,3.109597E+01,2.838380E+01,1.781156E+01
02:00:00,6.638797E+05,0.000000E+00,2.169904E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999651E+01,3.110015E+01,2.825072E+01,1.799096E+01
02:05:00,6.649440E+05,0.000000E+00,2.173383E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999650E+01,3.110362E+01,2.811219E+01,1.817930E+01
02:10:00,6.659658E+05,0.000000E+00,2.176722E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999650E+01,3.110668E+01,2.797514E+01,1.836495E+01
02:15:00,6.669460E+05,0.000000E+00,2.179926E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999650E+01,3.110983E+01,2.784367E+01,1.854075E+01
02:20:00,6.678844E+05,0.000000E+00,2.182992E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999649E+01,3.111327E+01,2.771883E+01,1.870458E+01
02:25:00,6.687808E+05,0.000000E+00,2.185922E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999649E+01,3.111704E+01,2.760053E+01,1.885637E+01
02:30:00,6.696354E+05,0.000000E+00,2.188715E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999649E+01,3.112111E+01,2.748831E+01,1.899673E+01
02:35:00,6.704479E+05,0.000000E+00,2.191371E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999649E+01,3.112545E+01,2.738169E+01,1.912628E+01
02:40:00,6.712184E+05,0.000000E+00,2.193889E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999648E+01,3.113001E+01,2.728023E+01,1.924556E+01
02:45:00,6.719467E+05,0.000000E+00,2.196269E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999648E+01,3.113478E+01,2.718356E+01,1.935505E+01
02:50:00,6.726329E+05,0.000000E+00,2.198511E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999648E+01,3.113974E+01,2.709132E+01,1.945517E+01
02:55:00,6.732768E+05,0.000000E+00,2.200616E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999648E+01,3.114487E+01,2.700319E+01,1.954636E+01
03:00:00,6.738784E+05,0.000000E+00,2.202582E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999647E+01,3.115014E+01,2.691885E+01,1.962905E+01
03:05:00,6.744586E+05,0.000000E+00,2.204478E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999647E+01,3.115556E+01,2.683800E+01,1.970367E+01
03:10:00,6.751595E+05,0.000000E+00,2.206769E+01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.999647E+01,3.116046E+01,2.675964E+01,1.978362E+01
