Date/Time,EU_CELL_ZONE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 01/01  01:00:00,21183510.504284695 
 01/01  02:00:00,22141193.7649523 
 01/01  03:00:00,22139104.915519644 
 01/01  04:00:00,22413156.610174954 
 01/01  05:00:00,22664414.731576055 
 01/01  06:00:00,22597328.2400117 
 01/01  07:00:00,22466027.42080167 
 01/01  08:00:00,23145272.796282884 
 01/01  09:00:00,23161740.795326836 
 01/01  10:00:00,22848341.00924309 
 01/01  11:00:00,22329204.58303791 
 01/01  12:00:00,20981903.796153206 
 01/01  13:00:00,19982355.546834107 
 01/01  14:00:00,19810007.85862298 
 01/01  15:00:00,19462419.340675354 
 01/01  16:00:00,18870134.087158993 
 01/01  17:00:00,18053241.112478103 
 01/01  18:00:00,17644374.707645327 
 01/01  19:00:00,17840072.641561948 
 01/01  20:00:00,17849043.10148928 
 01/01  21:00:00,18406567.399130825 
 01/01  22:00:00,18711067.417126793 
 01/01  23:00:00,19185149.520082347 
 01/01  24:00:00,19878797.161250327 
 01/02  01:00:00,19993507.643783834 
 01/02  02:00:00,20083470.876949243 
 01/02  03:00:00,20370896.594273858 
 01/02  04:00:00,21867559.77776265 
 01/02  05:00:00,23560610.911764275 
 01/02  06:00:00,24198176.069480944 
 01/02  07:00:00,24323310.652667537 
 01/02  08:00:00,23624536.11114641 
 01/02  09:00:00,22910884.46140315 
 01/02  10:00:00,22765847.96988 
 01/02  11:00:00,22608992.117716696 
 01/02  12:00:00,21659874.456419967 
 01/02  13:00:00,20657306.199633487 
 01/02  14:00:00,20234892.764110234 
 01/02  15:00:00,19317767.54836365 
 01/02  16:00:00,18485112.68528269 
 01/02  17:00:00,18125547.13987081 
 01/02  18:00:00,18166019.756219584 
 01/02  19:00:00,17927747.060143616 
 01/02  20:00:00,18789765.161356445 
 01/02  21:00:00,18768366.96098247 
 01/02  22:00:00,18842997.25059618 
 01/02  23:00:00,19240021.63619942 
 01/02  24:00:00,19537704.715922713 
 01/03  01:00:00,19678545.242629007 
 01/03  02:00:00,20357361.204206012 
 01/03  03:00:00,20941627.97673586 
 01/03  04:00:00,21625966.26421243 
 01/03  05:00:00,22510497.096585386 
 01/03  06:00:00,23308464.65874429 
 01/03  07:00:00,23515508.80029838 
 01/03  08:00:00,23555214.549897004 
 01/03  09:00:00,22739620.467488665 
 01/03  10:00:00,22896744.226318333 
 01/03  11:00:00,22547450.791626263 
 01/03  12:00:00,21010432.283960875 
 01/03  13:00:00,19714386.63755397 
 01/03  14:00:00,19493197.104512505 
 01/03  15:00:00,18186619.970149383 
 01/03  16:00:00,17720602.483662717 
 01/03  17:00:00,17690239.068831395 
 01/03  18:00:00,17965133.43729825 
 01/03  19:00:00,17981272.38190376 
 01/03  20:00:00,17683921.421009272 
 01/03  21:00:00,17473143.074108496 
 01/03  22:00:00,17886655.315162897 
 01/03  23:00:00,17468739.16217209 
 01/03  24:00:00,17695519.111846495 
 01/04  01:00:00,18225026.051311787 
 01/04  02:00:00,18367564.6229101 
 01/04  03:00:00,18069464.042682864 
 01/04  04:00:00,18129734.79070377 
 01/04  05:00:00,18010201.57924211 
 01/04  06:00:00,17821958.75599849 
 01/04  07:00:00,17684563.047146674 
 01/04  08:00:00,18072184.692058392 
 01/04  09:00:00,17925224.849407785 
 01/04  10:00:00,17644323.529682312 
 01/04  11:00:00,17546348.70568351 
 01/04  12:00:00,17010871.964468624 
 01/04  13:00:00,16827904.870688967 
 01/04  14:00:00,17019076.44094768 
 01/04  15:00:00,16847721.226337742 
 01/04  16:00:00,16737610.863574494 
 01/04  17:00:00,16472734.304571832 
 01/04  18:00:00,16278428.696829941 
 01/04  19:00:00,15818283.523159763 
 01/04  20:00:00,15219620.277833901 
 01/04  21:00:00,15102971.455376387 
 01/04  22:00:00,15294357.936134586 
 01/04  23:00:00,15826949.805679385 
 01/04  24:00:00,16771342.470863083 
 01/05  01:00:00,17383541.895751365 
 01/05  02:00:00,17011677.09114963 
 01/05  03:00:00,16635537.466325682 
 01/05  04:00:00,16768043.511051606 
 01/05  05:00:00,16899181.798415124 
 01/05  06:00:00,16848053.953471933 
 01/05  07:00:00,16858431.754884955 
 01/05  08:00:00,17507619.710603286 
 01/05  09:00:00,17400339.03259189 
 01/05  10:00:00,17398756.706975903 
 01/05  11:00:00,17402806.70451023 
 01/05  12:00:00,16540682.265643245 
 01/05  13:00:00,15867141.127455913 
 01/05  14:00:00,15564733.245498527 
 01/05  15:00:00,15138607.08032853 
 01/05  16:00:00,14870010.813061334 
 01/05  17:00:00,14306786.818978276 
 01/05  18:00:00,14126970.046059763 
 01/05  19:00:00,14956594.131982772 
 01/05  20:00:00,15470888.168599458 
 01/05  21:00:00,15752722.382850308 
 01/05  22:00:00,16130802.839527046 
 01/05  23:00:00,16870763.025232743 
 01/05  24:00:00,17810212.00929855 
 01/06  01:00:00,18479745.871509906 
 01/06  02:00:00,18845253.304636303 
 01/06  03:00:00,19303798.00003456 
 01/06  04:00:00,19914751.946451623 
 01/06  05:00:00,21071085.62155269 
 01/06  06:00:00,22038158.966358077 
 01/06  07:00:00,21979216.313684076 
 01/06  08:00:00,22270429.37456216 
 01/06  09:00:00,21842863.411204107 
 01/06  10:00:00,21498388.605077647 
 01/06  11:00:00,21514819.440405063 
 01/06  12:00:00,21106283.222872984 
 01/06  13:00:00,20759918.062270734 
 01/06  14:00:00,20751400.916396644 
 01/06  15:00:00,20798422.51484741 
 01/06  16:00:00,20525214.541840233 
 01/06  17:00:00,19760765.747879215 
 01/06  18:00:00,19726320.682704836 
 01/06  19:00:00,20605727.412693836 
 01/06  20:00:00,21416040.037387133 
 01/06  21:00:00,22377849.246965338 
 01/06  22:00:00,22605865.665354066 
 01/06  23:00:00,22986682.062400483 
 01/06  24:00:00,23609424.670906395 
 01/07  01:00:00,24024484.32761961 
 01/07  02:00:00,24892943.414801233 
 01/07  03:00:00,25326089.34741337 
 01/07  04:00:00,24478869.124777574 
 01/07  05:00:00,23594213.711825587 
 01/07  06:00:00,23574431.978924315 
 01/07  07:00:00,23852644.57547919 
 01/07  08:00:00,24618935.4705574 
 01/07  09:00:00,24628140.252664052 
 01/07  10:00:00,24698761.442532457 
 01/07  11:00:00,24976119.895216342 
 01/07  12:00:00,25179291.51556345 
 01/07  13:00:00,25462902.13177308 
 01/07  14:00:00,25794169.815396413 
 01/07  15:00:00,25938032.97185319 
 01/07  16:00:00,26092512.259397 
 01/07  17:00:00,25795547.80482697 
 01/07  18:00:00,25472256.73080997 
 01/07  19:00:00,25364245.140777502 
